setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
cvd=Excelente | TP=100 SL=40,cvd=Excelente,100,40,342,73.39181286549707,3.005281026027914,15.543859649122806,5316.0,120.0,27.13450292397661,15.964912280701755,1.077590806145467,30.9569203129882,105,4.245508982035928,20.64761904761905,237,2.5874936964195663,13.282700421940929,39,3.0,0.7015129816109287,0.7341439071065406,0.21851603534093086,0.4349897873283275,2,483.8549227886189
cvd=Excelente | TP=120 SL=40,cvd=Excelente,120,40,342,73.39181286549707,3.00377216144851,15.532163742690058,5312.0,120.0,27.13450292397661,15.964912280701755,1.0770497790054419,30.925658006964472,105,4.2395209580838324,20.60952380952381,237,2.5874936964195663,13.282700421940929,39,3.0,0.7018508263614425,0.7344377478376944,0.21851603534093086,0.4349897873283275,2,483.1685829793098
cvd=Excelente | TP=150 SL=40,cvd=Excelente,150,40,342,73.39181286549707,3.00377216144851,15.532163742690058,5312.0,120.0,27.13450292397661,15.964912280701755,1.0770497790054419,30.925658006964472,105,4.2395209580838324,20.60952380952381,237,2.5874936964195663,13.282700421940929,39,3.0,0.7018508263614425,0.7344377478376944,0.21851603534093086,0.4349897873283275,2,483.1685829793098
cvd=Excelente | TP=200 SL=40,cvd=Excelente,200,40,342,73.39181286549707,3.00377216144851,15.532163742690058,5312.0,120.0,27.13450292397661,15.964912280701755,1.0770497790054419,30.925658006964472,105,4.2395209580838324,20.60952380952381,237,2.5874936964195663,13.282700421940929,39,3.0,0.7018508263614425,0.7344377478376944,0.21851603534093086,0.4349897873283275,2,483.1685829793098
cvd=Excelente | TP=80 SL=40,cvd=Excelente,80,40,342,73.39181286549707,3.000754432289702,15.508771929824562,5304.0,120.0,27.13450292397661,15.964912280701755,1.0759677247253912,30.86302505895159,105,4.221556886227545,20.495238095238093,237,2.589510842158346,13.29957805907173,39,3.0,0.705487508917082,0.7363336293080379,0.21851603534093086,0.4349897873283275,2,481.44509126911186
cvd=Excelente | TP=100 SL=30,cvd=Excelente,100,30,342,71.6374269005848,3.1405672009864367,15.228070175438596,5208.0,100.0,27.13450292397661,15.964912280701755,1.230589597121216,29.111989776680062,105,4.069591527987897,19.323809523809523,237,2.794018058690745,13.413502109704641,39,3.0,0.6480939547744281,0.824893307203446,0.26985849946868257,0.4349897873283275,1,477.93503359308625
cvd=Excelente | TP=120 SL=30,cvd=Excelente,120,30,342,71.6374269005848,3.138923140156186,15.216374269005849,5204.0,100.0,27.13450292397661,15.964912280701755,1.2299453936938525,29.078616681435285,105,4.063540090771558,19.285714285714285,237,2.794018058690745,13.413502109704641,39,3.0,0.6482417558348476,0.8250422552064303,0.26985849946868257,0.4349897873283275,1,477.2795372964774
cvd=Excelente | TP=150 SL=30,cvd=Excelente,150,30,342,71.6374269005848,3.138923140156186,15.216374269005849,5204.0,100.0,27.13450292397661,15.964912280701755,1.2299453936938525,29.078616681435285,105,4.063540090771558,19.285714285714285,237,2.794018058690745,13.413502109704641,39,3.0,0.6482417558348476,0.8250422552064303,0.26985849946868257,0.4349897873283275,1,477.2795372964774
cvd=Excelente | TP=200 SL=30,cvd=Excelente,200,30,342,71.6374269005848,3.138923140156186,15.216374269005849,5204.0,100.0,27.13450292397661,15.964912280701755,1.2299453936938525,29.078616681435285,105,4.063540090771558,19.285714285714285,237,2.794018058690745,13.413502109704641,39,3.0,0.6482417558348476,0.8250422552064303,0.26985849946868257,0.4349897873283275,1,477.2795372964774
cvd=Excelente | TP=80 SL=30,cvd=Excelente,80,30,342,71.6374269005848,3.1356350184956843,15.192982456140351,5196.0,100.0,27.13450292397661,15.964912280701755,1.2286569868391253,29.011741134068284,105,4.045385779122542,19.17142857142857,237,2.79627539503386,13.430379746835444,39,3.0,0.6514993144121128,0.8267464103806265,0.26985849946868257,0.4349897873283275,1,475.6086763017828
cvd=Excelente | TP=60 SL=40,cvd=Excelente,60,40,342,73.39181286549707,2.981516408902301,15.359649122807017,5253.0,120.0,27.13450292397661,15.964912280701755,1.069069628690068,30.586388552522973,105,4.164670658682635,20.133333333333333,237,2.582955118507312,13.244725738396625,39,3.0,0.6973911352475108,0.7477232849747725,0.21851603534093086,0.4349897873283275,2,470.75950775140325
