iter	Logloss
0	0.6916442871
1	0.6902787732
2	0.6895802159
3	0.6885524134
4	0.6871434366
5	0.6854550269
6	0.6844003985
7	0.6834451983
8	0.6827808011
9	0.6816888132
10	0.6809623472
11	0.6801244428
12	0.6787455897
13	0.6779148225
14	0.6772496377
15	0.6763467112
16	0.6753199916
17	0.6738407258
18	0.6731591009
19	0.6725590367
20	0.6718535885
21	0.6714012884
22	0.6705165248
23	0.6696201448
24	0.669138853
25	0.6685241207
26	0.6678331437
27	0.6673947734
28	0.6664555703
29	0.665028972
30	0.6635084583
31	0.6621126236
32	0.6615161527
33	0.6604942076
34	0.6600691272
35	0.6591290874
36	0.657914537
37	0.6571092667
38	0.6565081196
39	0.6559690414
40	0.6550977153
41	0.6539531092
42	0.6529534125
43	0.652424277
44	0.6518333681
45	0.6515939528
46	0.650647711
47	0.6501199538
48	0.6486619026
49	0.6476452243
50	0.6472563221
51	0.6469575451
52	0.6461257442
53	0.6456011372
54	0.644849125
55	0.6439254269
56	0.6434031825
57	0.6425691174
58	0.6416582169
59	0.6406610304
60	0.6401539464
61	0.6394528789
62	0.6384031234
63	0.6377510809
64	0.6369853358
65	0.6360649847
66	0.6356504379
67	0.6352466214
68	0.6346921859
69	0.6340817359
70	0.6335690406
71	0.6330246464
72	0.6320576822
73	0.6313963367
74	0.6307737289
75	0.6303457445
76	0.6299500496
77	0.6298311295
78	0.6294443438
79	0.62876961
80	0.6279582362
81	0.6271233343
82	0.626389042
83	0.6254472302
84	0.6250648745
85	0.6246074061
86	0.6236775552
87	0.6232841246
88	0.6229961764
89	0.6218476326
90	0.6211212158
91	0.6205790858
92	0.6191827589
93	0.6189477736
94	0.6179319812
95	0.6173699164
96	0.6169715143
97	0.6159602996
98	0.6153504895
99	0.6146054668
100	0.6140491609
101	0.6137603268
102	0.6133397256
103	0.6130211615
104	0.6117670859
105	0.6111022457
106	0.6104946998
107	0.6100112915
108	0.6093928183
109	0.6087220223
110	0.6082945301
111	0.6077779954
112	0.6068557247
