iter	Passed	Remaining
0	4	1617
1	7	1444
2	9	1273
3	11	1176
4	14	1175
5	17	1128
6	19	1080
7	21	1045
8	23	1030
9	25	989
10	27	959
11	28	932
12	30	915
13	32	893
14	34	879
15	35	862
16	37	848
17	39	838
18	41	836
19	43	829
20	45	820
21	47	816
22	49	808
23	52	818
24	54	810
25	55	801
26	57	793
27	59	790
28	61	785
29	63	781
30	65	773
31	66	767
32	68	763
33	70	758
34	71	750
35	73	742
36	75	739
37	76	733
38	78	730
39	80	724
40	82	723
41	84	720
42	86	717
43	88	712
44	89	708
45	91	706
46	93	702
47	95	699
48	97	696
49	99	697
50	101	692
51	104	701
52	107	701
53	108	696
54	111	696
55	112	692
56	114	690
57	116	685
58	117	680
59	119	676
60	120	671
61	122	669
62	124	664
63	125	659
64	127	657
65	129	654
66	131	652
67	132	649
68	134	645
69	136	642
70	138	639
71	139	636
72	141	632
73	142	629
74	145	628
75	147	630
76	149	627
77	151	626
78	153	623
79	155	623
80	157	621
81	160	621
82	161	618
83	163	616
84	165	614
85	168	616
86	170	615
87	173	616
88	177	619
89	179	617
90	181	616
91	183	615
92	185	613
93	188	612
94	190	612
95	192	610
96	194	608
97	196	605
98	198	602
99	199	599
100	201	596
101	203	593
102	205	592
103	207	589
104	208	587
105	210	584
106	213	583
107	215	581
108	216	579
109	219	577
110	221	576
111	223	575
112	226	574
113	228	573
114	230	571
115	232	569
116	234	567
117	236	566
118	238	563
119	240	560
120	242	558
121	244	556
122	246	554
123	247	551
124	249	549
125	251	547
126	253	545
127	256	544
128	258	542
129	260	540
130	262	538
131	264	537
132	267	536
133	268	533
134	270	530
135	271	527
136	273	524
137	274	521
138	276	518
139	277	515
140	279	513
141	282	512
142	284	511
143	286	508
144	288	506
145	290	505
146	292	503
147	294	500
148	296	498
149	298	496
150	300	495
151	302	493
152	304	491
153	306	489
154	308	488
155	310	485
156	312	483
157	313	480
158	315	477
159	316	475
160	318	472
161	320	470
162	322	469
163	324	467
164	327	465
165	328	463
166	330	460
167	332	458
168	333	455
169	334	452
170	336	450
171	338	448
172	340	447
173	343	445
174	345	444
175	346	441
176	348	438
177	349	436
178	351	434
179	353	432
180	355	430
181	358	429
182	360	427
183	361	424
184	363	422
185	365	420
186	367	418
187	369	416
188	371	414
189	374	413
190	376	411
191	378	409
192	380	407
193	382	406
194	384	404
195	386	402
196	389	401
197	390	398
198	392	396
199	394	394
200	395	391
201	396	389
202	398	386
203	400	384
204	401	381
205	403	379
206	404	377
207	406	375
208	408	373
209	410	371
210	418	375
211	420	372
212	422	371
213	425	369
214	427	367
215	428	365
216	430	362
217	431	360
218	433	358
219	435	355
220	436	353
221	438	351
222	439	349
223	441	347
224	444	345
225	446	343
226	448	341
227	450	339
228	452	338
229	454	336
230	456	334
231	458	332
232	460	330
233	462	328
234	464	326
235	466	324
236	468	321
237	469	319
238	471	317
239	472	315
240	474	313
241	476	311
242	478	309
243	481	307
244	483	305
245	485	303
246	487	301
247	488	299
248	490	297
249	492	295
250	495	293
251	497	291
252	498	289
253	500	287
254	502	285
255	503	283
256	505	281
257	506	278
258	508	276
259	510	274
260	512	272
261	514	271
262	516	269
263	519	267
264	521	265
265	523	263
266	525	261
267	527	259
268	529	257
269	531	255
270	533	254
271	536	252
272	538	250
273	540	248
274	542	246
275	544	244
276	546	242
277	548	240
278	550	238
279	552	236
280	554	234
281	557	233
282	559	231
283	561	229
284	563	227
285	564	225
286	566	223
287	568	221
288	570	218
289	572	217
290	573	214
291	575	212
292	577	210
293	578	208
294	580	206
295	581	204
296	583	202
297	584	200
298	586	198
299	589	196
300	590	194
301	592	192
302	594	190
303	596	188
304	598	186
305	600	184
306	616	186
307	618	184
308	619	182
309	621	180
310	622	178
311	624	176
312	626	174
313	628	172
314	630	170
315	632	168
316	634	166
317	636	164
318	638	162
319	639	159
320	641	157
321	643	155
322	645	153
323	646	151
324	648	149
325	650	147
326	652	145
327	653	143
328	655	141
329	657	139
330	658	137
331	660	135
332	662	133
333	664	131
334	665	129
335	667	127
336	669	125
337	671	123
338	673	121
339	675	119
340	677	117
341	679	115
342	681	113
343	682	111
344	684	109
345	685	106
346	687	104
347	689	102
348	690	100
349	692	98
350	694	96
351	696	95
352	698	93
353	700	91
354	702	89
355	704	87
356	706	85
357	708	83
358	710	81
359	712	79
360	714	77
361	716	75
362	718	73
363	720	71
364	722	69
365	724	67
366	726	65
367	728	63
368	730	61
369	732	59
370	734	57
371	735	55
372	737	53
373	740	51
374	742	49
375	743	47
376	745	45
377	747	43
378	748	41
379	750	39
380	752	37
381	753	35
382	755	33
383	756	31
384	758	29
385	759	27
386	761	25
387	762	23
388	763	21
389	765	19
390	766	17
391	768	15
392	770	13
393	771	11
394	773	9
395	774	7
396	776	5
397	778	3
398	779	1
399	781	0
