CaseID,fecha,BurstId,burst_side,decision_utc,outcome_path,state_cache_path,pre_overlap_records,overlap_prefix_exact,strict_feature_cutoff_utc_exclusive,year
HB001,2022-07-19,LB_20220719_093600_SELL_0001,SELL,2022-07-19T13:36:01.015000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220719_093600_SELL_0001.state.parquet,105,True,,2022
HB002,2022-08-31,LB_20220831_093400_SELL_0001,SELL,2022-08-31T13:34:01.039000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-08-31_LB_20220831_093400_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220831_093400_SELL_0001.state.parquet,96,True,,2022
HB003,2023-09-27,LB_20230927_093102_BUY_0001,BUY,2023-09-27T13:31:03.091000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-09-27_LB_20230927_093102_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230927_093102_BUY_0001.state.parquet,198,True,2023-09-27T13:31:03.091000+00:00,2023
HB004,2023-09-26,LB_20230926_093118_SELL_0002,SELL,2023-09-26T13:31:19.035000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-09-26_LB_20230926_093118_SELL_0002_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230926_093118_SELL_0002.state.parquet,247,True,2023-09-26T13:31:19.035000+00:00,2023
HB005,2023-09-05,LB_20230905_093500_SELL_0002,SELL,2023-09-05T13:35:01.010000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-09-05_LB_20230905_093500_SELL_0002_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230905_093500_SELL_0002.state.parquet,107,True,2023-09-05T13:35:01.010000+00:00,2023
HB006,2022-07-20,LB_20220720_093414_BUY_0001,BUY,2022-07-20T13:34:15.086000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220720_093414_BUY_0001.state.parquet,68,True,,2022
HB007,2022-10-27,LB_20221027_093628_SELL_0001,SELL,2022-10-27T13:36:29.053000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-27_LB_20221027_093628_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221027_093628_SELL_0001.state.parquet,233,True,,2022
HB008,2022-10-11,LB_20221011_093101_SELL_0001,SELL,2022-10-11T13:31:02.078000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-11_LB_20221011_093101_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221011_093101_SELL_0001.state.parquet,205,True,,2022
HB009,2023-04-04,LB_20230404_093600_SELL_0001,SELL,2023-04-04T13:36:01.053000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-04_LB_20230404_093600_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230404_093600_SELL_0001.state.parquet,153,True,2023-04-04T13:36:01.053000+00:00,2023
HB010,2022-05-20,LB_20220520_093501_SELL_0001,SELL,2022-05-20T13:35:02.005000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220520_093501_SELL_0001.state.parquet,122,True,,2022
