"CaseID","BurstId","year","phase"
"HB001","LB_20220719_093600_SELL_0001","2022","DISCOVERY"
"HB002","LB_20220831_093400_SELL_0001","2022","DISCOVERY"
"HB003","LB_20230927_093102_BUY_0001","2023","DISCOVERY"
"HB004","LB_20230926_093118_SELL_0002","2023","DISCOVERY"
"HB005","LB_20230905_093500_SELL_0002","2023","DISCOVERY"
"HB006","LB_20220720_093414_BUY_0001","2022","DISCOVERY"
"HB007","LB_20221027_093628_SELL_0001","2022","DISCOVERY"
"HB008","LB_20221011_093101_SELL_0001","2022","DISCOVERY"
"HB009","LB_20230404_093600_SELL_0001","2023","DISCOVERY"
"HB010","LB_20220520_093501_SELL_0001","2022","DISCOVERY"
"HB011","LB_20220504_093301_SELL_0001","2022","DISCOVERY"
"HB012","LB_20230914_093127_SELL_0001","2023","DISCOVERY"
"HB013","LB_20240510_093420_BUY_0001","2024","VALIDATION"
"HB014","LB_20240503_093157_SELL_0001","2024","VALIDATION"
"HB015","LB_20230727_093300_BUY_0001","2023","DISCOVERY"
"HB016","LB_20230419_093353_SELL_0001","2023","DISCOVERY"
"HB017","LB_20220509_093112_BUY_0001","2022","DISCOVERY"
"HB018","LB_20221028_093127_BUY_0001","2022","DISCOVERY"
"HB019","LB_20220608_093102_SELL_0001","2022","DISCOVERY"
"HB020","LB_20230919_093101_SELL_0001","2023","DISCOVERY"
"HB021","LB_20231002_093150_BUY_0001","2023","DISCOVERY"
"HB022","LB_20240722_093156_SELL_0001","2024","VALIDATION"
"HB023","LB_20240611_093350_BUY_0001","2024","VALIDATION"
"HB024","LB_20231102_093203_SELL_0001","2023","DISCOVERY"
"HB025","LB_20220527_093100_BUY_0001","2022","DISCOVERY"
"HB026","LB_20220906_093405_BUY_0001","2022","DISCOVERY"
"HB027","LB_20230922_093553_SELL_0001","2023","DISCOVERY"
"HB028","LB_20220726_093111_SELL_0001","2022","DISCOVERY"
"HB029","LB_20220804_093511_BUY_0001","2022","DISCOVERY"
"HB030","LB_20230526_093357_BUY_0001","2023","DISCOVERY"
"HB031","LB_20240813_093126_BUY_0001","2024","VALIDATION"
"HB032","LB_20220405_093200_BUY_0001","2022","DISCOVERY"
"HB033","LB_20220817_093558_BUY_0001","2022","DISCOVERY"
"HB034","LB_20220809_093105_SELL_0001","2022","DISCOVERY"
"HB035","LB_20230718_093258_SELL_0002","2023","DISCOVERY"
"HB036","LB_20230622_093240_BUY_0001","2023","DISCOVERY"
"HB037","LB_20231016_093102_BUY_0001","2023","DISCOVERY"
"HB038","LB_20230403_093250_BUY_0001","2023","DISCOVERY"
"HB039","LB_20240409_093342_SELL_0001","2024","VALIDATION"
"HB040","LB_20230321_093130_BUY_0001","2023","DISCOVERY"
"HB041","LB_20220718_093105_SELL_0001","2022","DISCOVERY"
"HB042","LB_20230720_093345_SELL_0001","2023","DISCOVERY"
