CaseID,label,coder,ordinal
HB044,A,CLAUDE,1
HB017,B,CLAUDE,2
HB056,A,CLAUDE,3
HB053,C,CLAUDE,4
HB030,B,CLAUDE,5
HB081,C,CLAUDE,6
HB054,B,CLAUDE,7
HB097,C,CLAUDE,8
HB035,C,CLAUDE,9
HB033,C,CLAUDE,10
HB087,C,CLAUDE,11
HB015,B,CLAUDE,12
HB011,C,CLAUDE,13
HB043,A,CLAUDE,14
HB059,C,CLAUDE,15
HB001,A,CLAUDE,16
HB080,B,CLAUDE,17
HB093,B,CLAUDE,18
HB006,A,CLAUDE,19
HB045,B,CLAUDE,20
HB014,C,CLAUDE,21
HB076,B,CLAUDE,22
HB007,A,CLAUDE,23
HB010,B,CLAUDE,24
HB019,C,CLAUDE,25
HB039,B,CLAUDE,26
HB072,A,CLAUDE,27
HB064,B,CLAUDE,28
HB009,B,CLAUDE,29
HB042,A,CLAUDE,30
HB096,A,CLAUDE,31
HB061,C,CLAUDE,32
HB074,B,CLAUDE,33
HB085,C,CLAUDE,34
HB062,C,CLAUDE,35
HB084,A,CLAUDE,36
HB070,B,CLAUDE,37
HB098,C,CLAUDE,38
HB022,A,CLAUDE,39
HB038,A,CLAUDE,40
HB034,C,CLAUDE,41
HB024,B,CLAUDE,42
HB021,B,CLAUDE,43
HB068,A,CLAUDE,44
HB002,C,CLAUDE,45
HB090,B,CLAUDE,46
HB046,A,CLAUDE,47
HB065,A,CLAUDE,48
HB004,B,CLAUDE,49
HB079,C,CLAUDE,50
HB075,C,CLAUDE,51
HB063,B,CLAUDE,52
HB041,B,CLAUDE,53
HB040,A,CLAUDE,54
HB028,A,CLAUDE,55
HB066,A,CLAUDE,56
HB016,A,CLAUDE,57
HB077,A,CLAUDE,58
HB047,B,CLAUDE,59
HB026,C,CLAUDE,60
HB049,C,CLAUDE,61
HB058,C,CLAUDE,62
HB032,A,CLAUDE,63
HB060,B,CLAUDE,64
HB069,B,CLAUDE,65
HB018,C,CLAUDE,66
HB091,A,CLAUDE,67
HB088,A,CLAUDE,68
HB031,B,CLAUDE,69
HB036,B,CLAUDE,70
HB082,C,CLAUDE,71
HB073,C,CLAUDE,72
HB027,C,CLAUDE,73
HB029,A,CLAUDE,74
HB008,B,CLAUDE,75
HB052,C,CLAUDE,76
HB095,B,CLAUDE,77
HB057,B,CLAUDE,78
HB089,B,CLAUDE,79
HB092,C,CLAUDE,80
HB067,B,CLAUDE,81
HB071,B,CLAUDE,82
HB023,B,CLAUDE,83
HB086,A,CLAUDE,84
HB012,B,CLAUDE,85
HB094,A,CLAUDE,86
HB055,B,CLAUDE,87
HB078,A,CLAUDE,88
HB005,B,CLAUDE,89
HB037,B,CLAUDE,90
HB051,C,CLAUDE,91
HB025,A,CLAUDE,92
HB003,B,CLAUDE,93
HB013,C,CLAUDE,94
HB083,C,CLAUDE,95
HB050,A,CLAUDE,96
HB020,B,CLAUDE,97
HB048,A,CLAUDE,98
