ordinal,CaseID
1,HB044
2,HB017
3,HB056
4,HB053
5,HB030
6,HB081
7,HB054
8,HB097
9,HB035
10,HB033
11,HB087
12,HB015
13,HB011
14,HB043
15,HB059
16,HB001
17,HB080
18,HB093
19,HB006
20,HB045
21,HB014
22,HB076
23,HB007
24,HB010
25,HB019
26,HB039
27,HB072
28,HB064
29,HB009
30,HB042
31,HB096
32,HB061
33,HB074
34,HB085
35,HB062
36,HB084
37,HB070
38,HB098
39,HB022
40,HB038
41,HB034
42,HB024
43,HB021
44,HB068
45,HB002
46,HB090
47,HB046
48,HB065
49,HB004
50,HB079
51,HB075
52,HB063
53,HB041
54,HB040
55,HB028
56,HB066
57,HB016
58,HB077
59,HB047
60,HB026
61,HB049
62,HB058
63,HB032
64,HB060
65,HB069
66,HB018
67,HB091
68,HB088
69,HB031
70,HB036
71,HB082
72,HB073
73,HB027
74,HB029
75,HB008
76,HB052
77,HB095
78,HB057
79,HB089
80,HB092
81,HB067
82,HB071
83,HB023
84,HB086
85,HB012
86,HB094
87,HB055
88,HB078
89,HB005
90,HB037
91,HB051
92,HB025
93,HB003
94,HB013
95,HB083
96,HB050
97,HB020
98,HB048
