CaseID,label,coder,ordinal
HB016,A,CODEX,1
HB074,C,CODEX,2
HB041,B,CODEX,3
HB019,C,CODEX,4
HB060,B,CODEX,5
HB051,C,CODEX,6
HB056,A,CODEX,7
HB083,C,CODEX,8
HB020,B,CODEX,9
HB023,B,CODEX,10
HB036,B,CODEX,11
HB052,A,CODEX,12
HB009,C,CODEX,13
HB078,C,CODEX,14
HB048,A,CODEX,15
HB087,C,CODEX,16
HB044,A,CODEX,17
HB054,B,CODEX,18
HB027,A,CODEX,19
HB061,C,CODEX,20
HB026,C,CODEX,21
HB072,C,CODEX,22
HB034,C,CODEX,23
HB037,B,CODEX,24
HB077,A,CODEX,25
HB076,B,CODEX,26
HB035,C,CODEX,27
HB032,A,CODEX,28
HB013,C,CODEX,29
HB043,A,CODEX,30
HB073,C,CODEX,31
HB018,B,CODEX,32
HB025,A,CODEX,33
HB063,B,CODEX,34
HB007,A,CODEX,35
HB003,B,CODEX,36
HB002,C,CODEX,37
HB022,A,CODEX,38
HB010,B,CODEX,39
HB030,C,CODEX,40
HB012,B,CODEX,41
HB049,C,CODEX,42
HB011,C,CODEX,43
HB062,C,CODEX,44
HB093,B,CODEX,45
HB096,A,CODEX,46
HB050,A,CODEX,47
HB059,C,CODEX,48
HB084,A,CODEX,49
HB070,B,CODEX,50
HB097,A,CODEX,51
HB081,C,CODEX,52
HB021,B,CODEX,53
HB066,A,CODEX,54
HB086,A,CODEX,55
HB090,B,CODEX,56
HB006,A,CODEX,57
HB029,A,CODEX,58
HB008,B,CODEX,59
HB088,A,CODEX,60
HB068,A,CODEX,61
HB075,C,CODEX,62
HB039,B,CODEX,63
HB045,B,CODEX,64
HB065,C,CODEX,65
HB017,B,CODEX,66
HB047,B,CODEX,67
HB033,C,CODEX,68
HB031,B,CODEX,69
HB071,B,CODEX,70
HB038,A,CODEX,71
HB024,B,CODEX,72
HB058,A,CODEX,73
HB080,B,CODEX,74
HB001,A,CODEX,75
HB005,B,CODEX,76
HB014,A,CODEX,77
HB098,B,CODEX,78
HB095,B,CODEX,79
HB091,A,CODEX,80
HB089,B,CODEX,81
HB064,B,CODEX,82
HB092,A,CODEX,83
HB085,A,CODEX,84
HB094,A,CODEX,85
HB079,A,CODEX,86
HB069,B,CODEX,87
HB040,A,CODEX,88
HB067,B,CODEX,89
HB057,B,CODEX,90
HB055,B,CODEX,91
HB053,C,CODEX,92
HB082,C,CODEX,93
HB004,B,CODEX,94
HB046,A,CODEX,95
HB028,A,CODEX,96
HB015,B,CODEX,97
HB042,A,CODEX,98
