"ordinal","CaseID"
"1","HB016"
"2","HB074"
"3","HB041"
"4","HB019"
"5","HB060"
"6","HB051"
"7","HB056"
"8","HB083"
"9","HB020"
"10","HB023"
"11","HB036"
"12","HB052"
"13","HB009"
"14","HB078"
"15","HB048"
"16","HB087"
"17","HB044"
"18","HB054"
"19","HB027"
"20","HB061"
"21","HB026"
"22","HB072"
"23","HB034"
"24","HB037"
"25","HB077"
"26","HB076"
"27","HB035"
"28","HB032"
"29","HB013"
"30","HB043"
"31","HB073"
"32","HB018"
"33","HB025"
"34","HB063"
"35","HB007"
"36","HB003"
"37","HB002"
"38","HB022"
"39","HB010"
"40","HB030"
"41","HB012"
"42","HB049"
"43","HB011"
"44","HB062"
"45","HB093"
"46","HB096"
"47","HB050"
"48","HB059"
"49","HB084"
"50","HB070"
"51","HB097"
"52","HB081"
"53","HB021"
"54","HB066"
"55","HB086"
"56","HB090"
"57","HB006"
"58","HB029"
"59","HB008"
"60","HB088"
"61","HB068"
"62","HB075"
"63","HB039"
"64","HB045"
"65","HB065"
"66","HB017"
"67","HB047"
"68","HB033"
"69","HB031"
"70","HB071"
"71","HB038"
"72","HB024"
"73","HB058"
"74","HB080"
"75","HB001"
"76","HB005"
"77","HB014"
"78","HB098"
"79","HB095"
"80","HB091"
"81","HB089"
"82","HB064"
"83","HB092"
"84","HB085"
"85","HB094"
"86","HB079"
"87","HB069"
"88","HB040"
"89","HB067"
"90","HB057"
"91","HB055"
"92","HB053"
"93","HB082"
"94","HB004"
"95","HB046"
"96","HB028"
"97","HB015"
"98","HB042"
