CaseID,original_consensus,claude_perturbed,codex_perturbed,new_consensus,in_primary_denominator,primary_flip,information_status
HB001,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB002,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB003,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB004,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB005,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB006,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB007,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB008,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB009,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB010,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB011,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB012,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB013,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB014,C,A,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB015,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB016,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB017,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB018,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB019,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB020,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB021,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB022,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB023,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB024,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB025,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB026,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB027,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB028,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB029,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB030,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB031,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB032,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB033,C,C,A,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB034,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB035,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB036,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB037,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB038,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB039,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB040,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB041,B,B,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB042,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB043,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB044,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB045,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB046,A,A,C,C,true,true,AMD2_STABILITY_NO_OUTCOME
HB047,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB048,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB049,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB050,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB051,C,A,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB052,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB053,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB054,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB055,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB056,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB057,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB058,C,A,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB059,C,A,A,A,false,false,AMD2_STABILITY_NO_OUTCOME
HB060,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB061,C,C,B,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB062,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB063,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB064,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB065,C,C,C,C,false,false,AMD2_STABILITY_NO_OUTCOME
HB066,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB067,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB068,A,A,A,A,true,false,AMD2_STABILITY_NO_OUTCOME
HB069,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB070,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
HB071,B,B,B,B,true,false,AMD2_STABILITY_NO_OUTCOME
