ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
1,HB001,54095314215fb12364c94b430c4238b5e8c6ab69bcd0f0656159b15143a76cf1,064c2db228d6a0011a5e2e538948d422fed7a46ff20049da307b7b91c1d84a50,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
2,HB002,7cd1ec131e86427e706ed47e7acf8ece5e3dfc195b44004a588b85153e3e89f7,0e2bda3c38f2bae091321ddbb034d152606af6417dd670568c61cc858b9e8904,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
3,HB003,7511f238dfa781274511bf2ccc7ae255f93b6aa5d4ac568cf47ae42a78e320a0,7993ef69474d23845d9abf4013fbcd9ef6beefd7c903e6d336c462d945d5428d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
4,HB004,6627f91714eda24446f4211a55d2a506c5495cb1b374f400d79304d6e2523282,1d5c9f2ded024dbfce206f881c8aef0753cc0b66599be78c26a6fea29996516c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
5,HB005,7d2da47d05e3dea1dcd8525bc893bd7debee9c3824644d6227fd00aa5683679a,60d976cd85c7639a1e380ff655744cc70b101b29a1552dd14b31c6f5c85b3437,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
6,HB006,85519f552892f39b82f4d4c0f170d02b957e8368dccdcf503900f44dd16bc32a,487eb1112b723cfd48e896cfdb384a68d2121f8b3829f76cfda661fd74863bca,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
7,HB007,0022b20e66b100c0c091816f60d04f020dec4f58eed381debf5f58a59d21f8d9,e881960575147ba335a14c72479f826403401473fa7ee9ae82b980640dbdf80e,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
8,HB008,625950ab8b255f893705bcadf134c5a05e3b762ef9e80ed642f304ba5e33f23a,3b8cd560e3f8610fd4860cf87b919d7ffa04cbe1ceebc9e6ce785df5aa5fdd75,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
9,HB009,d8992f257bb284f5345db8393093e1e789da8e7abf7385b765cc94ec3ae8afcb,9c297328c34761cf1c5452aaa044a10ef09a2fee43cb2af70fcd2c08ff3bf764,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
10,HB010,eb06be316f793bfa1a0fe28d6d0e630eccb42341df93b921a7732857444fb407,3e90198d04bfb9d5e6661a6a6eef4eeed9fc631f5c9461592ed7790ea9a464e7,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
11,HB011,d454a23f1026aa3655a074a3ff918750f8149fd4afbe3f5961b5312e665b7542,0a89c5045a363f4e315eb908f9b8b0d5945243c250a464e38ee2be63f176cd57,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
12,HB012,582d1c3b70bdefb5dfb331f67ca79f1bd1e9bee6ba096ef8fb4cf1a3c7dd55d0,1ac02b4979e3fce82b8ae6602b960f54f9314e758048d16fd3c6be7edf5168eb,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
