ordinal,CaseID
1,HB047
2,HB036
3,HB067
4,HB081
5,HB090
6,HB006
7,HB022
8,HB033
9,HB088
10,HB079
11,HB018
12,HB074
13,HB071
14,HB003
15,HB049
16,HB038
17,HB056
18,HB084
19,HB028
20,HB048
21,HB009
22,HB098
23,HB055
24,HB020
25,HB008
26,HB064
27,HB063
28,HB094
29,HB004
30,HB053
31,HB089
32,HB077
33,HB010
34,HB031
35,HB062
36,HB005
37,HB057
38,HB096
39,HB014
40,HB025
41,HB030
42,HB007
43,HB078
44,HB052
45,HB035
46,HB069
47,HB013
48,HB023
49,HB083
50,HB061
51,HB072
52,HB085
53,HB037
54,HB034
55,HB082
56,HB066
57,HB060
58,HB050
59,HB044
60,HB019
61,HB042
62,HB073
63,HB093
64,HB046
65,HB016
66,HB054
67,HB032
68,HB051
69,HB027
70,HB087
71,HB015
72,HB011
73,HB026
74,HB086
75,HB095
76,HB080
77,HB097
78,HB024
79,HB012
80,HB029
81,HB045
82,HB039
83,HB065
84,HB040
85,HB092
86,HB059
87,HB076
88,HB068
89,HB043
90,HB091
91,HB070
92,HB001
93,HB041
94,HB002
95,HB058
96,HB021
97,HB075
98,HB017
