ordinal,CaseID
1,HB072
2,HB071
3,HB062
4,HB007
5,HB014
6,HB001
7,HB030
8,HB038
9,HB024
10,HB081
11,HB047
12,HB082
13,HB075
14,HB097
15,HB083
16,HB013
17,HB025
18,HB043
19,HB004
20,HB098
21,HB044
22,HB092
23,HB018
24,HB065
25,HB052
26,HB027
27,HB053
28,HB020
29,HB076
30,HB059
31,HB033
32,HB089
33,HB080
34,HB042
35,HB067
36,HB087
37,HB032
38,HB017
39,HB058
40,HB029
41,HB006
42,HB034
43,HB021
44,HB040
45,HB091
46,HB011
47,HB060
48,HB077
49,HB084
50,HB016
51,HB009
52,HB063
53,HB086
54,HB079
55,HB056
56,HB003
57,HB002
58,HB055
59,HB015
60,HB095
61,HB035
62,HB096
63,HB023
64,HB046
65,HB036
66,HB050
67,HB064
68,HB045
69,HB051
70,HB012
71,HB048
72,HB088
73,HB039
74,HB093
75,HB019
76,HB022
77,HB094
78,HB066
79,HB028
80,HB041
81,HB061
82,HB068
83,HB049
84,HB054
85,HB070
86,HB037
87,HB031
88,HB090
89,HB073
90,HB069
91,HB008
92,HB078
93,HB026
94,HB005
95,HB057
96,HB010
97,HB085
98,HB074
