CaseID,claude_label,codex_label,consensus_label,information_status
HB001,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB002,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB003,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB004,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB005,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB006,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB007,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB008,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB009,B,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB010,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB011,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB012,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB013,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB014,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB015,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB016,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB017,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB018,C,B,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB019,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB020,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB021,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB022,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB023,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB024,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB025,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB026,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB027,C,A,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB028,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB029,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB030,B,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB031,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB032,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB033,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB034,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB035,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB036,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB037,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB038,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB039,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB040,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB041,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB042,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB043,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB044,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB045,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB046,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB047,B,B,B,AI_CONSENSUS_NO_OUTCOME_AMD2
HB048,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
HB049,C,C,C,AI_CONSENSUS_NO_OUTCOME_AMD2
HB050,A,A,A,AI_CONSENSUS_NO_OUTCOME_AMD2
