CaseID,amd3_stable_core,claude_perturbation2,codex_perturbation2,perturbation2_consensus,in_primary_denominator,primary_flip,information_status
HB001,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB002,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB003,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB004,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB005,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB006,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB007,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB008,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB009,C,C,B,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB010,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB011,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB012,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB013,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB014,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB015,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB016,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB017,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB018,C,B,B,B,false,false,AMD3_STABILITY_NO_OUTCOME
HB019,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB020,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB021,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB022,A,C,A,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB023,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB024,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB025,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB026,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB027,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB028,A,C,A,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB029,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB030,C,C,B,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB031,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB032,A,C,A,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB033,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB034,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB035,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB036,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB037,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB038,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB039,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB040,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB041,C,B,B,B,false,false,AMD3_STABILITY_NO_OUTCOME
HB042,C,A,A,A,false,false,AMD3_STABILITY_NO_OUTCOME
HB043,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB044,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB045,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB046,C,A,A,A,false,false,AMD3_STABILITY_NO_OUTCOME
HB047,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB048,A,C,A,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB049,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB050,A,C,A,C,true,true,AMD3_STABILITY_NO_OUTCOME
HB051,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB052,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB053,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB054,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB055,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB056,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB057,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB058,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB059,C,C,A,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB060,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB061,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB062,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB063,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB064,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB065,C,C,C,C,false,false,AMD3_STABILITY_NO_OUTCOME
HB066,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB067,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB068,A,A,A,A,true,false,AMD3_STABILITY_NO_OUTCOME
HB069,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
HB070,B,B,B,B,true,false,AMD3_STABILITY_NO_OUTCOME
