ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
1,HB001,54095314215fb12364c94b430c4238b5e8c6ab69bcd0f0656159b15143a76cf1,69e8829a04298fdb5d54463b19e86f83aa4d61321362ffbf9f6a936eab702271,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
2,HB002,7cd1ec131e86427e706ed47e7acf8ece5e3dfc195b44004a588b85153e3e89f7,d3feedd8390edd878fbb8ee8af20f5cce759b4548e55498ab4f236ad412827b7,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
3,HB003,7511f238dfa781274511bf2ccc7ae255f93b6aa5d4ac568cf47ae42a78e320a0,a6b47d1e8ab850a552fdc34a255f48846913db7c47e45e849c1b1953c4c473b8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
4,HB004,6627f91714eda24446f4211a55d2a506c5495cb1b374f400d79304d6e2523282,bdde7c9cb6fce14d715ce948f1aecaa2df6bab191dce748ef49f1256a3eb6b7a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
5,HB005,7d2da47d05e3dea1dcd8525bc893bd7debee9c3824644d6227fd00aa5683679a,caa0f4670ffbe456a5676ddf81ff7d545a985c2df693da51c3ae6832bd17d49b,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
6,HB006,85519f552892f39b82f4d4c0f170d02b957e8368dccdcf503900f44dd16bc32a,3bd43705e332a1516a560fe8300c737a95bc60828b98ff2d730cd0633a46c8d2,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
7,HB007,0022b20e66b100c0c091816f60d04f020dec4f58eed381debf5f58a59d21f8d9,15b54fccb7b167ab870d4a27cdd225a4f725c104837cafbf6d9a232f86b989fc,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
8,HB008,625950ab8b255f893705bcadf134c5a05e3b762ef9e80ed642f304ba5e33f23a,a4ed30bc6500ca5ee793b0e57cf01a6a98518528a9da68fd121141a0a9ab6826,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
9,HB009,d8992f257bb284f5345db8393093e1e789da8e7abf7385b765cc94ec3ae8afcb,b77377a37d6d30b0908e1eaac7e3103adadf40f0ce9a2512ed03cd2953321603,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
10,HB010,eb06be316f793bfa1a0fe28d6d0e630eccb42341df93b921a7732857444fb407,2802fa1a9b9a11e839981d45c69695e359b8ac8d37dd95467020d72d1dcec1d4,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
11,HB011,d454a23f1026aa3655a074a3ff918750f8149fd4afbe3f5961b5312e665b7542,f0fff333f1664f2ff93aa14019db697440054bd9b6b61cbd7a703d2771b7c53b,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
