CaseID,label,coder,ordinal
HB033,C,CLAUDE_AMD3,1
HB011,C,CLAUDE_AMD3,2
HB014,C,CLAUDE_AMD3,3
HB075,C,CLAUDE_AMD3,4
HB006,A,CLAUDE_AMD3,5
HB028,C,CLAUDE_AMD3,6
HB054,B,CLAUDE_AMD3,7
HB086,A,CLAUDE_AMD3,8
HB061,C,CLAUDE_AMD3,9
HB097,C,CLAUDE_AMD3,10
HB082,C,CLAUDE_AMD3,11
HB066,A,CLAUDE_AMD3,12
HB084,C,CLAUDE_AMD3,13
HB053,C,CLAUDE_AMD3,14
HB043,A,CLAUDE_AMD3,15
HB060,B,CLAUDE_AMD3,16
HB040,A,CLAUDE_AMD3,17
HB034,C,CLAUDE_AMD3,18
HB076,B,CLAUDE_AMD3,19
HB081,C,CLAUDE_AMD3,20
HB036,B,CLAUDE_AMD3,21
HB049,C,CLAUDE_AMD3,22
HB018,B,CLAUDE_AMD3,23
HB070,B,CLAUDE_AMD3,24
HB057,B,CLAUDE_AMD3,25
HB038,A,CLAUDE_AMD3,26
HB029,C,CLAUDE_AMD3,27
HB004,B,CLAUDE_AMD3,28
HB032,C,CLAUDE_AMD3,29
HB071,B,CLAUDE_AMD3,30
HB030,C,CLAUDE_AMD3,31
HB026,C,CLAUDE_AMD3,32
HB042,A,CLAUDE_AMD3,33
HB047,B,CLAUDE_AMD3,34
HB095,B,CLAUDE_AMD3,35
HB003,B,CLAUDE_AMD3,36
HB062,C,CLAUDE_AMD3,37
HB025,A,CLAUDE_AMD3,38
HB016,A,CLAUDE_AMD3,39
HB091,A,CLAUDE_AMD3,40
HB008,B,CLAUDE_AMD3,41
HB093,B,CLAUDE_AMD3,42
HB058,C,CLAUDE_AMD3,43
HB046,A,CLAUDE_AMD3,44
HB022,C,CLAUDE_AMD3,45
HB023,B,CLAUDE_AMD3,46
HB037,B,CLAUDE_AMD3,47
HB068,A,CLAUDE_AMD3,48
HB098,C,CLAUDE_AMD3,49
HB031,B,CLAUDE_AMD3,50
HB019,C,CLAUDE_AMD3,51
HB088,A,CLAUDE_AMD3,52
HB039,B,CLAUDE_AMD3,53
HB059,C,CLAUDE_AMD3,54
HB056,A,CLAUDE_AMD3,55
HB063,B,CLAUDE_AMD3,56
HB064,B,CLAUDE_AMD3,57
HB009,C,CLAUDE_AMD3,58
HB002,C,CLAUDE_AMD3,59
HB067,B,CLAUDE_AMD3,60
HB087,C,CLAUDE_AMD3,61
HB001,A,CLAUDE_AMD3,62
HB077,C,CLAUDE_AMD3,63
HB005,B,CLAUDE_AMD3,64
HB073,C,CLAUDE_AMD3,65
HB051,C,CLAUDE_AMD3,66
HB007,A,CLAUDE_AMD3,67
HB078,A,CLAUDE_AMD3,68
HB090,B,CLAUDE_AMD3,69
HB074,C,CLAUDE_AMD3,70
HB080,B,CLAUDE_AMD3,71
HB017,B,CLAUDE_AMD3,72
HB096,A,CLAUDE_AMD3,73
HB052,C,CLAUDE_AMD3,74
HB048,C,CLAUDE_AMD3,75
HB024,B,CLAUDE_AMD3,76
HB010,B,CLAUDE_AMD3,77
HB050,C,CLAUDE_AMD3,78
HB012,B,CLAUDE_AMD3,79
HB083,C,CLAUDE_AMD3,80
HB015,B,CLAUDE_AMD3,81
HB094,C,CLAUDE_AMD3,82
HB065,C,CLAUDE_AMD3,83
HB041,B,CLAUDE_AMD3,84
HB079,C,CLAUDE_AMD3,85
HB055,B,CLAUDE_AMD3,86
HB092,C,CLAUDE_AMD3,87
HB020,B,CLAUDE_AMD3,88
HB035,C,CLAUDE_AMD3,89
HB045,B,CLAUDE_AMD3,90
HB072,A,CLAUDE_AMD3,91
HB044,C,CLAUDE_AMD3,92
HB085,C,CLAUDE_AMD3,93
HB089,B,CLAUDE_AMD3,94
HB027,C,CLAUDE_AMD3,95
HB021,B,CLAUDE_AMD3,96
HB069,B,CLAUDE_AMD3,97
HB013,C,CLAUDE_AMD3,98
