CaseID,label,coder,ordinal
HB063,B,CODEX_AMD3,1
HB081,C,CODEX_AMD3,2
HB028,A,CODEX_AMD3,3
HB025,A,CODEX_AMD3,4
HB004,B,CODEX_AMD3,5
HB059,A,CODEX_AMD3,6
HB083,A,CODEX_AMD3,7
HB074,C,CODEX_AMD3,8
HB044,A,CODEX_AMD3,9
HB066,A,CODEX_AMD3,10
HB035,C,CODEX_AMD3,11
HB013,C,CODEX_AMD3,12
HB009,B,CODEX_AMD3,13
HB092,C,CODEX_AMD3,14
HB051,C,CODEX_AMD3,15
HB024,B,CODEX_AMD3,16
HB072,A,CODEX_AMD3,17
HB018,B,CODEX_AMD3,18
HB036,B,CODEX_AMD3,19
HB027,A,CODEX_AMD3,20
HB094,A,CODEX_AMD3,21
HB093,B,CODEX_AMD3,22
HB037,B,CODEX_AMD3,23
HB050,A,CODEX_AMD3,24
HB098,C,CODEX_AMD3,25
HB026,C,CODEX_AMD3,26
HB056,A,CODEX_AMD3,27
HB012,B,CODEX_AMD3,28
HB058,A,CODEX_AMD3,29
HB003,B,CODEX_AMD3,30
HB084,A,CODEX_AMD3,31
HB001,A,CODEX_AMD3,32
HB065,C,CODEX_AMD3,33
HB095,B,CODEX_AMD3,34
HB069,B,CODEX_AMD3,35
HB048,A,CODEX_AMD3,36
HB038,A,CODEX_AMD3,37
HB068,A,CODEX_AMD3,38
HB010,B,CODEX_AMD3,39
HB075,C,CODEX_AMD3,40
HB002,C,CODEX_AMD3,41
HB060,B,CODEX_AMD3,42
HB090,B,CODEX_AMD3,43
HB079,C,CODEX_AMD3,44
HB030,B,CODEX_AMD3,45
HB029,A,CODEX_AMD3,46
HB008,B,CODEX_AMD3,47
HB070,B,CODEX_AMD3,48
HB017,B,CODEX_AMD3,49
HB086,A,CODEX_AMD3,50
HB073,C,CODEX_AMD3,51
HB055,B,CODEX_AMD3,52
HB054,B,CODEX_AMD3,53
HB014,C,CODEX_AMD3,54
HB082,C,CODEX_AMD3,55
HB033,C,CODEX_AMD3,56
HB041,B,CODEX_AMD3,57
HB046,A,CODEX_AMD3,58
HB016,A,CODEX_AMD3,59
HB021,B,CODEX_AMD3,60
HB071,B,CODEX_AMD3,61
HB031,B,CODEX_AMD3,62
HB062,C,CODEX_AMD3,63
HB077,A,CODEX_AMD3,64
HB076,B,CODEX_AMD3,65
HB032,A,CODEX_AMD3,66
HB053,C,CODEX_AMD3,67
HB091,A,CODEX_AMD3,68
HB057,B,CODEX_AMD3,69
HB023,B,CODEX_AMD3,70
HB049,C,CODEX_AMD3,71
HB045,B,CODEX_AMD3,72
HB096,C,CODEX_AMD3,73
HB080,B,CODEX_AMD3,74
HB061,C,CODEX_AMD3,75
HB006,A,CODEX_AMD3,76
HB087,C,CODEX_AMD3,77
HB043,A,CODEX_AMD3,78
HB007,A,CODEX_AMD3,79
HB015,B,CODEX_AMD3,80
HB097,C,CODEX_AMD3,81
HB078,A,CODEX_AMD3,82
HB064,B,CODEX_AMD3,83
HB052,A,CODEX_AMD3,84
HB040,A,CODEX_AMD3,85
HB042,A,CODEX_AMD3,86
HB005,B,CODEX_AMD3,87
HB020,B,CODEX_AMD3,88
HB047,B,CODEX_AMD3,89
HB089,B,CODEX_AMD3,90
HB088,A,CODEX_AMD3,91
HB019,C,CODEX_AMD3,92
HB011,A,CODEX_AMD3,93
HB034,A,CODEX_AMD3,94
HB022,A,CODEX_AMD3,95
HB085,A,CODEX_AMD3,96
HB039,B,CODEX_AMD3,97
HB067,B,CODEX_AMD3,98
