request_id,original_request_id,fecha,symbols,start_utc,end_utc_exclusive,estimated_cost_usd
NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001,2022-04-26,NQM2,2022-04-26T13:31:43.903000+00:00,2022-04-26T13:31:49.103000+00:00,0.055297400057
NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001,2022-04-27,NQM2,2022-04-27T13:35:00.907000+00:00,2022-04-27T13:35:06.107000+00:00,0.064901424944
NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001,2022-05-04,NQM2,2022-05-04T13:33:01.905000+00:00,2022-05-04T13:33:07.105000+00:00,0.051040251553
NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001,2022-05-09,NQM2,2022-05-09T13:31:12.910000+00:00,2022-05-09T13:31:18.110000+00:00,0.070349031687
NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001,2022-05-18,NQM2,2022-05-18T13:34:57.972000+00:00,2022-05-18T13:35:03.172000+00:00,0.050453048944
NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001,2022-05-20,NQM2,2022-05-20T13:35:01.905000+00:00,2022-05-20T13:35:07.105000+00:00,0.05958327502
NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001,2022-05-23,NQM2,2022-05-23T13:34:20.920000+00:00,2022-05-23T13:34:26.120000+00:00,0.06527120769
NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001,2022-05-27,NQM2,2022-05-27T13:31:00.919000+00:00,2022-05-27T13:31:06.119000+00:00,0.049711418152
NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001,2022-06-08,NQM2,2022-06-08T13:31:02.907000+00:00,2022-06-08T13:31:08.107000+00:00,0.05893946439
NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-06-27_LB_20220627_093202_SELL_0001,2022-06-27,NQU2,2022-06-27T13:32:02.909000+00:00,2022-06-27T13:32:08.109000+00:00,0.057043893635
NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-07-18_LB_20220718_093105_SELL_0001,2022-07-18,NQU2,2022-07-18T13:31:05.904000+00:00,2022-07-18T13:31:11.104000+00:00,0.058716881275
NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-07-19_LB_20220719_093600_SELL_0001,2022-07-19,NQU2,2022-07-19T13:36:00.915000+00:00,2022-07-19T13:36:06.115000+00:00,0.055701635778
NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001_PAD100MS,NQ_JOINT_AB_V4_MBO_2022-07-20_LB_20220720_093414_BUY_0001,2022-07-20,NQU2,2022-07-20T13:34:14.986000+00:00,2022-07-20T13:34:20.186000+00:00,0.047946618497
