fecha,window_start_utc,window_end_utc_exclusive,p0,event_count,max_abs_ticks,dwell_plus_ext_s,dwell_minus_ext_s,dwell_plus_ret_s,dwell_minus_ret_s
2022-04-05,2022-04-05T13:29:00+00:00,2022-04-05T13:29:05+00:00,15104.0,49,4.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:05+00:00,2022-04-05T13:29:10+00:00,15104.5,36,3.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:10+00:00,2022-04-05T13:29:15+00:00,15104.75,21,3.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:15+00:00,2022-04-05T13:29:20+00:00,15105.25,43,10.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:20+00:00,2022-04-05T13:29:25+00:00,15107.75,45,6.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:25+00:00,2022-04-05T13:29:30+00:00,15107.25,20,5.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:30+00:00,2022-04-05T13:29:35+00:00,15106.5,36,8.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:35+00:00,2022-04-05T13:29:40+00:00,15105.0,78,13.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:40+00:00,2022-04-05T13:29:45+00:00,15106.5,46,6.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:45+00:00,2022-04-05T13:29:50+00:00,15106.5,74,18.0,0.0,0.0,0.0,2.366249667
2022-04-05,2022-04-05T13:29:50+00:00,2022-04-05T13:29:55+00:00,15102.5,121,9.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:29:55+00:00,2022-04-05T13:30:00+00:00,15100.75,122,23.0,0.0,0.0,0.811908035,0.0
2022-04-05,2022-04-05T13:30:00+00:00,2022-04-05T13:30:05+00:00,15105.5,703,39.0,0.0,0.104518768,0.0,2.479509466
2022-04-05,2022-04-05T13:30:05+00:00,2022-04-05T13:30:10+00:00,15102.75,329,30.0,0.0,0.0,1.720150395,0.0
2022-04-05,2022-04-05T13:30:10+00:00,2022-04-05T13:30:15+00:00,15107.25,230,40.0,0.405199409,0.0,3.980584559,0.0
2022-04-05,2022-04-05T13:30:15+00:00,2022-04-05T13:30:20+00:00,15116.75,329,45.0,1.178359171,0.0,3.432585367,0.0
2022-04-05,2022-04-05T13:30:20+00:00,2022-04-05T13:30:25+00:00,15126.25,276,18.0,0.0,0.0,0.0,0.10503239
2022-04-05,2022-04-05T13:30:25+00:00,2022-04-05T13:30:30+00:00,15123.0,180,13.0,0.0,0.0,0.0,0.0
2022-04-05,2022-04-05T13:30:30+00:00,2022-04-05T13:30:35+00:00,15122.0,226,28.0,0.0,0.0,0.0,0.836464263
2022-04-05,2022-04-05T13:30:35+00:00,2022-04-05T13:30:40+00:00,15116.25,241,22.0,0.0,0.0,0.050525838,0.749128784
2022-04-05,2022-04-05T13:30:40+00:00,2022-04-05T13:30:45+00:00,15111.25,232,37.0,0.0,0.234838728,0.0,1.815178055
2022-04-05,2022-04-05T13:30:45+00:00,2022-04-05T13:30:50+00:00,15105.5,204,18.0,0.0,0.0,0.256295168,0.049834456
2022-04-05,2022-04-05T13:30:50+00:00,2022-04-05T13:30:55+00:00,15108.25,251,43.0,1.466782722,0.0,4.205442248,0.0
2022-04-05,2022-04-05T13:30:55+00:00,2022-04-05T13:31:00+00:00,15111.75,125,29.0,0.0,0.0,0.0,3.504204457
2022-04-06,2022-04-06T13:29:00+00:00,2022-04-06T13:29:05+00:00,14596.25,34,8.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-06T13:29:05+00:00,2022-04-06T13:29:10+00:00,14595.25,25,4.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-06T13:29:10+00:00,2022-04-06T13:29:15+00:00,14595.25,31,9.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-06T13:29:15+00:00,2022-04-06T13:29:20+00:00,14597.5,20,8.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-06T13:29:20+00:00,2022-04-06T13:29:25+00:00,14599.0,35,7.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-06T13:29:25+00:00,2022-04-06T13:29:30+00:00,14600.75,21,2.0,0.0,0.0,0.0,0.0
2022-04-06,2022-04-06T13:29:30+00:00,2022-04-06T13:29:35+00:00,14600.75,18,7.0,0.0,0.0,0.0,0.0
