fecha,window_start_utc,window_end_utc_exclusive,has_p0,event_count,valid
2022-04-05,2022-04-05T13:29:00+00:00,2022-04-05T13:29:05+00:00,True,49,True
2022-04-05,2022-04-05T13:29:05+00:00,2022-04-05T13:29:10+00:00,True,36,True
2022-04-05,2022-04-05T13:29:10+00:00,2022-04-05T13:29:15+00:00,True,21,True
2022-04-05,2022-04-05T13:29:15+00:00,2022-04-05T13:29:20+00:00,True,43,True
2022-04-05,2022-04-05T13:29:20+00:00,2022-04-05T13:29:25+00:00,True,45,True
2022-04-05,2022-04-05T13:29:25+00:00,2022-04-05T13:29:30+00:00,True,20,True
2022-04-05,2022-04-05T13:29:30+00:00,2022-04-05T13:29:35+00:00,True,36,True
2022-04-05,2022-04-05T13:29:35+00:00,2022-04-05T13:29:40+00:00,True,78,True
2022-04-05,2022-04-05T13:29:40+00:00,2022-04-05T13:29:45+00:00,True,46,True
2022-04-05,2022-04-05T13:29:45+00:00,2022-04-05T13:29:50+00:00,True,74,True
2022-04-05,2022-04-05T13:29:50+00:00,2022-04-05T13:29:55+00:00,True,121,True
2022-04-05,2022-04-05T13:29:55+00:00,2022-04-05T13:30:00+00:00,True,122,True
2022-04-05,2022-04-05T13:30:00+00:00,2022-04-05T13:30:05+00:00,True,703,True
2022-04-05,2022-04-05T13:30:05+00:00,2022-04-05T13:30:10+00:00,True,329,True
2022-04-05,2022-04-05T13:30:10+00:00,2022-04-05T13:30:15+00:00,True,230,True
2022-04-05,2022-04-05T13:30:15+00:00,2022-04-05T13:30:20+00:00,True,329,True
2022-04-05,2022-04-05T13:30:20+00:00,2022-04-05T13:30:25+00:00,True,276,True
2022-04-05,2022-04-05T13:30:25+00:00,2022-04-05T13:30:30+00:00,True,180,True
2022-04-05,2022-04-05T13:30:30+00:00,2022-04-05T13:30:35+00:00,True,226,True
2022-04-05,2022-04-05T13:30:35+00:00,2022-04-05T13:30:40+00:00,True,241,True
2022-04-05,2022-04-05T13:30:40+00:00,2022-04-05T13:30:45+00:00,True,232,True
2022-04-05,2022-04-05T13:30:45+00:00,2022-04-05T13:30:50+00:00,True,204,True
2022-04-05,2022-04-05T13:30:50+00:00,2022-04-05T13:30:55+00:00,True,251,True
2022-04-05,2022-04-05T13:30:55+00:00,2022-04-05T13:31:00+00:00,True,125,True
2022-04-06,2022-04-06T13:29:00+00:00,2022-04-06T13:29:05+00:00,True,34,True
2022-04-06,2022-04-06T13:29:05+00:00,2022-04-06T13:29:10+00:00,True,25,True
2022-04-06,2022-04-06T13:29:10+00:00,2022-04-06T13:29:15+00:00,True,31,True
2022-04-06,2022-04-06T13:29:15+00:00,2022-04-06T13:29:20+00:00,True,20,True
2022-04-06,2022-04-06T13:29:20+00:00,2022-04-06T13:29:25+00:00,True,35,True
2022-04-06,2022-04-06T13:29:25+00:00,2022-04-06T13:29:30+00:00,True,21,True
2022-04-06,2022-04-06T13:29:30+00:00,2022-04-06T13:29:35+00:00,True,18,True
2022-04-06,2022-04-06T13:29:35+00:00,2022-04-06T13:29:40+00:00,True,15,True
2022-04-06,2022-04-06T13:29:40+00:00,2022-04-06T13:29:45+00:00,True,30,True
2022-04-06,2022-04-06T13:29:45+00:00,2022-04-06T13:29:50+00:00,True,36,True
2022-04-06,2022-04-06T13:29:50+00:00,2022-04-06T13:29:55+00:00,True,34,True
2022-04-06,2022-04-06T13:29:55+00:00,2022-04-06T13:30:00+00:00,True,121,True
2022-04-26,2022-04-26T13:29:00+00:00,2022-04-26T13:29:05+00:00,True,38,True
2022-04-26,2022-04-26T13:29:05+00:00,2022-04-26T13:29:10+00:00,True,47,True
2022-04-26,2022-04-26T13:29:10+00:00,2022-04-26T13:29:15+00:00,True,31,True
2022-04-26,2022-04-26T13:29:15+00:00,2022-04-26T13:29:20+00:00,True,45,True
2022-04-26,2022-04-26T13:29:20+00:00,2022-04-26T13:29:25+00:00,True,29,True
2022-04-26,2022-04-26T13:29:25+00:00,2022-04-26T13:29:30+00:00,True,19,True
2022-04-26,2022-04-26T13:29:30+00:00,2022-04-26T13:29:35+00:00,True,23,True
2022-04-26,2022-04-26T13:29:35+00:00,2022-04-26T13:29:40+00:00,True,29,True
2022-04-26,2022-04-26T13:29:40+00:00,2022-04-26T13:29:45+00:00,True,29,True
2022-04-26,2022-04-26T13:29:45+00:00,2022-04-26T13:29:50+00:00,True,27,True
2022-04-26,2022-04-26T13:29:50+00:00,2022-04-26T13:29:55+00:00,True,41,True
2022-04-26,2022-04-26T13:29:55+00:00,2022-04-26T13:30:00+00:00,True,84,True
2022-04-26,2022-04-26T13:30:00+00:00,2022-04-26T13:30:05+00:00,True,541,True
2022-04-26,2022-04-26T13:30:05+00:00,2022-04-26T13:30:10+00:00,True,313,True
2022-04-26,2022-04-26T13:30:10+00:00,2022-04-26T13:30:15+00:00,True,251,True
2022-04-26,2022-04-26T13:30:15+00:00,2022-04-26T13:30:20+00:00,True,295,True
2022-04-26,2022-04-26T13:30:20+00:00,2022-04-26T13:30:25+00:00,True,513,True
2022-04-26,2022-04-26T13:30:25+00:00,2022-04-26T13:30:30+00:00,True,242,True
2022-04-26,2022-04-26T13:30:30+00:00,2022-04-26T13:30:35+00:00,True,263,True
2022-04-26,2022-04-26T13:30:35+00:00,2022-04-26T13:30:40+00:00,True,348,True
2022-04-27,2022-04-27T13:29:00+00:00,2022-04-27T13:29:05+00:00,True,31,True
2022-04-27,2022-04-27T13:29:05+00:00,2022-04-27T13:29:10+00:00,True,49,True
2022-04-27,2022-04-27T13:29:10+00:00,2022-04-27T13:29:15+00:00,True,14,True
2022-04-27,2022-04-27T13:29:15+00:00,2022-04-27T13:29:20+00:00,True,21,True
2022-04-27,2022-04-27T13:29:20+00:00,2022-04-27T13:29:25+00:00,True,13,True
2022-04-27,2022-04-27T13:29:25+00:00,2022-04-27T13:29:30+00:00,True,75,True
2022-04-27,2022-04-27T13:29:30+00:00,2022-04-27T13:29:35+00:00,True,77,True
2022-04-27,2022-04-27T13:29:35+00:00,2022-04-27T13:29:40+00:00,True,16,True
2022-04-27,2022-04-27T13:29:40+00:00,2022-04-27T13:29:45+00:00,True,25,True
2022-04-27,2022-04-27T13:29:45+00:00,2022-04-27T13:29:50+00:00,True,51,True
2022-04-27,2022-04-27T13:29:50+00:00,2022-04-27T13:29:55+00:00,True,31,True
2022-04-27,2022-04-27T13:29:55+00:00,2022-04-27T13:30:00+00:00,True,137,True
2022-04-27,2022-04-27T13:30:00+00:00,2022-04-27T13:30:05+00:00,True,841,True
2022-04-27,2022-04-27T13:30:05+00:00,2022-04-27T13:30:10+00:00,True,521,True
2022-04-27,2022-04-27T13:30:10+00:00,2022-04-27T13:30:15+00:00,True,304,True
2022-04-27,2022-04-27T13:30:15+00:00,2022-04-27T13:30:20+00:00,True,262,True
2022-04-27,2022-04-27T13:30:20+00:00,2022-04-27T13:30:25+00:00,True,331,True
2022-04-27,2022-04-27T13:30:25+00:00,2022-04-27T13:30:30+00:00,True,304,True
2022-04-27,2022-04-27T13:30:30+00:00,2022-04-27T13:30:35+00:00,True,321,True
2022-04-27,2022-04-27T13:30:35+00:00,2022-04-27T13:30:40+00:00,True,263,True
2022-04-27,2022-04-27T13:30:40+00:00,2022-04-27T13:30:45+00:00,True,265,True
2022-04-27,2022-04-27T13:30:45+00:00,2022-04-27T13:30:50+00:00,True,240,True
2022-04-27,2022-04-27T13:30:50+00:00,2022-04-27T13:30:55+00:00,True,365,True
2022-04-27,2022-04-27T13:30:55+00:00,2022-04-27T13:31:00+00:00,True,261,True
2022-04-27,2022-04-27T13:31:00+00:00,2022-04-27T13:31:05+00:00,True,464,True
