request_id,BurstId,fecha,year,burst_side,resolved_raw_symbol,outcome_file,decision_utc,p0_ts_event,p0_price_databento,p0_lag_ms,atas_decision_price,atas_databento_p0_abs_ticks,post_t_match_events,base_label,low_85_label,high_115_label,tau_push,tau_A,tau_B,max_directional_ticks,min_directional_ticks,record_ordinal_unique,used_match_events_closed,used_match_events_single_ts_event,maybe_bad_book_zero,sequence_regressions_zero,double_decode_deterministic,p0_within_prior_100ms,post_trade_available,contract_single,contract_symbol_match,atas_databento_p0_within_2_ticks,information_status
NQ_JOINT_AB_V4_MBO_2022-04-05_LB_20220405_093200_BUY_0001,LB_20220405_093200_BUY_0001,2022-04-05,2022,BUY,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-05_LB_20220405_093200_BUY_0001_PAD100MS.mbo.dbn.zst,2022-04-05T13:32:01.026000+00:00,2022-04-05T13:32:01.025458357+00:00,15134.0,0.541,15135.0,4.0,235,C_VARIABLE,A_ABSORCION_LIMPIA,C_VARIABLE,,,,6.0,-28.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-04-06_LB_20220406_093100_BUY_0001,LB_20220406_093100_BUY_0001,2022-04-06,2022,BUY,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-06_LB_20220406_093100_BUY_0001_PAD100MS.mbo.dbn.zst,2022-04-06T13:31:01.004000+00:00,2022-04-06T13:31:01.002502605+00:00,14642.25,1.497,14643.75,6.0,283,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,2.0,-33.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001,LB_20220426_093143_SELL_0001,2022-04-26,2022,SELL,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001_PAD100MS.mbo.dbn.zst,2022-04-26T13:31:44.003000+00:00,2022-04-26T13:31:44.002663151+00:00,13405.25,0.33599999999999997,13405.0,1.0,216,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,2022-04-26T13:31:45.257799869+00:00,2022-04-26T13:31:47.513620594+00:00,,16.0,-19.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001,LB_20220427_093500_BUY_0001,2022-04-27,2022,BUY,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001_PAD100MS.mbo.dbn.zst,2022-04-27T13:35:01.007000+00:00,2022-04-27T13:35:01.006694339+00:00,13119.5,0.305,13120.0,2.0,343,C_VARIABLE,C_VARIABLE,C_VARIABLE,,,,0.0,-68.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001,LB_20220504_093301_SELL_0001,2022-05-04,2022,SELL,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001_PAD100MS.mbo.dbn.zst,2022-05-04T13:33:02.005000+00:00,2022-05-04T13:33:02.004968423+00:00,13073.5,0.031,13075.0,6.0,238,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,2022-05-04T13:33:02.054118477+00:00,2022-05-04T13:33:04.842727254+00:00,,12.0,-24.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001,LB_20220509_093112_BUY_0001,2022-05-09,2022,BUY,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001_PAD100MS.mbo.dbn.zst,2022-05-09T13:31:13.010000+00:00,2022-05-09T13:31:13.009835147+00:00,12493.25,0.164,12492.5,3.0,173,C_VARIABLE,C_VARIABLE,C_VARIABLE,2022-05-09T13:31:14.674871951+00:00,,,11.0,-10.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001,LB_20220518_093457_BUY_0001,2022-05-18,2022,BUY,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001_PAD100MS.mbo.dbn.zst,2022-05-18T13:34:58.072000+00:00,2022-05-18T13:34:58.055619749+00:00,12378.0,16.38,12378.75,3.0,220,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,C_VARIABLE,2022-05-18T13:34:58.832342839+00:00,2022-05-18T13:35:00.258403404+00:00,,8.0,-36.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001,LB_20220520_093501_SELL_0001,2022-05-20,2022,SELL,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001_PAD100MS.mbo.dbn.zst,2022-05-20T13:35:02.005000+00:00,2022-05-20T13:35:02.004863411+00:00,11989.75,0.136,11990.0,1.0,326,B_BREAKOUT_LIMPIO,B_BREAKOUT_LIMPIO,B_BREAKOUT_LIMPIO,2022-05-20T13:35:02.074119983+00:00,,2022-05-20T13:35:05.571111739+00:00,41.0,-2.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001,LB_20220523_093420_SELL_0001,2022-05-23,2022,SELL,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001_PAD100MS.mbo.dbn.zst,2022-05-23T13:34:21.020000+00:00,2022-05-23T13:34:21.019820629+00:00,11848.5,0.179,11850.0,6.0,227,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,2022-05-23T13:34:21.392062459+00:00,2022-05-23T13:34:25.022476150+00:00,,9.0,-36.0,True,True,True,True,True,True,True,True,True,True,False,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001,LB_20220527_093100_BUY_0001,2022-05-27,2022,BUY,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001_PAD100MS.mbo.dbn.zst,2022-05-27T13:31:01.019000+00:00,2022-05-27T13:31:01.018381435+00:00,12437.25,0.618,12437.5,1.0,354,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,A_ABSORCION_LIMPIA,2022-05-27T13:31:02.517543253+00:00,2022-05-27T13:31:04.146642474+00:00,,9.0,-23.0,True,True,True,True,True,True,True,True,True,True,True,INSTRUMENT_DIAGNOSTIC_NEVER_PREDICTIVE_EVIDENCE
