fecha,window_start_utc,window_end_utc_exclusive,orientation,p0,event_count,positive_excursion_ticks,adverse_excursion_ticks,push_exists,push_ordinal_in_window,sequence_B_exists,sequence_A_exists,sequence_B_max_dwell_s,sequence_A_max_dwell_s
2022-04-05,2022-04-05T13:29:00+00:00,2022-04-05T13:29:05+00:00,PLUS,15104.0,49,4.0,1.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:00+00:00,2022-04-05T13:29:05+00:00,MINUS,15104.0,49,1.0,4.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:05+00:00,2022-04-05T13:29:10+00:00,PLUS,15104.5,36,3.0,1.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:05+00:00,2022-04-05T13:29:10+00:00,MINUS,15104.5,36,1.0,3.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:10+00:00,2022-04-05T13:29:15+00:00,PLUS,15104.75,21,3.0,1.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:10+00:00,2022-04-05T13:29:15+00:00,MINUS,15104.75,21,1.0,3.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:15+00:00,2022-04-05T13:29:20+00:00,PLUS,15105.25,43,10.0,1.0,True,23.0,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:15+00:00,2022-04-05T13:29:20+00:00,MINUS,15105.25,43,1.0,10.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:20+00:00,2022-04-05T13:29:25+00:00,PLUS,15107.75,45,6.0,4.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:20+00:00,2022-04-05T13:29:25+00:00,MINUS,15107.75,45,4.0,6.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:25+00:00,2022-04-05T13:29:30+00:00,PLUS,15107.25,20,1.0,5.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:25+00:00,2022-04-05T13:29:30+00:00,MINUS,15107.25,20,5.0,1.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:30+00:00,2022-04-05T13:29:35+00:00,PLUS,15106.5,36,0.0,8.0,False,,False,False,0.0,0.0
2022-04-05,2022-04-05T13:29:30+00:00,2022-04-05T13:29:35+00:00,MINUS,15106.5,36,8.0,0.0,True,12.0,False,False,0.0,0.0
