BurstId,fecha,resolved_raw_symbol,start_utc,end_utc_exclusive
LB_20220405_093200_BUY_0001,2022-04-05,NQM2,2022-04-05T13:33:05.026000Z,2022-04-05T13:33:06.076000Z
LB_20220406_093100_BUY_0001,2022-04-06,NQM2,2022-04-06T13:32:05.004000Z,2022-04-06T13:32:06.054000Z
LB_20220426_093143_SELL_0001,2022-04-26,NQM2,2022-04-26T13:32:48.003000Z,2022-04-26T13:32:49.053000Z
LB_20220427_093500_BUY_0001,2022-04-27,NQM2,2022-04-27T13:36:05.007000Z,2022-04-27T13:36:06.057000Z
LB_20220504_093301_SELL_0001,2022-05-04,NQM2,2022-05-04T13:34:06.005000Z,2022-05-04T13:34:07.055000Z
LB_20220509_093112_BUY_0001,2022-05-09,NQM2,2022-05-09T13:32:17.010000Z,2022-05-09T13:32:18.060000Z
LB_20220518_093457_BUY_0001,2022-05-18,NQM2,2022-05-18T13:36:02.072000Z,2022-05-18T13:36:03.122000Z
LB_20220520_093501_SELL_0001,2022-05-20,NQM2,2022-05-20T13:36:06.005000Z,2022-05-20T13:36:07.055000Z
LB_20220523_093420_SELL_0001,2022-05-23,NQM2,2022-05-23T13:35:25.020000Z,2022-05-23T13:35:26.070000Z
LB_20220527_093100_BUY_0001,2022-05-27,NQM2,2022-05-27T13:32:05.019000Z,2022-05-27T13:32:06.069000Z
LB_20220608_093102_SELL_0001,2022-06-08,NQM2,2022-06-08T13:32:07.007000Z,2022-06-08T13:32:08.057000Z
LB_20220627_093202_SELL_0001,2022-06-27,NQU2,2022-06-27T13:33:07.009000Z,2022-06-27T13:33:08.059000Z
LB_20220718_093105_SELL_0001,2022-07-18,NQU2,2022-07-18T13:32:10.004000Z,2022-07-18T13:32:11.054000Z
LB_20220719_093600_SELL_0001,2022-07-19,NQU2,2022-07-19T13:37:05.015000Z,2022-07-19T13:37:06.065000Z
LB_20220720_093414_BUY_0001,2022-07-20,NQU2,2022-07-20T13:35:19.086000Z,2022-07-20T13:35:20.136000Z
LB_20220726_093111_SELL_0001,2022-07-26,NQU2,2022-07-26T13:32:16.026000Z,2022-07-26T13:32:17.076000Z
LB_20220729_093500_SELL_0001,2022-07-29,NQU2,2022-07-29T13:36:05.099000Z,2022-07-29T13:36:06.149000Z
LB_20220801_093127_SELL_0001,2022-08-01,NQU2,2022-08-01T13:32:32.101000Z,2022-08-01T13:32:33.151000Z
LB_20220804_093511_BUY_0001,2022-08-04,NQU2,2022-08-04T13:36:16.032000Z,2022-08-04T13:36:17.082000Z
LB_20220809_093105_SELL_0001,2022-08-09,NQU2,2022-08-09T13:32:10.048000Z,2022-08-09T13:32:11.098000Z
LB_20220815_093300_BUY_0001,2022-08-15,NQU2,2022-08-15T13:34:05.053000Z,2022-08-15T13:34:06.103000Z
