BurstId,fecha,OR_ticks,OR_high,OR_low,n_trades,n_invalid_price,OR_reason
LB_20220405_093200_BUY_0001,2022-04-05,135,15129.500000000002,15095.750000000002,3726,0,OK
LB_20220406_093100_BUY_0001,2022-04-06,160,14634.500000000002,14594.5,3889,0,OK
LB_20220426_093143_SELL_0001,2022-04-26,150,13450.75,13413.25,3916,0,OK
LB_20220427_093500_BUY_0001,2022-04-27,238,13069.5,13010.0,4756,0,OK
LB_20220504_093301_SELL_0001,2022-05-04,126,13114.25,13082.75,3127,0,OK
LB_20220509_093112_BUY_0001,2022-05-09,152,12480.5,12442.5,3802,0,OK
LB_20220518_093457_BUY_0001,2022-05-18,88,12372.5,12350.5,3531,0,OK
LB_20220520_093501_SELL_0001,2022-05-20,143,12046.5,12010.75,4868,0,OK
LB_20220523_093420_SELL_0001,2022-05-23,179,11899.75,11855.0,4334,0,OK
LB_20220527_093100_BUY_0001,2022-05-27,111,12429.75,12402.0,3672,0,OK
LB_20220608_093102_SELL_0001,2022-06-08,114,12687.5,12659.0,3510,0,OK
LB_20220627_093202_SELL_0001,2022-06-27,151,12211.25,12173.5,4327,0,OK
LB_20220718_093105_SELL_0001,2022-07-18,96,12129.5,12105.5,3474,0,OK
LB_20220719_093600_SELL_0001,2022-07-19,134,12080.75,12047.25,3913,0,OK
LB_20220720_093414_BUY_0001,2022-07-20,145,12298.0,12261.75,3350,0,OK
LB_20220726_093111_SELL_0001,2022-07-26,88,12291.25,12269.25,3677,0,OK
LB_20220729_093500_SELL_0001,2022-07-29,105,12815.0,12788.75,4942,0,OK
LB_20220801_093127_SELL_0001,2022-08-01,73,12910.5,12892.25,3212,0,OK
LB_20220804_093511_BUY_0001,2022-08-04,61,13278.0,13262.75,3502,0,OK
LB_20220809_093105_SELL_0001,2022-08-09,131,13112.25,13079.5,4248,0,OK
LB_20220815_093300_BUY_0001,2022-08-15,127,13566.0,13534.25,3598,0,OK
LB_20220817_093558_BUY_0001,2022-08-17,89,13536.25,13514.0,3509,0,OK
LB_20220831_093400_SELL_0001,2022-08-31,172,12477.5,12434.5,4356,0,OK
LB_20220901_093124_SELL_0002,2022-09-01,112,12191.75,12163.75,3574,0,OK
LB_20220906_093405_BUY_0001,2022-09-06,195,12165.5,12116.75,4074,0,OK
LB_20220928_093328_SELL_0001,2022-09-28,110,11335.0,11307.5,4105,0,OK
LB_20221011_093101_SELL_0001,2022-10-11,70,10928.75,10911.25,3164,0,OK
LB_20221018_093155_SELL_0001,2022-10-18,88,11424.25,11402.25,4708,0,OK
LB_20221025_093119_BUY_0001,2022-10-25,134,11548.5,11515.0,3856,0,OK
LB_20221026_093108_SELL_0002,2022-10-26,147,11478.5,11441.75,5589,0,OK
LB_20221027_093628_SELL_0001,2022-10-27,197,11449.75,11400.5,4004,0,OK
LB_20221028_093127_BUY_0001,2022-10-28,159,11246.0,11206.25,5521,0,OK
LB_20221103_093349_BUY_0001,2022-11-03,149,10829.75,10792.5,4876,0,OK
LB_20230321_093130_BUY_0001,2023-03-21,92,12797.0,12774.0,2853,0,OK
LB_20230328_093202_SELL_0001,2023-03-28,73,12777.25,12759.0,2489,0,OK
LB_20230403_093250_BUY_0001,2023-04-03,44,13210.5,13199.5,2802,0,OK
LB_20230404_093600_SELL_0001,2023-04-04,44,13290.5,13279.5,1842,0,OK
LB_20230419_093353_SELL_0001,2023-04-19,73,13098.75,13080.5,2983,0,OK
