BurstId,fecha,burst_side,mH,mH_reason,m1,m1_reason,OR_ticks,OR_reason,S,Q,evaluable,year,sigma,Y_60,Y60_valid
LB_20220405_093200_BUY_0001,2022-04-05,BUY,15109.625000000002,OK,15132.875,OK,135,OK,-0.3625666312700168,0.9992252266666668,True,2022,1.0,-0.688888888888835,True
LB_20220406_093100_BUY_0001,2022-04-06,BUY,14610.250000000002,OK,14635.125,OK,160,OK,-0.3847212845236509,1.0,True,2022,1.0,-0.6218749999999545,True
LB_20220426_093143_SELL_0001,2022-04-26,SELL,13395.875,OK,13407.75,OK,150,OK,-0.0200421830489541,0.9779239866666668,True,2022,-1.0,0.31666666666666665,True
LB_20220427_093500_BUY_0001,2022-04-27,BUY,13127.375,OK,13104.5,OK,238,OK,-0.4545115117813222,1.0,True,2022,1.0,0.38445378151260506,True
LB_20220504_093301_SELL_0001,2022-05-04,SELL,13076.375,OK,13076.875,OK,126,OK,-0.1952896786557853,0.9820714,True,2022,-1.0,0.015873015873015872,True
LB_20220509_093112_BUY_0001,2022-05-09,BUY,12494.75,OK,12495.125,OK,152,OK,0.1409913554364038,0.9536324,True,2022,1.0,-0.009868421052631578,True
LB_20220518_093457_BUY_0001,2022-05-18,BUY,12382.125,OK,12371.625,OK,88,OK,-0.5555150005685937,0.9922895733333332,True,2022,1.0,0.4772727272727273,True
LB_20220520_093501_SELL_0001,2022-05-20,SELL,11972.375,OK,11981.5,OK,143,OK,0.3844706486813892,0.94166032,True,2022,-1.0,0.25524475524475526,True
LB_20220523_093420_SELL_0001,2022-05-23,SELL,11871.75,OK,11852.5,OK,179,OK,-0.4672284851219041,0.9935039466666667,True,2022,-1.0,-0.4301675977653631,True
LB_20220527_093100_BUY_0001,2022-05-27,BUY,12450.875,OK,12433.125,OK,111,OK,-0.3430394449912047,0.993997,True,2022,1.0,0.6396396396396397,True
LB_20220608_093102_SELL_0001,2022-06-08,SELL,12641.125,OK,12647.875,OK,114,OK,-0.06365744891912,0.96595664,True,2022,-1.0,0.23684210526315788,True
LB_20220627_093202_SELL_0001,2022-06-27,SELL,12158.625,OK,12160.375,OK,151,OK,0.1406685889611745,0.939351,True,2022,-1.0,0.046357615894039736,True
LB_20220718_093105_SELL_0001,2022-07-18,SELL,12124.875,OK,12094.375,OK,96,OK,0.1905007924031349,0.9539181066666668,True,2022,-1.0,-1.2708333333333333,True
LB_20220719_093600_SELL_0001,2022-07-19,SELL,12027.0,OK,12029.75,OK,134,OK,-0.2842405250029667,1.0,True,2022,-1.0,0.08208955223880597,True
LB_20220720_093414_BUY_0001,2022-07-20,BUY,12301.125,OK,12294.75,OK,145,OK,-0.4476045739142656,1.0,True,2022,1.0,0.17586206896551723,True
LB_20220726_093111_SELL_0001,2022-07-26,SELL,12249.375,OK,12257.875,OK,88,OK,-0.3330100763302713,0.9999488533333332,True,2022,-1.0,0.38636363636363635,True
LB_20220729_093500_SELL_0001,2022-07-29,SELL,12756.625,OK,12767.75,OK,105,OK,-0.4989719278187864,1.0,True,2022,-1.0,0.4238095238095238,True
LB_20220801_093127_SELL_0001,2022-08-01,SELL,12862.375,OK,12883.5,OK,73,OK,-0.4378840240346854,0.9935248533333332,True,2022,-1.0,1.1575342465753424,True
LB_20220804_093511_BUY_0001,2022-08-04,BUY,13306.375,OK,13303.125,OK,61,OK,-0.4920180340709268,1.0,True,2022,1.0,0.21311475409836064,True
LB_20220809_093105_SELL_0001,2022-08-09,SELL,13061.125,OK,13071.5,OK,131,OK,0.0496314963694172,0.9659052133333332,True,2022,-1.0,0.31679389312977096,True
LB_20220815_093300_BUY_0001,2022-08-15,BUY,13590.25,OK,13586.0,OK,127,OK,0.2099415227077778,0.9608429333333334,True,2022,1.0,0.13385826771653545,True
LB_20220817_093558_BUY_0001,2022-08-17,BUY,13549.75,OK,13559.75,OK,89,OK,-0.0090360821388059,0.9781482666666668,True,2022,1.0,-0.449438202247191,True
LB_20220831_093400_SELL_0001,2022-08-31,SELL,12412.5,OK,12428.25,OK,172,OK,-0.0061154246440011,0.9612772,True,2022,-1.0,0.36627906976744184,True
LB_20220901_093124_SELL_0002,2022-09-01,SELL,12157.875,OK,12161.125,OK,112,OK,-0.1763252888647838,0.99348884,True,2022,-1.0,0.11607142857142858,True
LB_20220906_093405_BUY_0001,2022-09-06,BUY,12114.0,OK,12104.875,OK,195,OK,0.016117810366167,0.9583631066666666,True,2022,1.0,0.18717948717948718,True
LB_20220928_093328_SELL_0001,2022-09-28,SELL,11270.875,OK,11295.125,OK,110,OK,0.1415036094399679,0.96432616,True,2022,-1.0,0.8818181818181818,True
LB_20221011_093101_SELL_0001,2022-10-11,SELL,10931.875,OK,10895.5,OK,70,OK,0.5665457451803595,0.93438812,True,2022,-1.0,-2.0785714285714287,True
LB_20221018_093155_SELL_0001,2022-10-18,SELL,11422.75,OK,11410.375,OK,88,OK,-0.3308750663152497,0.99993168,True,2022,-1.0,-0.5625,True
LB_20221025_093119_BUY_0001,2022-10-25,BUY,11564.625,OK,11554.375,OK,134,OK,0.2831679183984001,0.9440384666666668,True,2022,1.0,0.30597014925373134,True
LB_20221026_093108_SELL_0002,2022-10-26,SELL,11471.75,OK,11443.5,OK,147,OK,-0.5323006426574158,1.0,True,2022,-1.0,-0.7687074829931972,True
LB_20221027_093628_SELL_0001,2022-10-27,SELL,11411.0,OK,11401.125,OK,197,OK,-0.4212066714604556,0.9982744933333332,True,2022,-1.0,-0.20050761421319796,True
LB_20221028_093127_BUY_0001,2022-10-28,BUY,11270.625,OK,11254.75,OK,159,OK,-0.2506211731622588,0.9928977866666666,True,2022,1.0,0.39937106918238996,True
LB_20221103_093349_BUY_0001,2022-11-03,BUY,10828.5,OK,10839.0,OK,149,OK,-0.4765998620100302,1.0,True,2022,1.0,-0.28187919463087246,True
