fecha,BurstId,burst_side,decision_utc,resolved_raw_symbol,pre_path,outcome_path,state_cache_path,pre_records_scanned,completed_packets,active_orders_at_decision,active_bid_orders,active_ask_orders,best_bid,best_ask,pre_overlap_records,outcome_overlap_records,overlap_logical_sha256,overlap_exact,late_received_predecision_exchange_records,post_decision_receive_records,last_pre_complete_ts_recv,last_pre_complete_ts_event,first_post_ts_recv,first_post_ts_event,unknown_modify_during_full_reconstruction,unknown_cancel_during_full_reconstruction,maybe_bad_book_records,sequence_regressions,tail_incomplete_records,information_status,overlap_prefix_exact,cross_boundary_uncommitted_records,cross_boundary_tail_has_f_last,strict_feature_cutoff_utc_exclusive,strategy_decision_utc,cutoff_to_strategy_decision_ms,uncommitted_tail_count_match
2022-04-05,LB_20220405_093200_BUY_0001,BUY,2022-04-05T13:32:01.026000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-05_LB_20220405_093200_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-05_LB_20220405_093200_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220405_093200_BUY_0001.state.parquet,1630342,1487096,4304,2443,1861,15133.75,15134.75,274,274,1617137eceae093c3676a047bb12923c1471b07c818c735b90b75c1f278d8ed1,True,1,6546,2022-04-05T13:32:01.025855561+00:00,2022-04-05T13:32:01.025740345+00:00,2022-04-05T13:32:01.026000301+00:00,2022-04-05T13:32:01.025917047+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-04-06,LB_20220406_093100_BUY_0001,BUY,2022-04-06T13:31:01.004000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-06_LB_20220406_093100_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-06_LB_20220406_093100_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220406_093100_BUY_0001.state.parquet,2661430,2419038,4806,2505,2301,14642.0,14642.75,270,270,2cd18b0367c0c697f72dbda690e233651c030055f9a4e8ee70e411b7722628ab,True,1,7458,2022-04-06T13:31:01.003929453+00:00,2022-04-06T13:31:01.003269647+00:00,2022-04-06T13:31:01.004273064+00:00,2022-04-06T13:31:01.003957063+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-04-26,LB_20220426_093143_SELL_0001,SELL,2022-04-26T13:31:44.003000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-26_LB_20220426_093143_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-26_LB_20220426_093143_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220426_093143_SELL_0001.state.parquet,3233730,3042503,4371,1670,2701,13405.0,13405.5,631,631,3c48aec99107d590eebcfdf3efc8db1bd15b9c9f110aaf70afe9002d6b76ecec,True,2,6373,2022-04-26T13:31:44.002898204+00:00,2022-04-26T13:31:44.002803047+00:00,2022-04-26T13:31:44.003042188+00:00,2022-04-26T13:31:44.002842731+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-04-27,LB_20220427_093500_BUY_0001,BUY,2022-04-27T13:35:01.007000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-27_LB_20220427_093500_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-04-27_LB_20220427_093500_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220427_093500_BUY_0001.state.parquet,4924123,4559417,3832,1983,1849,13119.5,13120.5,339,339,903c8802fdfdaeb4da1787571087b76da783d2f941aaf2f294eca3c9ed284c67,True,1,8796,2022-04-27T13:35:01.006888767+00:00,2022-04-27T13:35:01.006694339+00:00,2022-04-27T13:35:01.007088082+00:00,2022-04-27T13:35:01.006983717+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-05-04,LB_20220504_093301_SELL_0001,SELL,2022-05-04T13:33:02.005000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-04_LB_20220504_093301_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220504_093301_SELL_0001.state.parquet,1924326,1767213,4072,1701,2371,13073.0,13073.5,510,510,3e31ec4ee394529a00344aa6f407a33059e3e491586766719045e3087a1d852f,True,3,6387,2022-05-04T13:33:02.004958337+00:00,2022-05-04T13:33:02.004870723+00:00,2022-05-04T13:33:02.005166140+00:00,2022-05-04T13:33:02.004968423+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-05-09,LB_20220509_093112_BUY_0001,BUY,2022-05-09T13:31:13.010000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-09_LB_20220509_093112_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220509_093112_BUY_0001.state.parquet,4429908,4094330,4099,1821,2278,12492.75,12493.25,855,855,ea51f82a45c273296d30ce6727ee491a786052672eda71ec32a4659bf0d7779f,True,10,5244,2022-05-09T13:31:13.009783086+00:00,2022-05-09T13:31:13.009501039+00:00,2022-05-09T13:31:13.010193697+00:00,2022-05-09T13:31:13.009823613+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-05-18,LB_20220518_093457_BUY_0001,BUY,2022-05-18T13:34:58.072000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-18_LB_20220518_093457_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-18_LB_20220518_093457_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220518_093457_BUY_0001.state.parquet,3162389,2907273,4183,1875,2308,12377.75,12378.5,45,45,70e033fc861f6920cdaa25fb97ed7ebcd6f0784df377171664f718b37d3bb84d,True,0,6258,2022-05-18T13:34:58.068587914+00:00,2022-05-18T13:34:58.068492817+00:00,2022-05-18T13:34:58.072469031+00:00,2022-05-18T13:34:58.072268179+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-05-20,LB_20220520_093501_SELL_0001,SELL,2022-05-20T13:35:02.005000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-20_LB_20220520_093501_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-20_LB_20220520_093501_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220520_093501_SELL_0001.state.parquet,3785959,3528206,4114,1651,2463,11988.75,11989.75,122,122,ff81c440a77aa63f60796b5ec98008883547c85e70450dd094112af05ecd06b5,True,3,9210,2022-05-20T13:35:02.003297821+00:00,2022-05-20T13:35:02.003209275+00:00,2022-05-20T13:35:02.005035802+00:00,2022-05-20T13:35:02.004863411+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-05-23,LB_20220523_093420_SELL_0001,SELL,2022-05-23T13:34:21.020000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-23_LB_20220523_093420_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-23_LB_20220523_093420_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220523_093420_SELL_0001.state.parquet,4553942,4262584,4220,1618,2602,11848.25,11848.5,387,387,c6625eb85dc7baf73dcb885cd438e724c0f65877ae8c1e671a8f8d7bc23d25d4,True,4,7206,2022-05-23T13:34:21.019900353+00:00,2022-05-23T13:34:21.019788881+00:00,2022-05-23T13:34:21.020026845+00:00,2022-05-23T13:34:21.019820629+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-05-27,LB_20220527_093100_BUY_0001,BUY,2022-05-27T13:31:01.019000+00:00,NQM2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-27_LB_20220527_093100_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-27_LB_20220527_093100_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220527_093100_BUY_0001.state.parquet,2932650,2642455,4476,2628,1848,12437.25,12438.0,116,116,e45ddc135ff4bd87a58ede416824648ab3c09d699bdd91256916cd1c00c0d680,True,0,7513,2022-05-27T13:31:01.018690201+00:00,2022-05-27T13:31:01.018590057+00:00,2022-05-27T13:31:01.020396058+00:00,2022-05-27T13:31:01.020312107+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
