fecha,BurstId,burst_side,attacked_side,L0,F_C_identity_keys,keys_with_C_identity_sibling,keys_with_equal_F_C_qty,keys_C_less_than_F,keys_C_greater_than_F,keys_with_M_or_C_state_reduction,keys_with_equal_F_state_reduction_qty,fill_qty,cancel_qty,fill_qty_without_identity_sibling,fill_qty_exceeding_sibling_C,cancel_qty_exceeding_sibling_F,modify_state_reduction_qty,cancel_state_reduction_qty,fill_qty_without_state_reduction,state_reduction_qty_exceeding_fill,previous_fill_without_c_qty
2022-04-05,LB_20220405_093200_BUY_0001,BUY,A,15134.75,4,4,4,0,0,4,4,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2022-04-06,LB_20220406_093100_BUY_0001,BUY,A,14642.75,4,4,4,0,0,4,4,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2022-04-26,LB_20220426_093143_SELL_0001,SELL,B,13405.0,7,7,7,0,0,7,7,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2022-04-27,LB_20220427_093500_BUY_0001,BUY,A,13120.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,LB_20220504_093301_SELL_0001,SELL,B,13073.0,5,5,5,0,0,5,5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2022-05-09,LB_20220509_093112_BUY_0001,BUY,A,12493.25,6,5,5,0,0,6,6,6.0,5.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0
2022-05-18,LB_20220518_093457_BUY_0001,BUY,A,12378.5,1,1,1,0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-05-20,LB_20220520_093501_SELL_0001,SELL,B,11988.75,1,1,1,0,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-05-23,LB_20220523_093420_SELL_0001,SELL,B,11848.25,2,2,2,0,0,2,2,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2022-05-27,LB_20220527_093100_BUY_0001,BUY,A,12438.0,18,18,18,0,0,18,18,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
2022-06-08,LB_20220608_093102_SELL_0001,SELL,B,12647.25,4,4,4,0,0,4,4,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2022-06-27,LB_20220627_093202_SELL_0001,SELL,B,12165.0,8,8,8,0,0,8,8,8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2022-07-18,LB_20220718_093105_SELL_0001,SELL,B,12095.25,20,19,19,0,0,20,20,22.0,21.0,1.0,1.0,0.0,1.0,21.0,0.0,0.0,1.0
2022-07-19,LB_20220719_093600_SELL_0001,SELL,B,12027.25,20,18,18,0,0,20,20,25.0,22.0,3.0,3.0,0.0,3.0,22.0,0.0,0.0,3.0
2022-07-20,LB_20220720_093414_BUY_0001,BUY,A,12301.0,3,3,3,0,0,3,3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2022-07-26,LB_20220726_093111_SELL_0001,SELL,B,12256.75,10,10,10,0,0,10,10,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2022-07-29,LB_20220729_093500_SELL_0001,SELL,B,12766.25,2,2,2,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,6,6,6,0,0,6,6,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,6,6,6,0,0,6,6,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,15,14,14,0,0,15,15,15.0,14.0,1.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0
2022-08-15,LB_20220815_093300_BUY_0001,BUY,A,13584.25,10,10,10,0,0,10,10,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2022-08-17,LB_20220817_093558_BUY_0001,BUY,A,13561.25,7,7,7,0,0,7,7,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2022-08-31,LB_20220831_093400_SELL_0001,SELL,B,12428.0,8,8,8,0,0,8,8,8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2022-09-01,LB_20220901_093124_SELL_0002,SELL,B,12159.0,14,14,14,0,0,14,14,14.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
2022-09-06,LB_20220906_093405_BUY_0001,BUY,A,12106.25,11,11,11,0,0,11,11,11.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2022-09-28,LB_20220928_093328_SELL_0001,SELL,B,11296.5,9,9,9,0,0,9,9,9.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2022-10-11,LB_20221011_093101_SELL_0001,SELL,B,10903.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-18,LB_20221018_093155_SELL_0001,SELL,B,11398.75,10,8,8,0,0,10,10,10.0,8.0,2.0,2.0,0.0,2.0,8.0,0.0,0.0,2.0
2022-10-25,LB_20221025_093119_BUY_0001,BUY,A,11552.5,10,10,10,0,0,10,10,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2022-10-26,LB_20221026_093108_SELL_0002,SELL,B,11433.5,2,2,2,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2022-10-27,LB_20221027_093628_SELL_0001,SELL,B,11396.25,5,5,5,0,0,5,5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2022-10-28,LB_20221028_093127_BUY_0001,BUY,A,11253.0,5,4,4,0,0,4,4,6.0,5.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0
