request_id,fecha,BurstId,split,family_label_only,dataset,schema,symbols,stype_in,stype_out,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_seconds,post_download_filter,predictor_policy
NQ_MBO_2022-04-05_LB_20220405_093200_BUY_0001,2022-04-05,LB_20220405_093200_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-04-05T13:31:51.026000Z,2022-04-05T13:32:01.027000Z,2022-04-05T13:32:01.026000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-04_LB_20220504_093301_SELL_0001,2022-05-04,LB_20220504_093301_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-04T13:32:52.005000Z,2022-05-04T13:33:02.006000Z,2022-05-04T13:33:02.005000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-20_LB_20220520_093501_SELL_0001,2022-05-20,LB_20220520_093501_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-20T13:34:52.005000Z,2022-05-20T13:35:02.006000Z,2022-05-20T13:35:02.005000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-27_LB_20220527_093100_BUY_0001,2022-05-27,LB_20220527_093100_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-27T13:30:51.019000Z,2022-05-27T13:31:01.020000Z,2022-05-27T13:31:01.019000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-07-29_LB_20220729_093500_SELL_0001,2022-07-29,LB_20220729_093500_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-07-29T13:34:51.099000Z,2022-07-29T13:35:01.100000Z,2022-07-29T13:35:01.099000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-08-04_LB_20220804_093511_BUY_0001,2022-08-04,LB_20220804_093511_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-08-04T13:35:02.032000Z,2022-08-04T13:35:12.033000Z,2022-08-04T13:35:12.032000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-09-28_LB_20220928_093328_SELL_0001,2022-09-28,LB_20220928_093328_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-09-28T13:33:19.039000Z,2022-09-28T13:33:29.040000Z,2022-09-28T13:33:29.039000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-10-27_LB_20221027_093628_SELL_0001,2022-10-27,LB_20221027_093628_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-10-27T13:36:19.053000Z,2022-10-27T13:36:29.054000Z,2022-10-27T13:36:29.053000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-10-28_LB_20221028_093127_BUY_0001,2022-10-28,LB_20221028_093127_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-10-28T13:31:18.046000Z,2022-10-28T13:31:28.047000Z,2022-10-28T13:31:28.046000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-11-03_LB_20221103_093349_BUY_0001,2022-11-03,LB_20221103_093349_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-11-03T13:33:40.021000Z,2022-11-03T13:33:50.022000Z,2022-11-03T13:33:50.021000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-03-21_LB_20230321_093130_BUY_0001,2023-03-21,LB_20230321_093130_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-03-21T13:31:21.049993Z,2023-03-21T13:31:31.050993Z,2023-03-21T13:31:31.049993Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-03-28_LB_20230328_093202_SELL_0001,2023-03-28,LB_20230328_093202_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-03-28T13:31:53.022952Z,2023-03-28T13:32:03.023952Z,2023-03-28T13:32:03.022952Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
