request_id,pilot_stage,fecha,BurstId,family_label_only,burst_side,start_utc,end_utc_exclusive,requested_hours,estimated_cost_usd
NQ_MBO_SNAPSHOT_2022-04-05_LB_20220405_093200_BUY_0001,DISCOVERY_100,2022-04-05,LB_20220405_093200_BUY_0001,A_TRUE_ABSORPTION,BUY,2022-04-05T00:00:00.000000Z,2022-04-05T13:32:01.026000Z,13.533618333333331,0.191819049418
NQ_MBO_SNAPSHOT_2022-04-06_LB_20220406_093100_BUY_0001,DISCOVERY_100,2022-04-06,LB_20220406_093100_BUY_0001,C_MIXED_PATH,BUY,2022-04-06T00:00:00.000000Z,2022-04-06T13:31:01.004000Z,13.516945555555557,0.303173317015
NQ_MBO_SNAPSHOT_2022-04-26_LB_20220426_093143_SELL_0001,DISCOVERY_100,2022-04-26,LB_20220426_093143_SELL_0001,C_MIXED_PATH,SELL,2022-04-26T00:00:00.000000Z,2022-04-26T13:31:44.003000Z,13.52888972222222,0.346275490522
NQ_MBO_SNAPSHOT_2022-04-27_LB_20220427_093500_BUY_0001,DISCOVERY_100,2022-04-27,LB_20220427_093500_BUY_0001,A_TRUE_ABSORPTION,BUY,2022-04-27T00:00:00.000000Z,2022-04-27T13:35:01.007000Z,13.583613055555556,0.492921057343
NQ_MBO_SNAPSHOT_2022-05-04_LB_20220504_093301_SELL_0001,DISCOVERY_100,2022-05-04,LB_20220504_093301_SELL_0001,A_TRUE_ABSORPTION,SELL,2022-05-04T00:00:00.000000Z,2022-05-04T13:33:02.005000Z,13.550556944444445,0.215958756208
NQ_MBO_SNAPSHOT_2022-05-09_LB_20220509_093112_BUY_0001,DISCOVERY_100,2022-05-09,LB_20220509_093112_BUY_0001,C_MIXED_PATH,BUY,2022-05-09T00:00:00.000000Z,2022-05-09T13:31:13.010000Z,13.520280555555557,0.47757756114
NQ_MBO_SNAPSHOT_2022-05-18_LB_20220518_093457_BUY_0001,DISCOVERY_100,2022-05-18,LB_20220518_093457_BUY_0001,C_MIXED_PATH,BUY,2022-05-18T00:00:00.000000Z,2022-05-18T13:34:58.072000Z,13.582797777777778,0.320987007022
NQ_MBO_SNAPSHOT_2022-05-20_LB_20220520_093501_SELL_0001,DISCOVERY_100,2022-05-20,LB_20220520_093501_SELL_0001,B_CLEAN_BREAKOUT,SELL,2022-05-20T00:00:00.000000Z,2022-05-20T13:35:02.005000Z,13.583890277777778,0.383766335249
NQ_MBO_SNAPSHOT_2022-05-23_LB_20220523_093420_SELL_0001,DISCOVERY_100,2022-05-23,LB_20220523_093420_SELL_0001,C_MIXED_PATH,SELL,2022-05-23T00:00:00.000000Z,2022-05-23T13:34:21.020000Z,13.572505555555557,0.462810941041
NQ_MBO_SNAPSHOT_2022-05-27_LB_20220527_093100_BUY_0001,DISCOVERY_100,2022-05-27,LB_20220527_093100_BUY_0001,B_CLEAN_BREAKOUT,BUY,2022-05-27T00:00:00.000000Z,2022-05-27T13:31:01.019000Z,13.516949722222222,0.31889757961
NQ_MBO_SNAPSHOT_2022-06-08_LB_20220608_093102_SELL_0001,DISCOVERY_100,2022-06-08,LB_20220608_093102_SELL_0001,B_CLEAN_BREAKOUT,SELL,2022-06-08T00:00:00.000000Z,2022-06-08T13:31:03.007000Z,13.517501944444444,0.258984607458
NQ_MBO_SNAPSHOT_2022-06-13_LB_20220613_093107_SELL_0001,DISCOVERY_100,2022-06-13,LB_20220613_093107_SELL_0001,A_TRUE_ABSORPTION,SELL,2022-06-13T00:00:00.000000Z,2022-06-13T13:31:08.000000Z,13.518888888888888,0.38998683393
NQ_MBO_SNAPSHOT_2022-06-27_LB_20220627_093202_SELL_0001,DISCOVERY_100,2022-06-27,LB_20220627_093202_SELL_0001,B_CLEAN_BREAKOUT,SELL,2022-06-27T00:00:00.000000Z,2022-06-27T13:32:03.009000Z,13.534169166666668,0.282199716568
NQ_MBO_SNAPSHOT_2022-07-18_LB_20220718_093105_SELL_0001,DISCOVERY_100,2022-07-18,LB_20220718_093105_SELL_0001,C_MIXED_PATH,SELL,2022-07-18T00:00:00.000000Z,2022-07-18T13:31:06.004000Z,13.518334444444443,0.208129294217
NQ_MBO_SNAPSHOT_2022-07-19_LB_20220719_093600_SELL_0001,DISCOVERY_100,2022-07-19,LB_20220719_093600_SELL_0001,C_MIXED_PATH,SELL,2022-07-19T00:00:00.000000Z,2022-07-19T13:36:01.015000Z,13.600281944444443,0.227060593665
NQ_MBO_SNAPSHOT_2022-07-20_LB_20220720_093414_BUY_0001,DISCOVERY_100,2022-07-20,LB_20220720_093414_BUY_0001,B_CLEAN_BREAKOUT,BUY,2022-07-20T00:00:00.000000Z,2022-07-20T13:34:15.086000Z,13.570857222222225,0.244120073318
NQ_MBO_SNAPSHOT_2022-07-26_LB_20220726_093111_SELL_0001,DISCOVERY_100,2022-07-26,LB_20220726_093111_SELL_0001,C_MIXED_PATH,SELL,2022-07-26T00:00:00.000000Z,2022-07-26T13:31:12.026000Z,13.520007222222224,0.198199233413
NQ_MBO_SNAPSHOT_2022-07-29_LB_20220729_093500_SELL_0001,DISCOVERY_100,2022-07-29,LB_20220729_093500_SELL_0001,B_CLEAN_BREAKOUT,SELL,2022-07-29T00:00:00.000000Z,2022-07-29T13:35:01.099000Z,13.583638611111112,0.232394608855
NQ_MBO_SNAPSHOT_2022-08-01_LB_20220801_093127_SELL_0001,DISCOVERY_100,2022-08-01,LB_20220801_093127_SELL_0001,C_MIXED_PATH,SELL,2022-08-01T00:00:00.000000Z,2022-08-01T13:31:28.101000Z,13.5244725,0.200261436403
NQ_MBO_SNAPSHOT_2022-08-04_LB_20220804_093511_BUY_0001,DISCOVERY_100,2022-08-04,LB_20220804_093511_BUY_0001,A_TRUE_ABSORPTION,BUY,2022-08-04T00:00:00.000000Z,2022-08-04T13:35:12.032000Z,13.586675555555557,0.210795128345
