request_id,pilot_stage,selection_seed,selection_hash,fecha,year,BurstId,family_label_only,burst_side,burst_price,reference_level,burst_timestamp_utc,strategy_decision_timestamp_utc,strict_feature_cutoff_utc_exclusive,dataset,schema,symbols,stype_in,stype_out,resolved_instrument_id,resolved_raw_symbol,symbology_resolution_status,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_hours,require_snapshot,holiday_exclusion_pass,predictor_policy,same_millisecond_policy,event_packet_policy
NQ_MBO_SNAPSHOT_2022-04-05_LB_20220405_093200_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,0e7f5e46b5890a4f8319be969b4ee8cae22c978f73fa0038b4421422c065a1b1,2022-04-05,2022,LB_20220405_093200_BUY_0001,A_TRUE_ABSORPTION,BUY,15135.0,15130.0,2022-04-05T13:32:00.000000Z,2022-04-05T13:32:01.026000Z,2022-04-05T13:32:01.026000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-04-05T00:00:00.000000Z,2022-04-05T13:32:01.026000Z,2022-04-05T13:32:01.025999999Z,13.533618333333333,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-06-13_LB_20220613_093107_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,337532b37415dd3f71b7683993f75f92598533dfc75b724f8fc5ee433445276f,2022-06-13,2022,LB_20220613_093107_SELL_0001,A_TRUE_ABSORPTION,SELL,11537.5,11493.75,2022-06-13T13:31:07.000000Z,2022-06-13T13:31:08.000000Z,2022-06-13T13:31:08.000000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-06-13T00:00:00.000000Z,2022-06-13T13:31:08.000000Z,2022-06-13T13:31:07.999999999Z,13.518888888888888,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-08-09_LB_20220809_093105_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,3b8295f7a9d22d291303af88c8bb7dd46a3e4a0d1a0faefe9ebb1ff9fb47e5af,2022-08-09,2022,LB_20220809_093105_SELL_0001,B_CLEAN_BREAKOUT,SELL,13072.5,13080.0,2022-08-09T13:31:05.000000Z,2022-08-09T13:31:06.048000Z,2022-08-09T13:31:06.048000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-08-09T00:00:00.000000Z,2022-08-09T13:31:06.048000Z,2022-08-09T13:31:06.047999999Z,13.518346666666668,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-08-31_LB_20220831_093400_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,084924b3c8bf0f485a80d2e7b0deff6872c43a740ef84af9d851307bea495349,2022-08-31,2022,LB_20220831_093400_SELL_0001,B_CLEAN_BREAKOUT,SELL,12430.0,12435.0,2022-08-31T13:34:00.000000Z,2022-08-31T13:34:01.039000Z,2022-08-31T13:34:01.039000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-08-31T00:00:00.000000Z,2022-08-31T13:34:01.039000Z,2022-08-31T13:34:01.038999999Z,13.566955277777778,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-10-25_LB_20221025_093119_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,06df04894218405f61e7c71b52368299090a620850ada9e106ec445e426150b7,2022-10-25,2022,LB_20221025_093119_BUY_0001,B_CLEAN_BREAKOUT,BUY,11552.5,11548.75,2022-10-25T13:31:19.000000Z,2022-10-25T13:31:20.076000Z,2022-10-25T13:31:20.076000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-10-25T00:00:00.000000Z,2022-10-25T13:31:20.076000Z,2022-10-25T13:31:20.075999999Z,13.522243333333334,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-10-26_LB_20221026_093108_SELL_0002,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,1bb17f82f2ca3ca0776f827d287d191957032f6c4d9f1b57b66b9bcf5cf8912f,2022-10-26,2022,LB_20221026_093108_SELL_0002,A_TRUE_ABSORPTION,SELL,11435.0,11442.5,2022-10-26T13:31:08.000000Z,2022-10-26T13:31:09.077000Z,2022-10-26T13:31:09.077000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-10-26T00:00:00.000000Z,2022-10-26T13:31:09.077000Z,2022-10-26T13:31:09.076999999Z,13.519188055555555,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-10-28_LB_20221028_093127_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,14512120b9d097c719f39a2b5f9d176e5b1b6fb4139ce5a0305350c0bfec554a,2022-10-28,2022,LB_20221028_093127_BUY_0001,B_CLEAN_BREAKOUT,BUY,11252.5,11246.25,2022-10-28T13:31:27.000000Z,2022-10-28T13:31:28.046000Z,2022-10-28T13:31:28.046000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-10-28T00:00:00.000000Z,2022-10-28T13:31:28.046000Z,2022-10-28T13:31:28.045999999Z,13.524457222222223,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2022-11-03_LB_20221103_093349_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,56f766503411a5b2a8ae895810fea2f2ddd27c693dcdbc433b2a7f3824d67de9,2022-11-03,2022,LB_20221103_093349_BUY_0001,A_TRUE_ABSORPTION,BUY,10846.25,10830.0,2022-11-03T13:33:49.000000Z,2022-11-03T13:33:50.021000Z,2022-11-03T13:33:50.021000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2022-11-03T00:00:00.000000Z,2022-11-03T13:33:50.021000Z,2022-11-03T13:33:50.020999999Z,13.563894722222223,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-04-19_LB_20230419_093353_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,51818da0f467574859d4337c95ed135725aee2c4da7f60cf4b600465c9e438f3,2023-04-19,2023,LB_20230419_093353_SELL_0001,A_TRUE_ABSORPTION,SELL,13105.0,13081.25,2023-04-19T13:33:53.000000Z,2023-04-19T13:33:54.064843Z,2023-04-19T13:33:54.064000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-04-19T00:00:00.000000Z,2023-04-19T13:33:54.064000Z,2023-04-19T13:33:54.063999999Z,13.565017777777777,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-05-18_LB_20230518_093436_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,3daa91090e6a32bedf99e2dbc9f6d8ac4797c56675f9aa8239fd7dbe53705b11,2023-05-18,2023,LB_20230518_093436_BUY_0001,B_CLEAN_BREAKOUT,BUY,13681.25,13668.75,2023-05-18T13:34:36.000000Z,2023-05-18T13:34:37.130016Z,2023-05-18T13:34:37.130000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-05-18T00:00:00.000000Z,2023-05-18T13:34:37.130000Z,2023-05-18T13:34:37.129999999Z,13.576980555555554,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
