request_id,fecha,BurstId,split,family_label_only,dataset,schema,symbols,stype_in,stype_out,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_seconds,post_download_filter,predictor_policy
NQ_MBO_2022-04-05_LB_20220405_093200_BUY_0001,2022-04-05,LB_20220405_093200_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-04-05T13:31:51.026000Z,2022-04-05T13:32:01.027000Z,2022-04-05T13:32:01.026000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-04-06_LB_20220406_093100_BUY_0001,2022-04-06,LB_20220406_093100_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-04-06T13:30:51.004000Z,2022-04-06T13:31:01.005000Z,2022-04-06T13:31:01.004000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-04-19_LB_20220419_093100_BUY_0001,2022-04-19,LB_20220419_093100_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-04-19T13:30:51.016000Z,2022-04-19T13:31:01.017000Z,2022-04-19T13:31:01.016000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-04-26_LB_20220426_093143_SELL_0001,2022-04-26,LB_20220426_093143_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-04-26T13:31:34.003000Z,2022-04-26T13:31:44.004000Z,2022-04-26T13:31:44.003000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-04-27_LB_20220427_093500_BUY_0001,2022-04-27,LB_20220427_093500_BUY_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-04-27T13:34:51.007000Z,2022-04-27T13:35:01.008000Z,2022-04-27T13:35:01.007000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-04_LB_20220504_093301_SELL_0001,2022-05-04,LB_20220504_093301_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-04T13:32:52.005000Z,2022-05-04T13:33:02.006000Z,2022-05-04T13:33:02.005000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-09_LB_20220509_093112_BUY_0001,2022-05-09,LB_20220509_093112_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-09T13:31:03.010000Z,2022-05-09T13:31:13.011000Z,2022-05-09T13:31:13.010000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-18_LB_20220518_093457_BUY_0001,2022-05-18,LB_20220518_093457_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-18T13:34:48.072000Z,2022-05-18T13:34:58.073000Z,2022-05-18T13:34:58.072000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-20_LB_20220520_093501_SELL_0001,2022-05-20,LB_20220520_093501_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-20T13:34:52.005000Z,2022-05-20T13:35:02.006000Z,2022-05-20T13:35:02.005000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2022-05-23_LB_20220523_093420_SELL_0001,2022-05-23,LB_20220523_093420_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2022-05-23T13:34:11.020000Z,2022-05-23T13:34:21.021000Z,2022-05-23T13:34:21.020000Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
