capability,classification,real_field_or_rule,usable_coverage_pct,limitations
Identificador único de orden,EXPLICITO,order_id,100.0,Venue ID; T identifies aggressor when available.
Tipo de evento ADD,EXPLICITO,action=A,100.0,Creates a displayed order; exact lifecycle origin only when the A is inside the window.
Tipo de evento CANCEL,EXPLICITO_EVENTO_CAUSA_INFERIDA,action=C,100.0,Explicit size reduction; whether it is pure cancellation or fill-driven is inferred.
Tipo de evento MODIFY/REPLACE,EXPLICITO_MODIFY,action=M,100.0,M supplies the new price/size; it does not link an old ID to a new ID.
Tipo de evento FILL,EXPLICITO,action=F and action=T,100.0,F identifies resting order fills; T is the aggressing trade summary.
Contratos ejecutados,EXPLICITO,action=T size; action=F size,100.0,T is trade summary; F identifies filled resting order. Never sum T+F.
Reducción del libro por cancelación,EXPLICITO,action=C size,100.0,C reduces resting size but includes C paired with fills.
Contratos cancelados sin ejecución,INFERIDO_DEFENDIBLE,C with no F at same order/time/price,97.4479927121161,Fill book effects are reconciled by grouped C or state-consistent M; cancellation reason remains inferred.
Evento de modificación,EXPLICITO,action=M,100.0,M means price and/or size changed.
Modificación de tamaño,INFERIDO_CON_ESTADO_PREVIO,compare M.size with prior state,79.65293115416168,New size explicit; changed component requires prior state.
Cambio de precio,INFERIDO_CON_ESTADO_PREVIO,compare M.price with prior state,79.65293115416168,New price explicit; prior price absent in first left-censored M.
Cancel-replace con identificador nuevo,NO_DISPONIBLE,none,0.0,No linkage field between old C and new A; proximity is only a heuristic.
Cantidad original,PARCIAL,A.size,78.12484909748223,Exact only when ADD appears in the 10-second window.
Cantidad restante,INFERIDO_CON_ESTADO,A/M/C state machine,86.48417275896054,Not an explicit field.
Precio,EXPLICITO,price,100.0,Event/order price; level rank must be derived.
Lado BID/ASK,EXPLICITO,side,100.0,"Action-dependent: resting side on book events, aggressor side on T."
Ejecución parcial,INFERIDO_CON_ESTADO_PREVIO,F.size < qty_before and paired C,83.19668551033907,F quantity explicit; partial/full classification inferred.
Ejecución completa,INFERIDO_CON_ESTADO_PREVIO,F.size == qty_before and paired C,83.19668551033907,Cannot classify left-censored orders.
Reposición de la misma orden,INFERIDO_CON_ESTADO_PREVIO,same order_id M size increase,79.65293115416168,Visible size increase; hidden iceberg intent is not observable.
Nueva orden en el mismo precio,EXPLICITO_EVENTO_INFERIDA_RELACION,A with new order_id and price,100.0,New order explicit; calling it replacement/refill is inferred.
Supervivencia de liquidez bajo agresión,INFERIDO_CENSURADO,ADD lifecycle + F/T at level + alive at cutoff,78.12484909748223,Only orders born in-window; right-censored at cutoff.
Posición inicial en cola,NO_DISPONIBLE,snapshot/priority absent,0.0,No R/F_SNAPSHOT records; 10-second request starts mid-session.
Volumen delante por orden,APROXIMACION_LIMITE_INFERIOR,observed FIFO orders before order,78.12484909748223,Excludes all orders already resting at window start.
Avance de cola,APROXIMACION_LIMITE_INFERIOR,observed A/M/C order list,78.12484909748223,Unknown cancellations ahead cannot be located.
Órdenes canceladas delante,PARCIAL,C order_id + observed relative order,78.12484909748223,Exact only among orders with known in-window priority.
Fills recibidos,EXPLICITO,F order_id/size,100.0,Fill does not directly update book; paired C does.
Prioridad precio-tiempo,PARCIAL,raw message order + sequence,78.12484909748223,Relative priority for new in-window orders; initial priority missing.
Supervivencia por orden,INFERIDO_CENSURADO,state at cutoff,86.48417275896054,Observed-window survival only.
Tiempo hasta primer fill,INFERIDO_EXACTO_EN_VENTANA,first F ts_event - observed A ts_event,78.12484909748223,Missing for left-censored and right-censored orders.
Tiempo hasta cancelación,INFERIDO_EXACTO_EN_VENTANA,first C ts_event - observed A ts_event,78.12484909748223,C reason must be separated from fill-paired C.
Refill después de fill,INFERIDO,F then M size increase or new A at level,79.65293115416168,Same-ID visible refill distinguishable; new-ID intent not linkable.
Reposición repetida mismo nivel,INFERIDO,repeated A/M increases after removals,78.12484909748223,"Observable displayed behavior, not participant intent."
Exchange timestamp,EXPLICITO,ts_event,100.0,UTC nanoseconds; matching-engine receive time.
Resolución temporal real,EXPLICITO_Y_MEDIDA,ts_event int64 ns,100.0,Nanosecond encoding; minimum positive step observed: 138 ns.
Número de secuencia,EXPLICITO,sequence,100.0,Venue/channel sequence; gaps after symbol filtering are not packet loss proof.
Identificación de paquetes perdidos,PARCIAL,flags F_MAYBE_BAD_BOOK + sequence,100.0,Quality flag is explicit and zero here; filtered sequence gaps cannot prove individual packet loss.
Trade/Tape asociado,EXPLICITO_DENTRO_MBO_APROXIMADO_CON_ATAS,T/F plus ts_event/sequence,100.0,MBO T/F association is recoverable by event group; ATAS tape is a different millisecond clock/feed.
Orden agresora o pasiva,EXPLICITO_POR_EVENTO,T.side versus F.order_id/side,100.0,T gives aggressor side; F names the passive resting order.
Profundidad/nivel del libro,PRECIO_EXPLICITO_RANGO_INFERIDO_PARCIAL,price + reconstructed state,78.12484909748223,All event prices are present; exact initial depth/rank is unavailable without snapshot.
Prioridad o posición de cola,PARCIAL,raw order/sequence; no priority field,78.12484909748223,Relative FIFO for in-window orders only; initial queue is missing.
Orden con timestamps iguales,EXPLICITO,raw DBN order + sequence,100.0,Do not sort only by timestamp.
Sincronización MBO/ATAS,APROXIMADA,UTC ns vs NY local ms,92.0,Different providers/clocks; empirical trade matching required.
