request_id,fecha,BurstId,path,format,dataset,schema,symbol_requested,metadata_stype_out,metadata_text,file_bytes,rows,first_ts_event_utc,last_ts_event_utc,observed_span_ms,request_start_gap_ms,request_end_gap_ms,instrument_id_count,instrument_ids,publisher_ids,channel_ids,symbol_values,action_A,action_C,action_M,action_F,action_T,action_R,unique_order_ids,first_action_A_orders,left_censored_orders,first_action_A_share_pct,exact_duplicate_rows,exact_duplicate_action_A,exact_duplicate_action_C,exact_duplicate_action_M,exact_duplicate_action_F,exact_duplicate_action_T,ts_event_out_of_order_rows,sequence_decrease_rows,same_ts_event_rows,same_ts_event_sequence_rows,minimum_positive_ts_event_step_ns,submicrosecond_ts_event_rows_pct,sequence_gap_intervals,sequence_gap_units,flag_bad_ts_recv_rows,flag_maybe_bad_book_rows,flag_snapshot_rows,flag_mbp_rows,negative_recv_minus_event_rows,recv_minus_event_median_us,recv_minus_event_p99_us,recv_minus_event_max_us,fill_rows_paired_to_cancel,fill_cancel_pair_pct,trade_fill_shared_timestamp_groups,trade_fill_equal_qty_groups,trade_fill_equal_qty_pct,post_nominal_cutoff_same_millisecond_rows,at_or_after_request_end_rows,identity_dependent_events,identity_unreconciled_events,identity_unreconciled_pct,fill_rows,fill_groups,fill_state_known_groups,fill_state_known_pct,fill_book_effect_reconciled_groups,fill_book_effect_reconciled_pct,partial_fill_inferred_groups,complete_fill_inferred_groups,modify_rows,modify_state_known_rows,modify_price_inferred_rows,modify_size_inferred_rows,cancel_rows,pure_cancel_rows,ambiguous_cancel_fill_rows,fill_book_decrement_rows,fill_book_modify_rows,orders_added_in_window,orders_alive_at_end,orders_aggressed_at_initial_level,orders_survived_observed_aggression,same_id_size_increases,mbp_file_exists,tape_file_exists,mbp_file_bytes,tape_file_bytes,mbp_rows_all,tape_rows_all,mbp_rows_request_window,tape_rows_request_window,mbp_exact_duplicate_rows,tape_exact_duplicate_rows,mbp_time_out_of_order_rows,tape_time_out_of_order_rows,mbo_trade_rows,mbo_tape_exact_matches,mbo_tape_exact_match_pct,mbo_tape_relaxed_5ms_matches,mbo_tape_relaxed_5ms_match_pct,tape_minus_mbo_offset_median_ms,tape_minus_mbo_offset_p95_abs_ms,mbo_known_book_change_groups,atas_mbp_change_groups,mbo_mbp_exact_change_matches,mbo_mbp_exact_change_match_pct,mbo_mbp_relaxed_5ms_change_matches,mbo_mbp_relaxed_5ms_change_match_pct,mbp_minus_mbo_offset_median_ms,burst_metadata_found,manifest_vs_strategy_cutoff_delta_ms,burst_before_publish_and_cutoff,burst_to_cutoff_ms
NQ_MBO_2022-04-05_LB_20220405_093200_BUY_0001,2022-04-05,LB_20220405_093200_BUY_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-04-05_LB_20220405_093200_BUY_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1649165511026000000, end: Some(1649165521027000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-04-05, end_date: 2022-04-06, symbol: ""2895"" }] }] }",214879,11545,2022-04-05T13:31:51.032688049+00:00,2022-04-05T13:32:01.025917047+00:00,9993.228000000001,6.688000000000001,1.082,1,2895,1,8,NQ.v.0,4261,4430,1534,797,523,0,5783,4259,1524,73.64689607470171,3,0,0,0,3,0,0,0,2122,1922,138,100.0,5406,33309,0,0,0,0,0,120.042,2352.948,3747.265,771,96.73776662484316,408,406,99.50980392156863,0,0,6761,1279,18.9173199230883,797,791,582,73.57774968394438,784,99.11504424778761,19,563,1534,1064,964,473,4430,3665,0,765,19,4261,509,2549,31,96,1,1,1177026,782270,43576,28462,938,795,4439,11249,3263,0,523,19,3.632887189292543,94,17.97323135755258,1.0,2.0,7800,539,19,0.24358974358974358,59,0.7564102564102564,1.0,1,0.0,1,1026.0
NQ_MBO_2022-04-06_LB_20220406_093100_BUY_0001,2022-04-06,LB_20220406_093100_BUY_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-04-06_LB_20220406_093100_BUY_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1649251851004000000, end: Some(1649251861005000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-04-06, end_date: 2022-04-07, symbol: ""2895"" }] }] }",254745,13668,2022-04-06T13:30:51.003892965+00:00,2022-04-06T13:31:01.004323239+00:00,10000.43,-0.10799999999999699,0.6759999999999999,1,2895,1,8,NQ.v.0,5015,5106,1884,1010,653,0,6581,5010,1571,76.12824798662817,1,0,0,0,1,0,0,0,2685,2407,138,100.0,6672,38212,0,0,0,0,0,121.72999999999999,1813.323,2421.132,946,93.66336633663366,542,538,99.2619926199262,1,0,8000,1174,14.675,1010,1007,852,84.6077457795432,982,97.51737835153922,37,811,1884,1401,1295,448,5106,4158,3,945,37,5014,544,3305,30,86,1,1,1391684,979414,51461,35657,1337,1006,5129,14623,3650,0,653,30,4.594180704441041,83,12.710566615620214,1.0,1.8999999999999915,9451,807,20,0.21161781822029416,67,0.7089196910379854,1.0,1,0.0,1,1004.0
NQ_MBO_2022-04-26_LB_20220426_093143_SELL_0001,2022-04-26,LB_20220426_093143_SELL_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-04-26_LB_20220426_093143_SELL_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1650979894003000000, end: Some(1650979904004000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-04-26, end_date: 2022-04-27, symbol: ""2895"" }] }] }",197241,10100,2022-04-26T13:31:34.006406087+00:00,2022-04-26T13:31:44.003444607+00:00,9997.038,3.406,0.555,1,2895,1,8,NQ.v.0,3885,3832,1529,494,360,0,4670,3885,785,83.19057815845824,0,0,0,0,0,0,0,0,1348,1158,138,100.0,5725,35129,0,0,0,0,0,102.08,1701.5114300000007,2528.618,465,94.12955465587045,312,309,99.03846153846153,5,0,5851,518,8.853187489318065,493,493,440,89.24949290060852,479,97.16024340770791,15,419,1529,1294,1266,581,3829,3361,4,464,15,3885,362,2580,10,160,1,1,1398883,889282,51783,32352,800,491,5561,13015,3996,0,360,19,5.277777777777778,63,17.5,1.0,1.0,7866,490,10,0.12712941774726672,37,0.47037884566488686,1.0,1,-0.0010000000000287557,1,1002.9999999999999
NQ_MBO_2022-04-27_LB_20220427_093500_BUY_0001,2022-04-27,LB_20220427_093500_BUY_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-04-27_LB_20220427_093500_BUY_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1651066491007000000, end: Some(1651066501008000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-04-27, end_date: 2022-04-28, symbol: ""2895"" }] }] }",236893,13370,2022-04-27T13:34:51.008096575+00:00,2022-04-27T13:35:01.007169041+00:00,9999.072,1.0959999999999999,0.83,1,2895,1,8,NQ.v.0,4826,5142,1739,1043,620,0,6095,4820,1275,79.08121410992617,1,0,0,0,1,0,0,0,2711,2501,138,100.0,6260,42613,0,0,0,0,0,176.216,4500.4212,5761.375,1008,96.64429530201342,441,439,99.54648526077098,4,0,7922,1005,12.686190355970714,1043,1038,853,82.17726396917148,1020,98.26589595375722,12,839,1739,1404,1354,522,5140,4131,1,1008,12,4824,291,3569,31,116,1,1,1697200,974872,62836,35467,1439,1041,7334,13058,5203,0,620,19,3.064516129032258,97,15.64516129032258,1.0,2.1999999999999886,9682,700,13,0.13426977897128692,61,0.6300351167114232,1.0,1,0.0,1,1006.9999999999999
NQ_MBO_2022-05-04_LB_20220504_093301_SELL_0001,2022-05-04,LB_20220504_093301_SELL_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-05-04_LB_20220504_093301_SELL_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1651671172005000000, end: Some(1651671182006000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-05-04, end_date: 2022-05-05, symbol: ""2895"" }] }] }",122852,6278,2022-05-04T13:32:52.004647527+00:00,2022-05-04T13:33:02.005562747+00:00,10000.915,-0.3530000000000477,0.437,1,2895,1,8,NQ.v.0,2328,2390,907,362,291,0,3114,2326,788,74.69492614001284,5,0,0,0,5,0,0,0,1014,894,140,100.0,3296,17441,0,0,0,0,0,105.787,2710.006,3477.93,305,84.25414364640883,239,238,99.581589958159,6,0,3656,601,16.438730853391686,362,354,273,77.11864406779661,338,95.48022598870057,36,237,905,676,609,372,2389,2087,0,302,36,2325,268,1268,3,54,1,1,1198030,689176,44335,25083,485,363,5148,9280,3827,0,291,15,5.154639175257732,77,26.460481099656356,1.0,2.0,4848,286,3,0.06188118811881188,22,0.4537953795379538,1.0,1,0.0,1,1004.9999999999999
NQ_MBO_2022-05-09_LB_20220509_093112_BUY_0001,2022-05-09,LB_20220509_093112_BUY_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-05-09_LB_20220509_093112_BUY_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1652103063010000000, end: Some(1652103073011000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-05-09, end_date: 2022-05-10, symbol: ""2895"" }] }] }",253598,13401,2022-05-09T13:31:03.019406411+00:00,2022-05-09T13:31:13.009860157+00:00,9990.453000000001,9.405999999999999,1.139,1,2895,1,8,NQ.v.0,4920,5015,2022,849,595,0,6006,4915,1091,81.83483183483183,0,0,0,0,0,0,0,0,2302,2038,138,100.0,6742,37923,0,0,0,0,0,114.348,7199.922,10406.225,819,96.46643109540636,470,469,99.7872340425532,0,0,7886,727,9.218868881562262,849,848,725,85.49528301886792,839,98.93867924528301,20,705,2022,1737,1670,483,5015,4196,0,819,20,4920,363,3568,20,114,1,1,1894879,996347,70149,36298,1404,848,9071,13773,6616,0,595,20,3.361344537815126,73,12.268907563025211,1.0,2.0,10854,753,17,0.15662428597751982,52,0.4790860512253547,1.0,1,0.0,1,1010.0
NQ_MBO_2022-05-18_LB_20220518_093457_BUY_0001,2022-05-18,LB_20220518_093457_BUY_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-05-18_LB_20220518_093457_BUY_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1652880888072000000, end: Some(1652880898073000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-05-18, end_date: 2022-05-19, symbol: ""2895"" }] }] }",181844,9470,2022-05-18T13:34:48.083113003+00:00,2022-05-18T13:34:58.072838747+00:00,9989.725,11.113,0.161,1,2895,1,8,NQ.v.0,3617,3665,1242,572,374,0,4387,3614,773,82.37975837702302,1,0,0,0,1,0,0,0,1518,1345,138,100.0,4727,29569,0,0,0,0,0,113.6465,8164.5794000000005,26313.608,548,95.8041958041958,311,310,99.67845659163987,8,0,5474,507,9.261965655827549,571,566,516,91.1660777385159,555,98.0565371024735,14,499,1240,1061,1007,488,3663,3118,3,542,13,3615,316,2484,3,90,1,1,1317608,815191,48803,29671,864,571,5342,11513,3819,0,374,13,3.4759358288770055,58,15.508021390374331,1.0,1.1499999999999986,7582,478,14,0.1846478501714587,47,0.6198892112898972,1.0,1,0.0,1,1072.0
NQ_MBO_2022-05-20_LB_20220520_093501_SELL_0001,2022-05-20,LB_20220520_093501_SELL_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-05-20_LB_20220520_093501_SELL_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1653053692005000000, end: Some(1653053702006000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-05-20, end_date: 2022-05-21, symbol: ""2895"" }] }] }",258046,13692,2022-05-20T13:34:52.007329557+00:00,2022-05-20T13:35:02.005382959+00:00,9998.053,2.3289999999999997,0.617,1,2895,1,8,NQ.v.0,4995,5130,2252,774,541,0,6267,4994,1273,79.68725067815542,2,0,0,0,2,0,0,0,2088,1875,138,100.0,6990,39548,0,0,0,0,0,122.67,7478.440860000001,26129.093,737,95.21963824289406,445,445,100.0,9,0,8151,934,11.458716721874616,774,771,633,82.1011673151751,757,98.18417639429313,23,609,2249,1884,1815,565,5128,4394,0,734,23,4991,408,3259,11,94,1,1,1566136,917244,57999,33391,1188,774,6734,12518,4862,0,541,22,4.066543438077634,76,14.048059149722736,1.0,4.0,10797,670,13,0.12040381587478004,73,0.6761137352968417,1.0,1,0.0,1,1004.9999999999999
NQ_MBO_2022-05-23_LB_20220523_093420_SELL_0001,2022-05-23,LB_20220523_093420_SELL_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-05-23_LB_20220523_093420_SELL_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1653312851020000000, end: Some(1653312861021000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-05-23, end_date: 2022-05-24, symbol: ""2895"" }] }] }",184331,9508,2022-05-23T13:34:11.021377533+00:00,2022-05-23T13:34:21.020193539+00:00,9998.815999999999,1.377,0.8059999999999999,1,2895,1,8,NQ.v.0,3573,3610,1498,476,351,0,4521,3571,950,78.9869497898695,8,0,0,0,8,0,0,0,1300,1161,138,100.0,5334,35323,0,0,0,0,0,112.398,3143.7816600000006,4759.127,464,97.47899159663865,255,255,100.0,3,0,5582,774,13.865997850232892,476,460,350,76.08695652173913,454,98.69565217391305,6,343,1497,1198,1159,532,3609,3161,0,448,6,3572,384,1995,3,63,1,1,1632527,918966,60422,33457,741,476,7117,12460,5326,0,351,11,3.133903133903134,44,12.535612535612536,1.0,3.8500000000000014,7760,428,13,0.16752577319587628,33,0.4252577319587629,0.0,1,0.0,1,1020.0
NQ_MBO_2022-05-27_LB_20220527_093100_BUY_0001,2022-05-27,LB_20220527_093100_BUY_0001,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_pilot_20260720\NQ_MBO_2022-05-27_LB_20220527_093100_BUY_0001.mbo.dbn.zst,DBN zstd,GLBX.MDP3,mbo,NQ.v.0,InstrumentId,"Metadata { version: 1, dataset: ""GLBX.MDP3"", schema: Some(Mbo), start: 1653658251019000000, end: Some(1653658261020000000), limit: None, stype_in: Some(Continuous), stype_out: InstrumentId, ts_out: false, symbol_cstr_len: 22, symbols: [""NQ.v.0""], partial: [], not_found: [], mappings: [SymbolMapping { raw_symbol: ""NQ.v.0"", intervals: [MappingInterval { start_date: 2022-05-27, end_date: 2022-05-28, symbol: ""2895"" }] }] }",241121,12854,2022-05-27T13:30:51.019939451+00:00,2022-05-27T13:31:01.018590057+00:00,9998.65,0.939,1.409,1,2895,1,8,NQ.v.0,4590,4659,1836,1032,737,0,6288,4587,1701,72.94847328244275,1,0,0,0,1,0,0,0,2805,2442,138,100.0,5731,31658,0,0,0,0,0,115.5505,2206.1315499999887,4194.472,965,93.5077519379845,641,637,99.37597503900156,0,0,7527,1229,16.327886276072803,1032,1028,815,79.28015564202335,1007,97.95719844357977,46,768,1836,1364,1246,570,4659,3698,0,961,46,4590,571,3030,22,71,1,1,1255890,873475,46475,31797,1309,1028,4833,12684,3520,0,737,25,3.3921302578018997,105,14.246947082767978,1.0,1.0,9007,799,17,0.18874208948595536,51,0.566226268457866,1.0,1,0.0,1,1018.9999999999999
