request_id,fecha,BurstId,year,burst_side,family_label_only,resolved_raw_symbol,resolved_instrument_id,metadata_stype_out,observed_instrument_ids,file_records,usable_records_through_last_f_last,tail_records_excluded_after_last_f_last,snapshot_rows,snapshot_clear_rows,snapshot_add_rows,snapshot_last_rows,bad_book_rows,sequence_regressions,unique_identity_order_ids,first_action_add_count,left_censored_order_pct,modify_rows,modify_reconciled_rows,cancel_rows,cancel_reconciled_rows,cancel_exceeds_state_rows,fill_groups,fill_reconciled_groups,identity_reconciliation_pct,attacked_l0_price_mbo,attacked_l0_depth_mbo,attacked_l0_l2_depth_mbo,attacked_l0_l2_order_count,atas_burst_price_informational,atas_vs_mbo_l0_abs_ticks_informational,footprint_atas_comparison_used_as_gate,snapshot_pass,contract_pass,bad_book_pass,sequence_pass,reconciliation_pass,left_censor_pass,attacked_levels_pass,cutoff_pass,technical_gate_pass,file_path,file_bytes
NQ_MBO_SNAPSHOT_2022-04-05_LB_20220405_093200_BUY_0001,2022-04-05,LB_20220405_093200_BUY_0001,2022,BUY,A_TRUE_ABSORPTION,NQM2,2895,instrument_id,2895,1630342,1630342,0,2759,1,2758,1,0,0,627424,627424,0.0,259169,259169,623120,623120,0,67166,67166,100.0,15124.75,3.0,30.0,25,15135.0,41.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-05_LB_20220405_093200_BUY_0001.mbo.dbn.zst,33659967
NQ_MBO_SNAPSHOT_2022-04-06_LB_20220406_093100_BUY_0001,2022-04-06,LB_20220406_093100_BUY_0001,2022,BUY,C_MIXED_PATH,NQM2,2895,instrument_id,2895,2661430,2661430,0,2839,1,2838,1,0,0,1022364,1022363,9.781252078516066e-05,420010,420010,1017557,1017557,0,114285,114284,99.99993556086534,14633.5,1.0,9.0,9,14643.75,41.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-06_LB_20220406_093100_BUY_0001.mbo.dbn.zst,54184246
NQ_MBO_SNAPSHOT_2022-04-26_LB_20220426_093143_SELL_0001,2022-04-26,LB_20220426_093143_SELL_0001,2022,SELL,C_MIXED_PATH,NQM2,2895,instrument_id,2895,3233730,3233730,0,2945,1,2944,1,0,0,1240109,1240109,0.0,596451,596451,1235738,1235738,0,89697,89697,100.0,13409.25,2.0,8.0,8,13405.0,17.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-26_LB_20220426_093143_SELL_0001.mbo.dbn.zst,66939329
NQ_MBO_SNAPSHOT_2022-04-27_LB_20220427_093500_BUY_0001,2022-04-27,LB_20220427_093500_BUY_0001,2022,BUY,A_TRUE_ABSORPTION,NQM2,2895,instrument_id,2895,4924123,4924123,0,3026,1,3025,1,0,0,1886809,1886809,0.0,846994,846994,1882979,1882979,0,170753,170753,100.0,13096.25,2.0,4.0,3,13120.0,95.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-04-27_LB_20220427_093500_BUY_0001.mbo.dbn.zst,99306592
NQ_MBO_SNAPSHOT_2022-05-04_LB_20220504_093301_SELL_0001,2022-05-04,LB_20220504_093301_SELL_0001,2022,SELL,A_TRUE_ABSORPTION,NQM2,2895,instrument_id,2895,1924326,1924326,0,2760,1,2759,1,0,0,715487,715486,0.00013976494331832724,365619,365619,711414,711414,0,73269,73268,99.9999130663078,13075.75,1.0,12.0,9,13075.0,3.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-04_LB_20220504_093301_SELL_0001.mbo.dbn.zst,39532154
NQ_MBO_SNAPSHOT_2022-05-09_LB_20220509_093112_BUY_0001,2022-05-09,LB_20220509_093112_BUY_0001,2022,BUY,C_MIXED_PATH,NQM2,2895,instrument_id,2895,4429908,4429908,0,2864,1,2863,1,0,0,1639644,1639643,6.0988848798885615e-05,869974,869974,1635546,1635546,0,156796,156795,99.99996243871877,12486.25,1.0,6.0,6,12492.5,25.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-09_LB_20220509_093112_BUY_0001.mbo.dbn.zst,87982473
NQ_MBO_SNAPSHOT_2022-05-18_LB_20220518_093457_BUY_0001,2022-05-18,LB_20220518_093457_BUY_0001,2022,BUY,C_MIXED_PATH,NQM2,2895,instrument_id,2895,3162389,3162389,0,2910,1,2909,1,0,0,1196290,1196289,8.35917712260405e-05,560249,560249,1192107,1192107,0,119837,119836,99.9999465867034,12374.75,2.0,6.0,6,12378.75,16.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-18_LB_20220518_093457_BUY_0001.mbo.dbn.zst,64155119
NQ_MBO_SNAPSHOT_2022-05-20_LB_20220520_093501_SELL_0001,2022-05-20,LB_20220520_093501_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQM2,2895,instrument_id,2895,3785959,3785959,0,2799,1,2798,1,0,0,1481059,1481059,0.0,611843,611843,1476945,1476945,0,120412,120412,100.0,11996.75,1.0,6.0,6,11990.0,27.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-20_LB_20220520_093501_SELL_0001.mbo.dbn.zst,76278241
NQ_MBO_SNAPSHOT_2022-05-23_LB_20220523_093420_SELL_0001,2022-05-23,LB_20220523_093420_SELL_0001,2022,SELL,C_MIXED_PATH,NQM2,2895,instrument_id,2895,4553942,4553942,0,2867,1,2866,1,0,0,1789876,1789876,0.0,734094,734094,1785656,1785656,0,135790,135790,100.0,11852.75,2.0,7.0,7,11850.0,11.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-23_LB_20220523_093420_SELL_0001.mbo.dbn.zst,91740743
NQ_MBO_SNAPSHOT_2022-05-27_LB_20220527_093100_BUY_0001,2022-05-27,LB_20220527_093100_BUY_0001,2022,BUY,B_CLEAN_BREAKOUT,NQM2,2895,instrument_id,2895,2932650,2932650,0,2965,1,2964,1,0,0,1110620,1110619,9.003979759053502e-05,475478,475478,1106144,1106144,0,136796,136795,99.99994180694104,12429.75,5.0,24.0,17,12437.5,31.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-05-27_LB_20220527_093100_BUY_0001.mbo.dbn.zst,58981234
