Variable,Nacimiento,Actualizaciones,Congelada,Usable,Clasificacion,Motivo
APlus_Absorption,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
APlus_Absorption_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
APlus_Speed,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
APlus_Speed_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
APlus_Speed_Setup_Confirmed,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
APlus_Speed_Setup_Confirmed_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
APlus_Speed_Threshold_TPS,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
APlus_Structure,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
APlus_Structure_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Alarm_To_Exit_Milliseconds,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)exit($|_)`
Body,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Body_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Body_OK,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Body_OK_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
BreakOut_SPEED,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
BreakOut_SPEED_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
BreakOut_TICKS_PER_SEC,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
BreakOut_TICKS_PER_SEC_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Buy_Imbalance_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Buy_Imbalance_Count_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Cumulative_Delta_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Cumulative_Delta_Source,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cumulative_Delta_Source_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE,captured/frozen at entry
Cumulative_Delta_entry,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Current_MAE_Pullback_Ticks_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
Current_MAE_Speed_TPS_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)mae($|_)`
Cvd_Advertencia_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Advertencia_Count_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Advertencia_Count_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Current,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)current($|_)`
Cvd_Current_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)current($|_)`
Cvd_Current_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Excelente_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Excelente_Count_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Excelente_Count_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Excelente_Pct,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Excelente_Pct_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Excelente_Time_Pct_Before_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Label_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Cvd_Label_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Label_Changes,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Label_Changes_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Label_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Negative_Episodes,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Negative_Episodes_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_NonExcellent_Consecutive_Samples,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_NonExcellent_Seconds_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Normal_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Normal_Count_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Normal_Count_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Peak,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Peak_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE,captured/frozen at entry
Cvd_Peak_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Pullback_Label,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `cvd_pullback_label`
Cvd_Pullback_Pct,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Pullback_Pct_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE,captured/frozen at entry
Cvd_Pullback_Pct_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Pullback_Pct_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Riesgo_Reversion_Count,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Riesgo_Reversion_Count_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Riesgo_Reversion_Count_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Total_Samples,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Total_Samples_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE,captured/frozen at entry
Cvd_Total_Samples_At_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Total_Samples_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Cvd_Worst_Label,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Cvd_Worst_Label_Before_Alarm,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)alarm($|_)`
Cvd_Worst_Label_Final,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)final($|_)`
Delta_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Delta_Change,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Delta_Change_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Delta_OK,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Delta_OK_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
