BurstId,fecha,year,family,burst_side,strategy_decision_timestamp_utc,Burst_Feature_Available_Timestamp_UTC,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Level_Band_Dwell_Ratio,Rejected_Side_Dwell_Ratio,Reclaim_Count,Momentum_Survival_Ratio,Path_Efficiency,Model_Eligibility,decision_utc,feature_available_utc,response_available_utc,response_after_decision_ms,response_window_ms
LB_20220405_093200_BUY_0001,2022-04-05,2022,A_TRUE_ABSORPTION,BUY,2022-04-05T13:32:01.026000Z,2022-04-05T13:32:01.0250000Z,2022-04-05T13:32:02.0000000Z,1.0,-5.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,-1.0,POST_BURST_ONLY,2022-04-05 13:32:01.026000+00:00,2022-04-05 13:32:01.025000+00:00,2022-04-05 13:32:02+00:00,974.0,975.0
LB_20220406_093100_BUY_0001,2022-04-06,2022,C_MIXED_PATH,BUY,2022-04-06T13:31:01.004000Z,2022-04-06T13:31:01.0020000Z,2022-04-06T13:31:02.0000000Z,1.0,-6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,-1.0,POST_BURST_ONLY,2022-04-06 13:31:01.004000+00:00,2022-04-06 13:31:01.002000+00:00,2022-04-06 13:31:02+00:00,996.0,998.0
LB_20220426_093143_SELL_0001,2022-04-26,2022,C_MIXED_PATH,SELL,2022-04-26T13:31:44.003000Z,2022-04-26T13:31:44.0030000Z,2022-04-26T13:31:45.0000000Z,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-04-26 13:31:44.003000+00:00,2022-04-26 13:31:44.003000+00:00,2022-04-26 13:31:45+00:00,997.0,997.0
LB_20220427_093500_BUY_0001,2022-04-27,2022,A_TRUE_ABSORPTION,BUY,2022-04-27T13:35:01.007000Z,2022-04-27T13:35:01.0010000Z,2022-04-27T13:35:02.0000000Z,1.0,-11.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-04-27 13:35:01.007000+00:00,2022-04-27 13:35:01.001000+00:00,2022-04-27 13:35:02+00:00,993.0,999.0
LB_20220504_093301_SELL_0001,2022-05-04,2022,A_TRUE_ABSORPTION,SELL,2022-05-04T13:33:02.005000Z,2022-05-04T13:33:02.0010000Z,2022-05-04T13:33:03.0000000Z,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-05-04 13:33:02.005000+00:00,2022-05-04 13:33:02.001000+00:00,2022-05-04 13:33:03+00:00,995.0,999.0
LB_20220509_093112_BUY_0001,2022-05-09,2022,C_MIXED_PATH,BUY,2022-05-09T13:31:13.010000Z,2022-05-09T13:31:13.0090000Z,2022-05-09T13:31:14.0000000Z,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2022-05-09 13:31:13.010000+00:00,2022-05-09 13:31:13.009000+00:00,2022-05-09 13:31:14+00:00,990.0,991.0
LB_20220518_093457_BUY_0001,2022-05-18,2022,C_MIXED_PATH,BUY,2022-05-18T13:34:58.072000Z,,,,,,,,,,,,,,2022-05-18 13:34:58.072000+00:00,,,,
LB_20220520_093501_SELL_0001,2022-05-20,2022,B_CLEAN_BREAKOUT,SELL,2022-05-20T13:35:02.005000Z,2022-05-20T13:35:02.0000000Z,2022-05-20T13:35:03.0000000Z,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-05-20 13:35:02.005000+00:00,2022-05-20 13:35:02+00:00,2022-05-20 13:35:03+00:00,995.0,1000.0
LB_20220523_093420_SELL_0001,2022-05-23,2022,C_MIXED_PATH,SELL,2022-05-23T13:34:21.020000Z,2022-05-23T13:34:21.0010000Z,2022-05-23T13:34:22.0000000Z,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2022-05-23 13:34:21.020000+00:00,2022-05-23 13:34:21.001000+00:00,2022-05-23 13:34:22+00:00,980.0,999.0
LB_20220527_093100_BUY_0001,2022-05-27,2022,B_CLEAN_BREAKOUT,BUY,2022-05-27T13:31:01.019000Z,2022-05-27T13:31:01.0060000Z,2022-05-27T13:31:02.0000000Z,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-05-27 13:31:01.019000+00:00,2022-05-27 13:31:01.006000+00:00,2022-05-27 13:31:02+00:00,981.0,994.0
LB_20220608_093102_SELL_0001,2022-06-08,2022,B_CLEAN_BREAKOUT,SELL,2022-06-08T13:31:03.007000Z,2022-06-08T13:31:03.0070000Z,2022-06-08T13:31:04.0000000Z,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-06-08 13:31:03.007000+00:00,2022-06-08 13:31:03.007000+00:00,2022-06-08 13:31:04+00:00,993.0,993.0
LB_20220613_093107_SELL_0001,2022-06-13,2022,A_TRUE_ABSORPTION,SELL,2022-06-13T13:31:08.000000Z,2022-06-13T13:31:08.0000000Z,2022-06-13T13:31:09.0000000Z,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-06-13 13:31:08+00:00,2022-06-13 13:31:08+00:00,2022-06-13 13:31:09+00:00,1000.0,1000.0
LB_20220627_093202_SELL_0001,2022-06-27,2022,B_CLEAN_BREAKOUT,SELL,2022-06-27T13:32:03.009000Z,2022-06-27T13:32:03.0080000Z,2022-06-27T13:32:04.0000000Z,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-06-27 13:32:03.009000+00:00,2022-06-27 13:32:03.008000+00:00,2022-06-27 13:32:04+00:00,991.0,992.0
LB_20220718_093105_SELL_0001,2022-07-18,2022,C_MIXED_PATH,SELL,2022-07-18T13:31:06.004000Z,2022-07-18T13:31:06.0010000Z,2022-07-18T13:31:07.0000000Z,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-07-18 13:31:06.004000+00:00,2022-07-18 13:31:06.001000+00:00,2022-07-18 13:31:07+00:00,996.0,999.0
LB_20220719_093600_SELL_0001,2022-07-19,2022,C_MIXED_PATH,SELL,2022-07-19T13:36:01.015000Z,2022-07-19T13:36:01.0090000Z,2022-07-19T13:36:02.0000000Z,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2022-07-19 13:36:01.015000+00:00,2022-07-19 13:36:01.009000+00:00,2022-07-19 13:36:02+00:00,985.0,991.0
LB_20220720_093414_BUY_0001,2022-07-20,2022,B_CLEAN_BREAKOUT,BUY,2022-07-20T13:34:15.086000Z,2022-07-20T13:34:15.0070000Z,2022-07-20T13:34:16.0000000Z,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,-1.0,POST_BURST_ONLY,2022-07-20 13:34:15.086000+00:00,2022-07-20 13:34:15.007000+00:00,2022-07-20 13:34:16+00:00,914.0,993.0
LB_20220726_093111_SELL_0001,2022-07-26,2022,C_MIXED_PATH,SELL,2022-07-26T13:31:12.026000Z,2022-07-26T13:31:12.0010000Z,2022-07-26T13:31:13.0000000Z,1.0,-2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-07-26 13:31:12.026000+00:00,2022-07-26 13:31:12.001000+00:00,2022-07-26 13:31:13+00:00,974.0,999.0
LB_20220729_093500_SELL_0001,2022-07-29,2022,B_CLEAN_BREAKOUT,SELL,2022-07-29T13:35:01.099000Z,2022-07-29T13:35:01.0190000Z,2022-07-29T13:35:02.0000000Z,1.0,-3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-07-29 13:35:01.099000+00:00,2022-07-29 13:35:01.019000+00:00,2022-07-29 13:35:02+00:00,901.0,981.0
LB_20220801_093127_SELL_0001,2022-08-01,2022,C_MIXED_PATH,SELL,2022-08-01T13:31:28.101000Z,2022-08-01T13:31:28.0200000Z,2022-08-01T13:31:29.0000000Z,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2022-08-01 13:31:28.101000+00:00,2022-08-01 13:31:28.020000+00:00,2022-08-01 13:31:29+00:00,899.0,980.0
LB_20220804_093511_BUY_0001,2022-08-04,2022,A_TRUE_ABSORPTION,BUY,2022-08-04T13:35:12.032000Z,2022-08-04T13:35:12.0040000Z,2022-08-04T13:35:13.0000000Z,1.0,-2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,POST_BURST_ONLY,2022-08-04 13:35:12.032000+00:00,2022-08-04 13:35:12.004000+00:00,2022-08-04 13:35:13+00:00,968.0,996.0
LB_20220809_093105_SELL_0001,2022-08-09,2022,B_CLEAN_BREAKOUT,SELL,2022-08-09T13:31:06.048000Z,2022-08-09T13:31:06.0080000Z,2022-08-09T13:31:07.0000000Z,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2022-08-09 13:31:06.048000+00:00,2022-08-09 13:31:06.008000+00:00,2022-08-09 13:31:07+00:00,952.0,992.0
LB_20220815_093300_BUY_0001,2022-08-15,2022,B_CLEAN_BREAKOUT,BUY,2022-08-15T13:33:01.053000Z,2022-08-15T13:33:01.0160000Z,2022-08-15T13:33:02.0000000Z,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-08-15 13:33:01.053000+00:00,2022-08-15 13:33:01.016000+00:00,2022-08-15 13:33:02+00:00,947.0,984.0
LB_20220817_093558_BUY_0001,2022-08-17,2022,A_TRUE_ABSORPTION,BUY,2022-08-17T13:35:59.026000Z,2022-08-17T13:35:59.0020000Z,2022-08-17T13:36:00.0000000Z,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-08-17 13:35:59.026000+00:00,2022-08-17 13:35:59.002000+00:00,2022-08-17 13:36:00+00:00,974.0,998.0
LB_20220831_093400_SELL_0001,2022-08-31,2022,B_CLEAN_BREAKOUT,SELL,2022-08-31T13:34:01.039000Z,2022-08-31T13:34:01.0020000Z,2022-08-31T13:34:02.0000000Z,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-08-31 13:34:01.039000+00:00,2022-08-31 13:34:01.002000+00:00,2022-08-31 13:34:02+00:00,961.0,998.0
LB_20220901_093124_SELL_0002,2022-09-01,2022,B_CLEAN_BREAKOUT,SELL,2022-09-01T13:31:25.053000Z,2022-09-01T13:31:25.0010000Z,2022-09-01T13:31:26.0000000Z,1.0,-2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-09-01 13:31:25.053000+00:00,2022-09-01 13:31:25.001000+00:00,2022-09-01 13:31:26+00:00,947.0,999.0
LB_20220906_093405_BUY_0001,2022-09-06,2022,C_MIXED_PATH,BUY,2022-09-06T13:34:06.074000Z,,,,,,,,,,,,,,2022-09-06 13:34:06.074000+00:00,,,,
LB_20220928_093328_SELL_0001,2022-09-28,2022,B_CLEAN_BREAKOUT,SELL,2022-09-28T13:33:29.039000Z,2022-09-28T13:33:29.0000000Z,2022-09-28T13:33:30.0000000Z,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY,2022-09-28 13:33:29.039000+00:00,2022-09-28 13:33:29+00:00,2022-09-28 13:33:30+00:00,961.0,1000.0
LB_20221011_093101_SELL_0001,2022-10-11,2022,C_MIXED_PATH,SELL,2022-10-11T13:31:02.078000Z,2022-10-11T13:31:02.0290000Z,2022-10-11T13:31:03.0000000Z,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-10-11 13:31:02.078000+00:00,2022-10-11 13:31:02.029000+00:00,2022-10-11 13:31:03+00:00,922.0,971.0
LB_20221018_093155_SELL_0001,2022-10-18,2022,C_MIXED_PATH,SELL,2022-10-18T13:31:56.038000Z,,,,,,,,,,,,,,2022-10-18 13:31:56.038000+00:00,,,,
LB_20221025_093119_BUY_0001,2022-10-25,2022,B_CLEAN_BREAKOUT,BUY,2022-10-25T13:31:20.076000Z,2022-10-25T13:31:20.0000000Z,2022-10-25T13:31:21.0000000Z,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,POST_BURST_ONLY,2022-10-25 13:31:20.076000+00:00,2022-10-25 13:31:20+00:00,2022-10-25 13:31:21+00:00,924.0,1000.0
LB_20221026_093108_SELL_0002,2022-10-26,2022,A_TRUE_ABSORPTION,SELL,2022-10-26T13:31:09.077000Z,2022-10-26T13:31:09.0100000Z,2022-10-26T13:31:10.0000000Z,1.0,-2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-10-26 13:31:09.077000+00:00,2022-10-26 13:31:09.010000+00:00,2022-10-26 13:31:10+00:00,923.0,990.0
LB_20221027_093628_SELL_0001,2022-10-27,2022,A_TRUE_ABSORPTION,SELL,2022-10-27T13:36:29.053000Z,,,,,,,,,,,,,,2022-10-27 13:36:29.053000+00:00,,,,
LB_20221028_093127_BUY_0001,2022-10-28,2022,B_CLEAN_BREAKOUT,BUY,2022-10-28T13:31:28.046000Z,2022-10-28T13:31:28.0000000Z,2022-10-28T13:31:29.0000000Z,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,POST_BURST_ONLY,2022-10-28 13:31:28.046000+00:00,2022-10-28 13:31:28+00:00,2022-10-28 13:31:29+00:00,954.0,1000.0
