fecha,BurstId,family,split,kmeans_2,gmm_2,kmeans_3,gmm_3,dbscan,hdbscan
2022-04-05,LB_20220405_093200_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2022-04-06,LB_20220406_093100_BUY_0001,C_MIXED_PATH,discovery,0,1,0,2,-1,UNAVAILABLE
2022-04-19,LB_20220419_093100_BUY_0001,C_MIXED_PATH,discovery,0,1,1,2,-1,UNAVAILABLE
2022-04-26,LB_20220426_093143_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,2,UNAVAILABLE
2022-04-27,LB_20220427_093500_BUY_0001,A_TRUE_ABSORPTION,discovery,1,0,2,1,-1,UNAVAILABLE
2022-05-04,LB_20220504_093301_SELL_0001,A_TRUE_ABSORPTION,discovery,1,0,2,1,0,UNAVAILABLE
2022-05-09,LB_20220509_093112_BUY_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2022-05-18,LB_20220518_093457_BUY_0001,C_MIXED_PATH,discovery,0,0,1,1,-1,UNAVAILABLE
2022-05-20,LB_20220520_093501_SELL_0001,B_CLEAN_BREAKOUT,discovery,1,0,2,1,-1,UNAVAILABLE
2022-05-23,LB_20220523_093420_SELL_0001,C_MIXED_PATH,discovery,1,0,2,1,-1,UNAVAILABLE
2022-05-25,LB_20220525_093511_SELL_0001,C_MIXED_PATH,discovery,1,0,2,2,-1,UNAVAILABLE
2022-05-27,LB_20220527_093100_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,0,2,-1,UNAVAILABLE
2022-06-08,LB_20220608_093102_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2022-06-13,LB_20220613_093107_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2022-06-27,LB_20220627_093202_SELL_0001,B_CLEAN_BREAKOUT,discovery,1,0,2,0,-1,UNAVAILABLE
2022-07-07,LB_20220707_093345_BUY_0001,C_MIXED_PATH,discovery,0,1,0,0,-1,UNAVAILABLE
2022-07-18,LB_20220718_093105_SELL_0001,C_MIXED_PATH,discovery,0,1,0,2,-1,UNAVAILABLE
2022-07-19,LB_20220719_093600_SELL_0001,C_MIXED_PATH,discovery,1,0,2,1,0,UNAVAILABLE
2022-07-20,LB_20220720_093414_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,0,1,1,-1,UNAVAILABLE
2022-07-26,LB_20220726_093111_SELL_0001,C_MIXED_PATH,discovery,0,1,0,2,-1,UNAVAILABLE
2022-07-29,LB_20220729_093500_SELL_0001,B_CLEAN_BREAKOUT,discovery,1,0,2,1,0,UNAVAILABLE
2022-08-01,LB_20220801_093127_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,0,UNAVAILABLE
2022-08-04,LB_20220804_093511_BUY_0001,A_TRUE_ABSORPTION,discovery,1,0,0,2,-1,UNAVAILABLE
2022-08-09,LB_20220809_093105_SELL_0001,B_CLEAN_BREAKOUT,discovery,0,1,0,0,-1,UNAVAILABLE
2022-08-15,LB_20220815_093300_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,-1,UNAVAILABLE
2022-08-17,LB_20220817_093558_BUY_0001,A_TRUE_ABSORPTION,discovery,0,0,0,2,-1,UNAVAILABLE
