feature,source,definition_formula,units,physical_interpretation,feature_timestamp_start_offset_seconds,feature_timestamp_end_offset_seconds,causal_flag,realtime_available,engineered
Delta1s,burst_events,"sum(delta, 1s)",contracts,Agresión neta del segundo del burst.,-1,0,1,1,0
Delta2s,burst_events,"sum(delta, 2s)",contracts,Persistencia corta de agresión.,-2,0,1,1,0
Delta3s,burst_events,"sum(delta, 3s)",contracts,Persistencia de agresión a 3 segundos.,-3,0,1,1,0
Delta5s,burst_events,"sum(delta, 5s)",contracts,Persistencia de agresión a 5 segundos.,-5,0,1,1,0
Delta10s,burst_events,"sum(delta, 10s)",contracts,Contexto pre-burst de 10 segundos.,-10,0,1,1,0
PeakPositiveDelta,burst_events,"max(delta_1s, 10s)",contracts,Pico comprador causal.,-10,0,1,1,0
PeakNegativeDelta,burst_events,"min(delta_1s, 10s)",contracts,Pico vendedor causal.,-10,0,1,1,0
DeltaChange1s,burst_events,delta_t-delta_t-1,contracts,Salto instantáneo de agresión.,-2,0,1,1,0
DeltaChangeZScore,burst_events,z(delta_change; history 300s),z,Rareza del cambio frente al pasado.,-300,0,1,1,0
DeltaPercentile,burst_events,percentile(|delta_change|; history),ratio,Percentil causal de actividad.,-300,0,1,1,0
BuySellRatio,burst_events,buy_volume/sell_volume,ratio,Asimetría de agresores.,-1,0,1,1,0
TradesPerSecond,burst_events,"count(trades,1s)",trades/s,Intensidad de ejecuciones.,-1,0,1,1,0
ContractsPerSecond,burst_events,"sum(volume,1s)",contracts/s,Intensidad de contratos.,-1,0,1,1,0
Velocity1s,burst_events,price displacement/tick/1s,ticks/s,Desplazamiento de precio por segundo.,-1,0,1,1,0
Velocity3s,burst_events,price displacement/tick/3s,ticks/s,Velocidad a 3 segundos.,-3,0,1,1,0
Velocity5s,burst_events,price displacement/tick/5s,ticks/s,Velocidad a 5 segundos.,-5,0,1,1,0
Acceleration1s,burst_events,velocity1s_t-velocity1s_t-1,ticks/s2,Cambio de velocidad inmediato.,-2,0,1,1,0
Acceleration3s,burst_events,velocity3s_t-velocity3s_t-1,ticks/s2,Cambio de velocidad suavizado.,-4,0,1,1,0
TicksPerSecond,burst_events,Velocity1s,ticks/s,Impacto observado en precio.,-1,0,1,1,0
CumulativeDeltaWindow,burst_events,"sum(delta,CumulativeWindowSeconds)",contracts,CVD causal del burst.,-3,0,1,1,0
OR_WidthTicks,burst_events,(OR_high-OR_low)/tick,ticks,Régimen de rango de apertura.,-60,0,1,1,0
Dist_OR_High_Ticks,burst_events,(price-OR_high)/tick,ticks,Ubicación respecto al OR high.,-60,0,1,1,0
Dist_OR_Low_Ticks,burst_events,(price-OR_low)/tick,ticks,Ubicación respecto al OR low.,-60,0,1,1,0
Dist_VWAP_Ticks,burst_events,(price-vwap)/tick,ticks,Ubicación respecto a VWAP.,-1800,0,1,1,0
Dist_POC_Ticks,burst_events,(price-poc)/tick,ticks,Ubicación respecto al POC causal.,-1800,0,1,1,0
Dist_VAH_Ticks,burst_events,(price-vah)/tick,ticks,Ubicación respecto al VAH causal.,-1800,0,1,1,0
Dist_VAL_Ticks,burst_events,(price-val)/tick,ticks,Ubicación respecto al VAL causal.,-1800,0,1,1,0
Dist_HVN_Ticks,burst_events,(price-nearest_hvn)/tick,ticks,Distancia a nodo de alto volumen.,-1800,0,1,1,0
Dist_LVN_Ticks,burst_events,(price-nearest_lvn)/tick,ticks,Distancia a nodo de bajo volumen.,-1800,0,1,1,0
PreBurst_Acceptance_Dwell_Ratio_5s,burst_events,seconds accepted beyond broken OR edge / observed seconds,ratio,Aceptación causal previa al burst.,-5,0,1,1,0
PreBurst_Reclaim_Count_10s,burst_events,crossings from accepted to reclaimed side,count,Reclaims causales antes del burst.,-10,0,1,1,0
PreBurst_Rotation_Index_10s,burst_events,direction changes/nonzero price changes,ratio,Rotación local de la subasta.,-10,0,1,1,0
PreBurst_Local_Entropy_10s,burst_events,"binary entropy(up,down)",bits,Complejidad de la secuencia previa.,-10,0,1,1,0
PreBurst_Path_Efficiency_10s,burst_events,directional net move/absolute path,ratio,Eficiencia de trayectoria previa.,-10,0,1,1,0
PreBurst_Price_Per_Delta_3s,burst_events,directional ticks/abs(delta),ticks/contract,Resultado de precio por agresión.,-3,0,1,1,0
PreBurst_Price_Per_Volume_3s,burst_events,directional ticks/volume,ticks/contract,Resultado de precio por volumen.,-3,0,1,1,0
PreBurst_Impulse_Survival_Seconds,burst_events,consecutive directional seconds ending at burst,seconds,Supervivencia causal del impulso.,-5,0,1,1,0
PreBurst_Impulse_Decay_Slope_5s,burst_events,OLS slope of directional one-second moves,ticks/s2,Decaimiento o expansión del impulso.,-5,0,1,1,0
Profile_Std_Ticks,burst_events,volume-weighted profile standard deviation,ticks,Dispersión matemática del perfil.,-1800,0,1,1,0
Profile_Skewness,burst_events,volume-weighted third standardized moment,ratio,Asimetría matemática del perfil.,-1800,0,1,1,0
Profile_Excess_Kurtosis,burst_events,volume-weighted fourth standardized moment-3,ratio,Colas/concentración del perfil.,-1800,0,1,1,0
Profile_Normalized_Entropy,burst_events,profile entropy/log(number of price nodes),ratio,Dispersión de volumen entre niveles.,-1800,0,1,1,0
Profile_Concentration,burst_events,POC volume/total profile volume,ratio,Concentración modal sin etiqueta manual.,-1800,0,1,1,0
Profile_Effective_Nodes,burst_events,exp(profile entropy),count,Número efectivo de niveles negociados.,-1800,0,1,1,0
Profile_Local_Maxima_Count,burst_events,count(local maxima in volume profile),count,Multimodalidad matemática.,-1800,0,1,1,0
Profile_Position_Percentile,burst_events,cumulative profile volume below price/total volume,ratio,Posición relativa dentro de la subasta.,-1800,0,1,1,0
POC_Migration_Ticks,burst_events,current POC-prior emitted POC,ticks,Migración causal del centro de valor.,-1800,0,1,1,0
Flow_0_1_DirectionalNetDelta,burst_events,"side_sign*(buy-sell), segment [0,1]s",contracts,Agresión neta inmediata sin ventanas superpuestas.,-1,0,1,1,0
Flow_1_3_DirectionalNetDelta,burst_events,"side_sign*(buy-sell), segment [1,3]s",contracts,Persistencia previa independiente del segundo del burst.,-3,-1,1,1,0
Flow_3_5_DirectionalNetDelta,burst_events,"side_sign*(buy-sell), segment [3,5]s",contracts,Régimen de flujo anterior no superpuesto.,-5,-3,1,1,0
Flow_0_1_GrossAggressive,burst_events,"raw_buy+raw_sell [0,1]s",contracts,Esfuerzo agresivo bruto inmediato.,-1,0,1,1,0
Flow_1_3_GrossAggressive,burst_events,"raw_buy+raw_sell [1,3]s",contracts,Esfuerzo bruto previo independiente.,-3,-1,1,1,0
Flow_3_5_GrossAggressive,burst_events,"raw_buy+raw_sell [3,5]s",contracts,Esfuerzo bruto de contexto.,-5,-3,1,1,0
Flow_0_1_CounterflowShare,burst_events,"contra_volume/gross_volume [0,1]s",ratio,Conflicto agresivo oculto por el delta neto.,-1,0,1,1,0
Flow_1_3_CounterflowShare,burst_events,"contra_volume/gross_volume [1,3]s",ratio,Contra-agresión previa al burst.,-3,-1,1,1,0
Flow_3_5_CounterflowShare,burst_events,"contra_volume/gross_volume [3,5]s",ratio,Contra-agresión del contexto inmediato.,-5,-3,1,1,0
Flow_0_1_DirectionalVelocityTPS,burst_events,"directional ticks/[0,1]s",ticks/s,Resultado de precio inmediato.,-1,0,1,1,0
Flow_1_3_DirectionalVelocityTPS,burst_events,"directional ticks/2s [1,3]",ticks/s,Persistencia de desplazamiento no superpuesta.,-3,-1,1,1,0
Flow_3_5_DirectionalVelocityTPS,burst_events,"directional ticks/2s [3,5]",ticks/s,Desplazamiento anterior independiente.,-5,-3,1,1,0
Flow_0_1_TicksPerAggressiveContract,burst_events,directional_ticks/gross_aggressive,ticks/contract,Esfuerzo versus resultado con denominador auditable.,-1,0,1,1,0
Velocity_Retention_1_3,burst_events,"velocity[1,3]/abs(velocity[0,1])",ratio,Persistencia de velocidad sin solapamiento.,-3,0,1,1,0
Velocity_Retention_3_5,burst_events,"velocity[3,5]/abs(velocity[1,3])",ratio,Extinción o continuación del impulso.,-5,-1,1,1,0
Delta_Retention_1_3,burst_events,"delta[1,3]/abs(delta[0,1])",ratio,Persistencia de agresión sin solapamiento.,-3,0,1,1,0
Delta_Retention_3_5,burst_events,"delta[3,5]/abs(delta[1,3])",ratio,Extinción previa de agresión.,-5,-1,1,1,0
Prior_Level_Touches_60s,burst_events,count(seconds touching fixed 1-tick level band),count,Memoria y desgaste del nivel antes del burst.,-60,0,1,1,0
Prior_Full_Crosses_60s,burst_events,count complete side changes across frozen level,count,Chop frente a nivel fresco.,-60,0,1,1,0
Prior_Volume_At_Level_Band_60s,burst_events,sum volume in fixed 1-tick level band,contracts,Esfuerzo acumulado negociado en el nivel.,-60,0,1,1,0
Pre_Approach_Distance_Ticks,burst_events,side_sign*(level-price_start_5s)/tick,ticks,Distancia recorrida antes del cruce.,-5,0,1,1,0
Pre_Approach_Velocity_TPS,burst_events,directional displacement/observed seconds,ticks/s,Velocidad de aproximación al nivel.,-5,0,1,1,0
Pre_Approach_Pause_Seconds,burst_events,count one-second buckets with movement <1 tick,seconds,Pausa o compresión inmediatamente antes del cruce.,-5,0,1,1,0
Time_Since_Last_Prior_Level_Touch_Seconds,burst_events,seconds since last prior touch of frozen level band,seconds,Frescura del nivel sin contar el burst actual.,-60,0,1,1,0
Realized_Volatility_10s_Ticks,burst_events,sqrt(sum(one-second return_ticks^2)),ticks,Volatilidad realizada corta previa.,-10,0,1,1,0
Realized_Volatility_30s_Ticks,burst_events,sqrt(sum(one-second return_ticks^2)),ticks,Volatilidad realizada media previa.,-30,0,1,1,0
Realized_Volatility_60s_Ticks,burst_events,sqrt(sum(one-second return_ticks^2)),ticks,Régimen de volatilidad previo.,-60,0,1,1,0
Short_Long_Volatility_Ratio,burst_events,RV10/sqrt(10) divided by RV60/sqrt(60),ratio,Expansión o compresión de volatilidad antes del burst.,-60,0,1,1,0
Flow_Aligned_Segment_Count,burst_events,count non-overlap segments with directional delta and price >0,count,Alineación multihorizonte del esfuerzo y resultado.,-5,0,1,1,0
Flow_Conflict_Segment_Count,burst_events,count segments where delta and price have opposite signs,count,Conflicto multihorizonte compatible con absorción.,-5,0,1,1,0
Observation_Coverage_60,burst_events,observed one-second buckets/60,ratio,Calidad y completitud causal del stream.,-60,0,1,1,0
GapFill_Seconds_60,burst_events,count synthetic carry-forward gap buckets,count,"Advertencia de datos irregulares, no señal de mercado.",-60,0,1,1,0
Burst_Index_In_Episode,burst_events,ordinal burst within 30s episode,count,Dependencia entre eventos del mismo episodio.,-30,0,1,1,0
Seconds_Since_Prior_Burst,burst_events,timestamp-current minus prior burst,seconds,Separación temporal entre eventos correlacionados.,-300,0,1,1,0
range,trade_inputs,OR range at prediction,ticks,Régimen de apertura al decidir.,0,0,1,1,0
Body_AtEntry,trade_inputs,body breakout at prediction,ticks,Desplazamiento del bar al decidir.,0,0,1,1,0
Volume_AtEntry,trade_inputs,bar volume at prediction,contracts,Participación acumulada disponible.,-60,0,1,1,0
Delta_AtEntry,trade_inputs,bar delta at prediction,contracts,Agresión acumulada disponible.,-60,0,1,1,0
Cumulative_Delta_AtEntry,trade_inputs,session CVD at prediction,contracts,Régimen direccional causal.,-1800,0,1,1,0
Previous_Volume_AtEntry,trade_inputs,previous closed bar volume,contracts,Actividad previa cerrada.,-120,-1,1,1,0
Previous_Delta_AtEntry,trade_inputs,previous closed bar delta,contracts,Agresión previa cerrada.,-120,-1,1,1,0
Delta_Change_AtEntry,trade_inputs,delta-current minus previous,contracts,Cambio de agresión al decidir.,-120,0,1,1,0
BreakOut_TICKS_PER_SEC_AtEntry,trade_inputs,causal breakout speed,ticks/s,Velocidad del setup al decidir.,-60,0,1,1,0
Score_AtEntry,trade_inputs,score available at prediction,points,Confluencia causal predefinida.,-60,0,1,1,0
Buy_Imbalance_Count_AtEntry,trade_inputs,buy imbalance count,count,Desequilibrios compradores observados.,-60,0,1,1,0
Sell_Imbalance_Count_AtEntry,trade_inputs,sell imbalance count,count,Desequilibrios vendedores observados.,-60,0,1,1,0
Seconds_From_Open_AtEntry,trade_inputs,entry_ny-09:30 NY,seconds,Régimen temporal exacto al decidir.,-600,0,1,1,0
Directional_OR_Extension_Ticks_AtEntry,trade_inputs,execution_sign*distance beyond execution-side OR edge,ticks,Extensión causal respecto al OR.,-600,0,1,1,0
Directional_VWAP_Distance_Ticks_AtEntry,trade_inputs,execution_sign*(entry-vwap)/tick,ticks,Alineación de entrada con valor negociado.,-600,0,1,1,0
Nearest_OR_Edge_Distance_Ticks_AtEntry,trade_inputs,"min(abs(entry-OR high),abs(entry-OR low))/tick",ticks,Proximidad al borde estructural más cercano.,-600,0,1,1,0
Body_OR_Ratio_AtEntry,trade_inputs,"abs(body ticks)/max(OR ticks,1)",ratio,Extensión del cuerpo normalizada por régimen.,-60,0,1,1,0
Signed_Delta_Share_AtEntry,trade_inputs,"execution_sign*bar delta/max(bar volume,1)",ratio,Agresión del bar alineada con la ejecución.,-60,0,1,1,0
Signed_Previous_Delta_Share_AtEntry,trade_inputs,"execution_sign*previous delta/max(previous volume,1)",ratio,Agresión cerrada previa alineada.,-120,-1,1,1,0
Prior_Closed_ATR3_Ticks_AtEntry,trade_inputs,mean true range of prior 3 closed bars,ticks,Volatilidad causal inmediata.,-240,-1,1,1,0
Prior_Closed_ATR5_Ticks_AtEntry,trade_inputs,mean true range of prior 5 closed bars,ticks,Volatilidad causal suavizada.,-360,-1,1,1,0
PreEntry_Directional_Efficiency3_AtEntry,trade_inputs,execution_sign*net move/sum ranges of prior 3 closed bars,ratio,Eficiencia de trayectoria previa.,-240,-1,1,1,0
PreEntry_Directional_Delta_Share3_AtEntry,trade_inputs,execution_sign*sum delta/sum volume prior 3 closed bars,ratio,Persistencia de agresión previa.,-240,-1,1,1,0
PreEntry_Range_Compression3_AtEntry,trade_inputs,"ATR3/max(OR range,1)",ratio,Compresión o expansión previa normalizada.,-240,-1,1,1,0
PreEntry_Volume_Climax_Ratio_AtEntry,trade_inputs,last closed volume/mean earlier closed volumes,ratio,Clímax de participación antes del entry.,-300,-1,1,1,0
Nearest_OR_Edge_Retest_Count_AtEntry,trade_inputs,closed bars touching nearest OR edge before entry,count,Desgaste causal del nivel por retests.,-600,-1,1,1,0
Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,trade_inputs,fraction prior 3 closed bars accepted outside nearest OR edge,ratio,Aceptación frente a rechazo del borde.,-240,-1,1,1,0
Directional_CLV_AtEntry,trade_inputs,execution_sign*(2*entry-causal_high-causal_low)/(causal_high-causal_low),ratio,CLV construido sólo con precios observados hasta la señal.,-60,0,1,1,0
PreEntry_Acceptance_Dwell_Ratio_AtEntry,trade_inputs,time beyond broken OR edge/time since first break,ratio,Aceptación causal antes de la entrada.,-60,0,1,1,0
PreEntry_Reclaim_Count_AtEntry,trade_inputs,accepted-to-reclaimed crossings before signal,count,Número de reclaims antes de entrar.,-60,0,1,1,0
PreEntry_Rejection_Speed_TPS_AtEntry,trade_inputs,max adverse ticks inside level/time since break,ticks/s,Velocidad causal de rechazo.,-60,0,1,1,0
PreEntry_Rotation_Index_AtEntry,trade_inputs,direction changes/nonzero observed price changes,ratio,Rotación de la secuencia observada.,-60,0,1,1,0
PreEntry_Local_Entropy_AtEntry,trade_inputs,"binary entropy(up,down)",bits,Complejidad local de la secuencia.,-60,0,1,1,0
PreEntry_Path_Efficiency_AtEntry,trade_inputs,directional net move/absolute observed path,ratio,Eficiencia direccional de trayectoria.,-60,0,1,1,0
PreEntry_Price_Per_Delta_AtEntry,trade_inputs,directional ticks/abs(entry delta),ticks/contract,Resultado por unidad de agresión.,-60,0,1,1,0
PreEntry_Price_Per_Volume_AtEntry,trade_inputs,directional ticks/entry volume,ticks/contract,Resultado por unidad de volumen.,-60,0,1,1,0
Detector_Publish_Delay_Milliseconds,trade_inputs,detector publish timestamp-nominal second-close availability,milliseconds,Diagnóstico de scheduling y jitter del detector; no es predictor económico.,0,0,1,1,0
