feature_a,feature_b,spearman,pearson,abs_spearman,abs_pearson,redundant_ge_0_90
Delta3s,CumulativeDeltaWindow,1.0,1.0,1.0,1.0,1
Delta_Retention_1_3,delta_persistence_1_3,1.0,1.0,1.0,1.0,1
Flow_0_1_CounterflowShare,delta_share_of_volume,-1.0,-1.0,1.0,1.0,1
Flow_0_1_DirectionalNetDelta,signed_delta_1s,1.0,1.0,1.0,1.0,1
OR_WidthTicks,range,1.0,0.9999999999999996,1.0,0.9999999999999996,1
Velocity1s,TicksPerSecond,1.0,1.0,1.0,1.0,1
ContractsPerSecond,Flow_0_1_GrossAggressive,1.0,1.0,1.0,1.0,1
Seconds_Since_Prior_Burst,Liquidity_Burst_Seconds_Since_Prior_Burst,1.0,1.0,1.0,1.0,1
absorption_pressure_1s,burst_efficiency_score,-0.9999774572194353,-0.5471023681305273,0.9999774572194353,0.5471023681305273,1
Flow_3_5_DirectionalNetDelta,delta_persistence_3_5,0.992093188725281,0.9692392378178238,0.992093188725281,0.9692392378178238,1
absorption_pressure_1s,liquidity_absorption_score,0.9793982457511226,0.9987182896604743,0.9793982457511226,0.9987182896604743,1
burst_efficiency_score,liquidity_absorption_score,-0.9793752382343538,-0.5294031794084381,0.9793752382343538,0.5294031794084381,1
Delta1s,Delta2s,0.9752343340364997,0.9942234083924513,0.9752343340364997,0.9942234083924513,1
Flow_3_5_DirectionalNetDelta,Flow_3_5_CounterflowShare,-0.9729583586807775,-0.8729672170195845,0.9729583586807775,0.8729672170195845,1
Delta2s,Delta3s,0.9683297190709055,0.9931181871043282,0.9683297190709055,0.9931181871043282,1
Delta2s,CumulativeDeltaWindow,0.9683297190709055,0.9931181871043282,0.9683297190709055,0.9931181871043282,1
Flow_0_1_DirectionalVelocityTPS,signed_velocity_1s,0.9677765992895823,0.9814336574399993,0.9677765992895823,0.9814336574399993,1
Flow_3_5_DirectionalVelocityTPS,Velocity_Retention_3_5,0.967037929923323,0.8775077890854369,0.967037929923323,0.8775077890854369,1
Delta1s,DeltaChange1s,0.9662369925909974,0.9916338188804692,0.9662369925909974,0.9916338188804692,1
Flow_3_5_CounterflowShare,delta_persistence_3_5,-0.9659674710830557,-0.8287410941950131,0.9659674710830557,0.8287410941950131,1
Flow_0_1_TicksPerAggressiveContract,price_impact_per_100_contracts,0.9646143580448965,0.9704520653973475,0.9646143580448965,0.9704520653973475,1
POC_Migration_Ticks,Body_OR_Ratio_AtEntry,-0.9636241116594315,-0.9364683229196691,0.9636241116594315,0.9364683229196691,1
Profile_Std_Ticks,Profile_Effective_Nodes,0.9634199670896919,0.9754965913444568,0.9634199670896919,0.9754965913444568,1
Velocity3s,Velocity5s,0.9617270764859482,0.9610719061202593,0.9617270764859482,0.9610719061202593,1
DeltaChange1s,DeltaChangeZScore,0.9615949043721093,0.984762164393195,0.9615949043721093,0.984762164393195,1
signed_velocity_1s,liquidity_absorption_score,-0.9547614709760501,-0.4812268039564717,0.9547614709760501,0.4812268039564717,1
POC_Migration_Ticks,Prior_Level_Touches_60s,-0.9536459298086263,-0.9374844217529013,0.9536459298086263,0.9374844217529013,1
Flow_1_3_DirectionalNetDelta,delta_persistence_1_3,0.9534082202115136,0.9060161244024995,0.9534082202115136,0.9060161244024995,1
Flow_1_3_DirectionalNetDelta,Delta_Retention_1_3,0.9534082202115136,0.9060161244024996,0.9534082202115136,0.9060161244024996,1
PreBurst_Acceptance_Dwell_Ratio_5s,POC_Migration_Ticks,-0.9524241471993241,-0.9296324447273006,0.9524241471993241,0.9296324447273006,1
Velocity1s,Acceleration3s,0.9519180509073655,0.9551993198550436,0.9519180509073655,0.9551993198550436,1
Acceleration3s,TicksPerSecond,0.9519180509073655,0.9551993198550435,0.9519180509073655,0.9551993198550435,1
Delta1s,CumulativeDeltaWindow,0.9512975888139468,0.9891193288259474,0.9512975888139468,0.9891193288259474,1
Delta1s,Delta3s,0.9512975888139468,0.9891193288259474,0.9512975888139468,0.9891193288259474,1
price_impact_per_100_contracts,burst_efficiency_score,0.9495662681890822,0.9483708906372754,0.9495662681890822,0.9483708906372754,1
price_impact_per_100_contracts,absorption_pressure_1s,-0.9495448623250667,-0.5224534605213372,0.9495448623250667,0.5224534605213372,1
Delta3s,Delta5s,0.9464839217015398,0.9875363796517841,0.9464839217015398,0.9875363796517841,1
