fecha,BurstId,prediction_timestamp,burst_event_timestamp,burst_timestamp,split,family,family_reason,ExecutionSide,BurstSide,Entry_price,Initial_SL_ticks,Initial_TP_ticks,Result_Label,result TP SL BE,MAE_ticks,MFE_ticks,ExitTime_NY_Milliseconds,causal_row_flag,canonical_source_file,Signal_Source,Liquidity_Burst_ID_AtEntry
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:01.026000+00:00,2022-04-05 13:32:00+00:00,2022-04-05 13:32:01+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,15135.0,60,60,TP,+60,0,60,09:32:38.947,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-05_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220405_093200_BUY_0001
2022-04-06,LB_20220406_093100_BUY_0001,2022-04-06 13:31:01.004000+00:00,2022-04-06 13:31:00+00:00,2022-04-06 13:31:01+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,14643.75,60,60,TP,+30,0,30,09:31:02.444,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-06_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220406_093100_BUY_0001
2022-04-19,LB_20220419_093100_BUY_0001,2022-04-19 13:31:01.016000+00:00,2022-04-19 13:31:00+00:00,2022-04-19 13:31:01+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,13906.25,60,60,TP,+60,15,60,09:31:22.126,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-19_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220419_093100_BUY_0001
2022-04-26,LB_20220426_093143_SELL_0001,2022-04-26 13:31:44.003000200+00:00,2022-04-26 13:31:43+00:00,2022-04-26 13:31:44+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,13405.0,60,60,SL,-60,60,20,09:32:23.353,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-26_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220426_093143_SELL_0001
2022-04-27,LB_20220427_093500_BUY_0001,2022-04-27 13:35:01.007000+00:00,2022-04-27 13:35:00+00:00,2022-04-27 13:35:01+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,13120.0,60,60,TP,+60,0,60,09:35:01.934,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-27_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220427_093500_BUY_0001
2022-05-04,LB_20220504_093301_SELL_0001,2022-05-04 13:33:02.005000+00:00,2022-05-04 13:33:01+00:00,2022-05-04 13:33:02+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,13075.0,60,60,TP,+60,0,60,09:34:01.165,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-04_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220504_093301_SELL_0001
2022-05-09,LB_20220509_093112_BUY_0001,2022-05-09 13:31:13.010000+00:00,2022-05-09 13:31:12+00:00,2022-05-09 13:31:13+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,12492.5,60,60,TP,+60,20,60,09:31:30.520,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-09_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220509_093112_BUY_0001
2022-05-18,LB_20220518_093457_BUY_0001,2022-05-18 13:34:58.072000+00:00,2022-05-18 13:34:57+00:00,2022-05-18 13:34:58+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,12378.75,60,60,TP,+30,0,35,09:35:03.431,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-18_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220518_093457_BUY_0001
2022-05-20,LB_20220520_093501_SELL_0001,2022-05-20 13:35:02.005000+00:00,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,11990.0,60,60,SL,-60,60,0,09:35:15.317,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-20_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220520_093501_SELL_0001
2022-05-23,LB_20220523_093420_SELL_0001,2022-05-23 13:34:21.020000+00:00,2022-05-23 13:34:20+00:00,2022-05-23 13:34:21+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,11850.0,60,60,TP,+60,15,60,09:34:33.907,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-23_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220523_093420_SELL_0001
