feature,source,feature_timestamp_start_rule,feature_timestamp_end_rule,prediction_timestamp_min,prediction_timestamp_max,causal_flag,future_information,decision
Delta1s,burst_events,prediction_timestamp-1s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Delta2s,burst_events,prediction_timestamp-2s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Delta3s,burst_events,prediction_timestamp-3s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Delta5s,burst_events,prediction_timestamp-5s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Delta10s,burst_events,prediction_timestamp-10s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
PeakPositiveDelta,burst_events,prediction_timestamp-10s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
PeakNegativeDelta,burst_events,prediction_timestamp-10s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
DeltaChange1s,burst_events,prediction_timestamp-2s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
DeltaChangeZScore,burst_events,prediction_timestamp-300s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
DeltaPercentile,burst_events,prediction_timestamp-300s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
BuySellRatio,burst_events,prediction_timestamp-1s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
TradesPerSecond,burst_events,prediction_timestamp-1s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
ContractsPerSecond,burst_events,prediction_timestamp-1s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Velocity1s,burst_events,prediction_timestamp-1s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Velocity3s,burst_events,prediction_timestamp-3s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Velocity5s,burst_events,prediction_timestamp-5s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Acceleration1s,burst_events,prediction_timestamp-2s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Acceleration3s,burst_events,prediction_timestamp-4s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
TicksPerSecond,burst_events,prediction_timestamp-1s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
CumulativeDeltaWindow,burst_events,prediction_timestamp-3s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
OR_WidthTicks,burst_events,prediction_timestamp-60s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
Dist_OR_High_Ticks,burst_events,prediction_timestamp-60s,prediction_timestamp+0s,2022-04-05 13:32:01.026000+00:00,2026-07-08 13:31:56.092945800+00:00,1,0,ACCEPT_CAUSAL
