feature,permutation_q_bh,mann_whitney_q_bh,cliffs_delta_A_minus_B,abs_cliffs_delta,overlap_coefficient,catboost,catboost_incremental_shap,catboost_permutation,conditional_mutual_information_proxy,decision_tree,decision_tree_permutation,logistic,logistic_permutation,logistic_validation_ablation,mutual_information,random_forest,random_forest_permutation,discovery_direction_A_minus_B,discovery_threshold_mid_medians,monte_carlo_bootstrap_direction_stability,gaussian_noise_5pct_direction_stability,validation_n_A,validation_n_B,validation_direction_A_minus_B,validation_B_detectable_pct,validation_A_lost_pct,holdout_n_A,holdout_n_B,holdout_direction_A_minus_B,holdout_B_detectable_pct,holdout_A_lost_pct,direction_stable_discovery_validation_holdout,evidence_score,robust_candidate
Profile_Local_Maxima_Count,0.2128935532233883,0.5162423904620003,0.4087468460891506,0.4087468460891506,0.6963835155592935,9.408508481955963,0.2862491824235237,0.010955882352941222,0.15279300004268365,0.3007433446090561,0.03110294117647059,0.9556438923606343,0.049705882352941246,0.05514705882352944,0.06173843914752419,0.09622724476235324,0.04492647058823525,1.0,7.5,0.962,1.0,8.0,17.0,1.0,35.294117647058826,37.5,9.0,20.0,0.0,15.0,11.11111111111111,0.0,0.09768170499070854,0
Previous_Delta_AtEntry,0.6658141517476556,0.8419113734315674,-0.2910008410428932,0.2910008410428932,0.5180824222035324,14.591315118393236,0.5186568628729945,-0.06374999999999996,0.019591955544709928,0.41989540169364076,-0.11198529411764707,0.3080826715398385,-0.023749999999999948,0.0,0.07620806849110262,0.1304760705484678,0.00867647058823524,-1.0,75.5,0.99,1.0,8.0,17.0,1.0,17.647058823529413,50.0,9.0,20.0,1.0,20.0,44.44444444444444,0.0,0.046865695496362644,0
Pre_Approach_Pause_Seconds,0.6658141517476556,0.8419113734315674,-0.32127838519764507,0.32127838519764507,0.7434819175777965,9.300495220454508,0.31600492431494853,0.048897058823529474,0.07877442025258374,0.05653061437726242,0.01235294117647059,0.5179918313053995,0.06772058823529419,0.0,0.059137050107059164,0.05624489853231631,0.1042647058823529,0.0,1.0,,,8.0,17.0,0.0,,,9.0,20.0,1.0,,,0.0,0.02754149735335377,0
Prior_Closed_ATR3_Ticks_AtEntry,0.6658141517476556,0.8419113734315674,0.28595458368376786,0.28595458368376786,0.7325483599663584,6.056733885550335,0.2302976263245963,0.012279411764705943,0.08162405300591376,0.0,0.0,0.2074870243490099,0.03477941176470595,0.02941176470588247,0.0,0.06100175265063995,0.06367647058823522,1.0,65.83500000000001,0.97,1.0,8.0,17.0,-1.0,29.411764705882355,25.0,9.0,20.0,1.0,15.0,22.22222222222222,0.0,0.02555820696802514,0
Prior_Closed_ATR5_Ticks_AtEntry,0.6658141517476556,0.8419113734315674,0.24390243902439024,0.24390243902439024,0.6879730866274181,8.372216094286243,0.1279612086658096,-0.0035294117647058265,0.07868961519752035,0.0,0.0,0.4512253867757457,-0.007720588235294051,0.0,0.09934360942076137,0.06319119991067508,0.03889705882352935,,,,,,,,,,,,,,,,0.02543292163975051,0
Flow_3_5_DirectionalNetDelta,0.6658141517476556,0.8419113734315674,0.2111017661900757,0.2111017661900757,0.661900756938604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023851962629371743,0
Flow_3_5_GrossAggressive,0.6658141517476556,0.8419113734315674,0.2304457527333894,0.2304457527333894,0.6980656013456686,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023252484152948224,0
BuySellRatio,0.6658141517476556,0.8419113734315674,-0.26156433978132887,0.26156433978132887,0.7417998317914213,8.311388330179426,0.21164731375151344,0.006691176470588261,0.10533106331292187,0.09772893600120248,0.0,0.1532283244174738,-0.015955882352941108,-0.03308823529411753,0.15550786183501386,0.1013946763810079,0.03691176470588229,-1.0,1.2973230706355154,0.777,1.0,8.0,17.0,1.0,41.17647058823529,50.0,9.0,20.0,1.0,30.0,55.55555555555556,0.0,0.022569560920145563,0
Directional_VWAP_Distance_Ticks_AtEntry,0.6658141517476556,0.8419113734315674,0.287636669470143,0.287636669470143,0.7737594617325484,8.419127376465788,0.27914869569256634,0.03088235294117654,0.11012072542418658,0.12510170331883833,0.030808823529411767,0.4905179778333868,0.056397058823529495,0.11764705882352944,0.07990437218740642,0.10110443486976459,0.08249999999999995,1.0,-104.49499999999999,0.949,1.0,8.0,17.0,1.0,58.82352941176471,37.5,9.0,20.0,-1.0,35.0,66.66666666666666,0.0,0.021747169114357912,0
Signal_To_Entry_Latency_Milliseconds,0.6658141517476556,0.8419113734315674,-0.19091673675357443,0.19091673675357443,0.6862910008410429,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02001515854781407,0
