fecha,EntryTime_NY,Side,score total,Cvd_Pullback_Label,Cvd_Worst_Label,Dynamic_Alarm_Triggered,Result_Label,result TP SL BE,MFE_ticks,MAE_ticks,TP_ticks,SL_ticks,sim_TP100_SL40,result_bucket,source_file
2022-04-04,09:35:10,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+61,65,10,61,61,61.0,positive before +100,score_trade_result_2022-04-04_NY.csv
2022-04-07,09:33:42,BUY,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2022-04-07_NY.csv
2022-04-08,09:33:45,SELL,8,Excelente,Normal,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-04-08_NY.csv
2022-04-11,09:32:08,SELL,9,Excelente,Riesgo de reversion,TRUE,TP,+30,30,5,30,60,30.0,positive before +100,score_trade_result_2022-04-11_NY.csv
2022-04-22,09:33:06,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2022-04-22_NY.csv
2022-04-25,09:32:33,BUY,8,Excelente,Riesgo de reversion,TRUE,SL,-20,0,20,20,20,-20.0,negative before -40,score_trade_result_2022-04-25_NY.csv
2022-04-26,09:32:14,SELL,8,Excelente,Advertencia,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-04-26_NY.csv
2022-04-27,09:32:12,BUY,8,Excelente,Riesgo de reversion,FALSE,TP,+31,35,0,31,31,31.0,positive before +100,score_trade_result_2022-04-27_NY.csv
2022-05-06,09:33:14,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2022-05-06_NY.csv
2022-05-09,09:31:11,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2022-05-09_NY.csv
2022-05-10,09:35:03,SELL,7,Excelente,Advertencia,TRUE,TP,+60,60,30,60,60,60.0,positive before +100,score_trade_result_2022-05-10_NY.csv
2022-05-11,09:31:17,BUY,6,Excelente,Riesgo de reversion,FALSE,TP,+30,30,0,30,60,30.0,positive before +100,score_trade_result_2022-05-11_NY.csv
2022-05-12,09:31:13,BUY,8,Excelente,Excelente,FALSE,TP,+26,30,0,26,26,26.0,positive before +100,score_trade_result_2022-05-12_NY.csv
2022-05-19,09:33:21,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-05-19_NY.csv
2022-05-20,09:35:03,SELL,9,Excelente,Riesgo de reversion,FALSE,TP,+30,30,0,30,60,30.0,positive before +100,score_trade_result_2022-05-20_NY.csv
2022-05-23,09:37:14,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2022-05-23_NY.csv
2022-05-27,09:31:05,BUY,8,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2022-05-27_NY.csv
2022-05-31,09:33:13,SELL,7,Excelente,Excelente,FALSE,TP,+60,60,15,60,60,60.0,positive before +100,score_trade_result_2022-05-31_NY.csv
2022-06-01,09:31:41,BUY,8,Excelente,Excelente,FALSE,TP,+26,30,0,26,26,26.0,positive before +100,score_trade_result_2022-06-01_NY.csv
2022-06-02,09:31:07,SELL,8,Excelente,Normal,FALSE,TP,+46,50,0,46,46,46.0,positive before +100,score_trade_result_2022-06-02_NY.csv
2022-06-06,09:36:15,SELL,5,Excelente,Advertencia,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2022-06-06_NY.csv
2022-06-08,09:31:04,SELL,8,Excelente,Excelente,FALSE,TP,+60,60,20,60,60,60.0,positive before +100,score_trade_result_2022-06-08_NY.csv
2022-06-10,09:33:13,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+56,60,25,56,56,56.0,positive before +100,score_trade_result_2022-06-10_NY.csv
2022-06-17,09:31:10,BUY,6,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-06-17_NY.csv
2022-06-22,09:31:12,BUY,8,Excelente,Excelente,FALSE,TP,+51,55,0,51,51,51.0,positive before +100,score_trade_result_2022-06-22_NY.csv
2022-06-23,09:32:12,SELL,6,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-06-23_NY.csv
2022-06-24,09:32:07,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2022-06-24_NY.csv
2022-06-29,09:32:13,SELL,9,Excelente,Riesgo de reversion,FALSE,TP,+30,30,0,30,60,30.0,positive before +100,score_trade_result_2022-06-29_NY.csv
2022-06-30,09:32:11,SELL,8,Excelente,Excelente,FALSE,TP,+21,25,0,21,21,21.0,positive before +100,score_trade_result_2022-06-30_NY.csv
2022-07-11,09:35:04,SELL,8,Excelente,Normal,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-07-11_NY.csv
2022-07-19,09:36:02,BUY,8,Excelente,Excelente,FALSE,TP,+60,60,20,60,60,60.0,positive before +100,score_trade_result_2022-07-19_NY.csv
2022-07-20,09:35:04,SELL,11,Excelente,Riesgo de reversion,TRUE,TP,+30,30,5,30,60,30.0,positive before +100,score_trade_result_2022-07-20_NY.csv
2022-07-25,09:35:11,SELL,8,Excelente,Advertencia,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-07-25_NY.csv
2022-07-26,09:31:11,SELL,8,Excelente,Excelente,FALSE,TP,+56,60,0,56,56,56.0,positive before +100,score_trade_result_2022-07-26_NY.csv
2022-07-27,09:37:04,BUY,8,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2022-07-27_NY.csv
2022-07-28,09:31:15,BUY,8,Excelente,Normal,TRUE,TP,+21,25,10,21,21,21.0,positive before +100,score_trade_result_2022-07-28_NY.csv
2022-08-01,09:31:17,SELL,8,Excelente,Excelente,FALSE,TP,+46,50,0,46,46,46.0,positive before +100,score_trade_result_2022-08-01_NY.csv
2022-08-09,09:31:06,SELL,8,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2022-08-09_NY.csv
2022-08-10,09:32:07,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+26,30,5,26,26,26.0,positive before +100,score_trade_result_2022-08-10_NY.csv
2022-08-22,09:34:24,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-08-22_NY.csv
2022-08-26,09:32:14,SELL,8,Excelente,Excelente,FALSE,TP,+31,35,0,31,31,31.0,positive before +100,score_trade_result_2022-08-26_NY.csv
2022-09-02,09:33:14,SELL,5,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-09-02_NY.csv
2022-09-07,09:31:07,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-09-07_NY.csv
2022-09-09,09:32:13,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-09-09_NY.csv
2022-09-15,09:34:09,BUY,6,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-09-15_NY.csv
2022-09-16,09:31:06,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+26,30,10,26,26,26.0,positive before +100,score_trade_result_2022-09-16_NY.csv
2022-09-19,09:32:09,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-09-19_NY.csv
2022-09-23,09:37:23,SELL,8,Excelente,Normal,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-09-23_NY.csv
2022-09-27,09:31:28,BUY,7,Excelente,Excelente,FALSE,TP,+31,35,10,31,31,31.0,positive before +100,score_trade_result_2022-09-27_NY.csv
2022-09-28,09:34:07,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+30,30,10,30,60,30.0,positive before +100,score_trade_result_2022-09-28_NY.csv
2022-09-29,09:35:09,SELL,7,Excelente,Riesgo de reversion,TRUE,TP,+21,25,20,21,21,21.0,positive before +100,score_trade_result_2022-09-29_NY.csv
2022-10-03,09:32:09,SELL,6,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2022-10-03_NY.csv
2022-10-04,09:33:06,BUY,8,Excelente,Excelente,FALSE,TP,+60,75,0,60,60,60.0,positive before +100,score_trade_result_2022-10-04_NY.csv
2022-10-05,09:32:11,BUY,6,Excelente,Advertencia,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-10-05_NY.csv
2022-10-10,09:33:14,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2022-10-10_NY.csv
2022-10-17,09:35:08,BUY,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-10-17_NY.csv
2022-10-19,09:34:11,BUY,6,Excelente,Normal,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2022-10-19_NY.csv
2022-10-21,09:31:05,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+30,30,10,30,60,30.0,positive before +100,score_trade_result_2022-10-21_NY.csv
2022-10-24,09:32:09,SELL,8,Excelente,Excelente,FALSE,TP,+41,45,10,41,41,41.0,positive before +100,score_trade_result_2022-10-24_NY.csv
2022-10-25,09:31:32,SELL,10,Excelente,Advertencia,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2022-10-25_NY.csv
2022-10-28,09:32:15,BUY,8,Excelente,Advertencia,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2022-10-28_NY.csv
2022-11-02,09:31:09,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2022-11-02_NY.csv
2022-11-03,09:33:50,SELL,8,Excelente,Excelente,FALSE,TP,+60,60,20,60,60,60.0,positive before +100,score_trade_result_2022-11-03_NY.csv
2022-11-04,09:31:18,SELL,6,Excelente,Excelente,FALSE,TP,+76,80,10,76,76,76.0,positive before +100,score_trade_result_2022-11-04_NY.csv
2023-03-24,09:32:15,SELL,8,Excelente,Advertencia,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-03-24_NY.csv
2023-03-28,09:32:04,SELL,8,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2023-03-28_NY.csv
2023-03-29,09:32:09,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-03-29_NY.csv
2023-03-30,09:32:23,SELL,9,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2023-03-30_NY.csv
2023-04-06,09:31:07,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-04-06_NY.csv
2023-04-12,09:32:12,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-04-12_NY.csv
2023-04-13,09:31:05,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-04-13_NY.csv
2023-04-14,09:36:26,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2023-04-14_NY.csv
2023-05-05,09:32:06,BUY,8,Excelente,Advertencia,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-05-05_NY.csv
2023-05-09,09:31:04,BUY,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-05-09_NY.csv
2023-05-10,09:31:07,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-05-10_NY.csv
2023-05-11,09:32:04,SELL,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-05-11_NY.csv
2023-05-25,09:31:03,SELL,6,Excelente,Normal,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-05-25_NY.csv
2023-06-02,09:32:08,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2023-06-02_NY.csv
2023-06-07,09:32:06,BUY,8,Excelente,Normal,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2023-06-07_NY.csv
2023-06-14,09:36:11,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+26,30,15,26,26,26.0,positive before +100,score_trade_result_2023-06-14_NY.csv
2023-06-16,09:34:40,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-06-16_NY.csv
2023-06-20,09:31:05,BUY,7,Excelente,Riesgo de reversion,TRUE,TP,+21,25,10,21,21,21.0,positive before +100,score_trade_result_2023-06-20_NY.csv
2023-06-21,09:32:07,BUY,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-06-21_NY.csv
2023-06-22,09:35:11,BUY,8,Excelente,Advertencia,TRUE,SL,-21,20,25,21,21,-21.0,negative before -40,score_trade_result_2023-06-22_NY.csv
2023-06-23,09:32:07,BUY,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-06-23_NY.csv
2023-06-26,09:36:11,SELL,10,Excelente,Riesgo de reversion,TRUE,TP,+60,60,5,60,60,60.0,positive before +100,score_trade_result_2023-06-26_NY.csv
2023-06-27,09:35:19,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+60,60,20,60,60,60.0,positive before +100,score_trade_result_2023-06-27_NY.csv
2023-07-11,09:31:06,BUY,8,Excelente,Advertencia,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2023-07-11_NY.csv
2023-07-13,09:35:11,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2023-07-13_NY.csv
2023-07-17,09:36:11,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+60,60,5,60,60,60.0,positive before +100,score_trade_result_2023-07-17_NY.csv
2023-07-19,09:31:05,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-07-19_NY.csv
2023-07-27,09:33:02,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-07-27_NY.csv
