iteration,filter,tp,sl,trades,wr,pf,expectancy,test_exp,robust_score
0,range<=140,60,30,383,51.43603133159269,1.400179654165731,4.652741514360313,4.123287671232877,45.244690799961454
1,Side=BUY,100,30,280,53.57142857142857,1.5602331606217616,6.178571428571429,5.827956989247312,43.630892436608455
2,Price_Rejected_After_Imbalance=FALSE,80,30,518,50.965250965250966,1.3681833389093343,4.249034749034749,1.8994082840236686,45.08047807470074
3,side=SELL AND score>=8,100,30,223,55.60538116591929,1.772890484739677,7.721973094170403,11.571428571428571,85.73501458252156
4,range<=115,80,30,291,52.57731958762887,1.4858475894245724,5.367697594501718,6.630434782608695,28.415891989385052
5,score>=7,100,30,457,51.203501094091905,1.3917824074074074,4.444201312910285,7.283687943262412,51.119705859921154
6,Delta_With_Side=TRUE,80,20,348,51.14942528735632,1.5571005917159764,5.410919540229885,8.225,57.14460382285255
7,Cvd_Pullback_Label=Riesgo de reversion,60,70,179,58.10055865921788,1.7631968426245683,8.64245810055866,7.964912280701754,55.774885631603894
8,range<=115,100,30,291,51.890034364261176,1.4321136982159057,4.9106529209622,8.195652173913043,32.9660083256909
9,Cvd_Pullback_Label=Excelente,100,40,342,54.09356725146199,1.4758239114746212,5.783625730994152,7.847619047619047,52.452546818227155
10,range<=165,100,30,454,51.3215859030837,1.384586035864174,4.440528634361233,7.041237113402062,46.22747058180485
11,range>=115,100,30,293,52.218430034129696,1.4486714975845412,5.071672354948806,1.4962962962962962,45.972346877124046
12,regime=OR_mid AND score>=8,60,30,148,58.108108108108105,1.7857142857142858,7.878378378378378,7.357142857142857,62.120473057565405
13,regime=OR_mid AND score>=8,100,30,148,54.054054054054056,1.6934964584674823,7.277027027027027,8.023809523809524,47.223379075318185
14,range>=80,100,30,469,51.385927505330486,1.402117384843982,4.616204690831556,4.114942528735632,39.786647220635814
15,side=SELL AND score>=8,80,40,223,56.95067264573991,1.6514126541981695,7.3408071748878925,4.111111111111111,59.90054082977022
16,score>=8,100,40,435,51.95402298850574,1.327556978715389,3.9977011494252874,2.6296296296296298,40.331584951813625
17,VWAP_OK=FALSE,80,30,119,60.50420168067227,2.149436090225564,10.277310924369749,10.756756756756756,89.87652319573598
18,regime=OR_mid AND score>=6,100,50,181,61.87845303867403,1.842455242966752,9.099447513812155,7.081632653061225,71.57969343191493
19,regime=OR_large AND score>=6,80,30,189,57.67195767195767,1.9235668789808917,9.206349206349206,10.907407407407407,70.3558687215838
20,range>=115,60,30,293,51.877133105802045,1.4187518842327405,4.7406143344709895,0.5851851851851851,39.72852553814962
21,Cvd_Pullback_Label=Excelente,100,30,342,51.75438596491229,1.4542893725992319,5.187134502923977,6.142857142857143,49.17563179823817
22,Cvd_Pullback_Label=Riesgo de reversion,100,30,179,55.865921787709496,1.796875,8.262569832402235,3.4210526315789473,56.452909177842706
23,regime=OR_mid AND score>=8,80,20,148,50.67567567567568,1.6602739726027398,6.513513513513513,4.380952380952381,54.10293187857389
24,side=BUY AND score>=8,100,30,212,57.07547169811321,1.77007299270073,7.962264150943396,9.708333333333334,73.0378653782426
25,range<=115,100,30,291,54.63917525773196,1.6323815704088254,6.697594501718213,10.847826086956522,69.95743613785143
26,Delta_With_Side=FALSE,100,30,216,52.31481481481482,1.5148760330578512,5.768518518518518,7.157894736842105,46.70770782903042
27,Delta_With_Side=FALSE,100,30,216,54.629629629629626,1.632617273125822,6.680555555555555,3.0701754385964914,49.66602169111713
28,VWAP_OK=TRUE,100,30,445,52.58426966292134,1.4930764599638773,5.521348314606741,5.214285714285714,60.18134970788033
29,side=SELL AND score>=6,100,30,279,53.40501792114696,1.4737870400521003,5.21505376344086,4.073170731707317,39.460978564451125
30,range<=140,100,30,383,51.174934725848566,1.367379077615298,4.263707571801566,5.054794520547945,39.049856072879216
31,regime=OR_large AND score>=8,80,50,144,59.02777777777778,1.8125,9.29861111111111,5.825,71.57769428357744
32,range<=115,100,30,291,51.890034364261176,1.4776209071793331,5.463917525773196,3.0434782608695654,46.687983960579565
33,Delta_With_Side=FALSE,100,30,216,55.092592592592595,1.7068221070811744,7.578703703703703,9.052631578947368,64.65322681966491
34,VWAP_OK=FALSE,100,50,119,58.82352941176471,1.7082706766917293,7.915966386554622,3.4054054054054053,38.26565931523608
35,Speed_Profile=SCALP_NORMAL,100,30,496,50.806451612903224,1.3732758620689656,4.36491935483871,3.3958333333333335,34.748616640834136
36,Side=BUY,80,30,280,52.85714285714286,1.5136507936507937,5.7785714285714285,6.236559139784946,45.902345712519335
37,score>=7,100,30,457,50.76586433260394,1.3621884954094061,4.229759299781182,3.673758865248227,42.30514617538176
38,range>=165,80,20,116,58.620689655172406,2.021875,8.456896551724139,5.385542168674699,60.24230297945314
39,side=SELL AND score>=7,100,40,232,51.724137931034484,1.5175345377258236,6.297413793103448,2.390625,37.51724722047593
40,side=SELL AND score>=7,80,30,232,53.01724137931034,1.5606299212598425,6.137931034482759,4.328125,35.97699580578006
41,Delta_With_Side=TRUE,100,30,348,53.44827586206896,1.501852832186342,5.448275862068965,10.258333333333333,45.77901917175281
42,Side=BUY,60,30,280,52.85714285714286,1.4654348518636509,5.2178571428571425,9.989247311827956,39.248820845313354
43,Delta_With_Side=TRUE,80,30,348,52.29885057471264,1.5053708439897697,5.67816091954023,8.216666666666667,59.063247973689386
44,side=BUY AND score>=8,80,30,212,54.24528301886793,1.571687840290381,5.943396226415095,4.638888888888889,45.66434298026328
45,Speed_Profile=SCALP_NORMAL,100,30,496,51.20967741935484,1.3848158443363447,4.465725806451613,2.9583333333333335,40.23107801630936
46,range>=165,80,30,116,56.896551724137936,1.828719723183391,8.258620689655173,8.74698795180723,51.28458140807436
47,Side=SELL,80,30,284,52.816901408450704,1.5054841742400502,5.679577464788732,8.416666666666666,45.87465617625087
48,regime=OR_large AND score>=8,100,30,144,59.02777777777778,2.160673297628156,10.534722222222221,11.425,73.62614555533581
49,Delta_OK=TRUE,100,30,550,50.36363636363637,1.3479208845974147,4.0618181818181816,5.045714285714285,39.136387340000134
50,VWAP_OK=FALSE,80,60,119,63.86554621848739,2.0811965811965814,10.630252100840336,8.162162162162161,79.7920763832311
51,range>=95,100,30,404,52.22772277227723,1.4430268367795864,4.985148514851486,3.1790123456790123,44.69382086942447
52,side=BUY AND score>=8,80,70,212,59.43396226415094,1.775905644481887,8.68867924528302,2.375,64.70831318189057
53,range>=165,80,20,116,52.58620689655172,1.8036363636363637,7.620689655172414,6.698795180722891,40.43833913336305
54,Delta_With_Side=TRUE,80,40,348,53.44827586206896,1.4217391304347826,5.017241379310345,5.833333333333333,33.10360775012255
55,Delta_With_Side=TRUE,100,20,348,49.712643678160916,1.521264367816092,5.212643678160919,5.733333333333333,38.68434267036004
56,range<=115,80,40,291,53.608247422680414,1.425900083728719,5.243986254295533,7.913043478260869,35.75474601803998
57,side=BUY AND score>=7,100,30,225,53.333333333333336,1.5950920245398772,6.466666666666667,10.766233766233766,49.181528133953286
58,side=SELL AND score>=8,100,30,223,56.502242152466366,1.6476774758983348,6.62780269058296,13.365079365079366,49.92259687706893
59,range>=115,60,40,293,56.655290102389074,1.567882316886301,6.324232081911263,5.674074074074074,55.438008694676704
60,side=BUY AND score>=8,100,50,212,57.54716981132076,1.682546201232033,7.839622641509434,10.208333333333334,65.3600216506332
61,regime=OR_large AND score>=7,80,30,153,57.51633986928104,1.7462589459986988,7.496732026143791,8.505882352941176,42.76179103861853
62,regime=OR_mid AND score>=8,100,40,148,58.78378378378378,1.8674171357098186,9.371621621621621,12.880952380952381,62.86089788919606
63,range<=165,100,30,454,52.20264317180616,1.4748921145547274,5.332599118942731,5.391752577319588,66.24518027974246
64,Body_OK=TRUE,100,30,549,50.27322404371585,1.3420683200748713,3.9945355191256833,1.3045977011494252,24.394092566178422
65,Cvd_Pullback_Label=Riesgo de reversion,60,30,179,55.865921787709496,1.7455429497568882,7.709497206703911,4.245614035087719,53.68264884080039
66,range<=115,80,40,291,53.608247422680414,1.4352975158867707,5.178694158075602,3.217391304347826,33.69146696340132
67,Delta_With_Side=TRUE,100,30,348,52.58620689655172,1.5063030614870079,5.655172413793103,1.9583333333333333,37.7710622835654
68,VWAP_OK=FALSE,100,20,119,57.14285714285714,2.014705882352941,8.697478991596638,5.27027027027027,52.37088336354318
69,APlus_Structure=FALSE,100,30,514,50.583657587548636,1.3572734829592685,4.180933852140078,3.5562130177514795,47.21958156196796
70,range<=140,100,30,383,51.43603133159269,1.4381210478771453,5.065274151436031,6.575342465753424,47.17448589895737
71,range<=115,60,70,291,57.388316151202744,1.5840112201963534,7.154639175257732,17.369565217391305,62.16241584608295
72,VWAP_OK=TRUE,100,30,445,51.23595505617977,1.3831067961165049,4.4337078651685395,2.914285714285714,48.075088654337456
73,Side=BUY,100,50,280,55.35714285714286,1.433165548098434,5.5321428571428575,7.526881720430108,39.213587772951826
74,Side=SELL,80,30,284,51.40845070422535,1.460763358778626,5.313380281690141,5.892857142857143,33.4810174921819
75,Cvd_Pullback_Label=Riesgo de reversion,80,80,179,58.10055865921788,1.6325863678804855,7.569832402234637,12.140350877192983,42.03224927081757
76,range>=115,100,30,293,53.242320819112635,1.4685960591133005,5.194539249146757,10.051851851851852,29.61575933272887
77,regime=OR_mid AND score>=8,100,60,148,55.4054054054054,1.6783333333333332,8.25,0.3333333333333333,47.3469130521107
78,Side=SELL,80,30,284,52.46478873239436,1.5774244833068363,6.394366197183099,4.214285714285714,54.21314061651155
79,side=BUY AND score>=6,100,30,276,52.89855072463768,1.5865666775350504,6.518115942028985,6.293478260869565,58.84430290016132
80,or_regime=OR_large,100,30,193,57.51295336787565,1.7832991803278688,7.922279792746114,6.862385321100917,68.9675014604176
81,VWAP_OK=FALSE,80,20,119,53.78151260504202,1.8537037037037036,7.7478991596638656,3.7027027027027026,52.65211286538726
82,regime=OR_mid AND score>=6,100,40,181,50.27624309392266,1.5840071877807727,7.18232044198895,8.040816326530612,39.65581637104812
83,side=SELL AND score>=8,100,60,223,56.502242152466366,1.5133260313983206,6.304932735426009,7.015873015873016,43.403755904469925
84,or_regime=OR_mid,100,40,183,57.377049180327866,1.7691527143581938,8.28415300546448,6.48,57.62039264790774
85,range<=140,100,60,383,56.39686684073107,1.45531475748194,5.759791122715405,0.6575342465753424,50.40443124993144
86,side=BUY AND score>=7,60,70,225,59.111111111111114,1.6285386381025249,7.302222222222222,9.207792207792208,52.31302355057665
87,APlus_Speed=FALSE,100,30,494,51.417004048582996,1.4242154065620543,4.815789473684211,5.965277777777778,48.77158084013757
88,Cvd_Pullback_Label=Riesgo de reversion,100,60,179,57.54189944134078,1.576532862814292,7.301675977653631,8.894736842105264,43.77261220096096
89,VWAP_OK=FALSE,80,40,119,57.98319327731093,1.7336276674025017,8.378151260504202,1.8918918918918919,34.40273233493129
90,range>=115,100,30,293,55.2901023890785,1.7156798959011061,7.508532423208191,7.125925925925926,77.94978007824615
91,Delta_With_Side=FALSE,100,30,216,54.166666666666664,1.5576923076923077,6.175925925925926,10.578947368421053,44.32828981241706
92,range<=115,100,30,291,54.29553264604811,1.6008322663252241,6.450171821305842,13.173913043478262,65.32188229340191
93,VWAP_OK=FALSE,actual,actual,119,62.18487394957983,1.8185240963855422,9.134453781512605,3.4324324324324325,38.9684233698525
94,range<=115,100,20,291,50.171821305841924,1.4618055555555556,4.570446735395189,4.978260869565218,25.92089359266761
95,Cvd_Pullback_Label=Riesgo de reversion,100,30,179,54.7486033519553,1.6818914562063407,7.089385474860335,5.543859649122807,50.19038397688144
96,Delta_With_Side=TRUE,100,30,348,54.59770114942529,1.5236541598694944,5.5344827586206895,6.325,54.840725821217376
97,APlus_Absorption=FALSE,100,30,520,51.53846153846153,1.3963149078726969,4.55,5.735294117647059,45.30559275708233
98,Cvd_Pullback_Label=Riesgo de reversion,100,20,179,53.072625698324025,1.7821428571428573,7.340782122905028,8.31578947368421,45.319916191592405
99,side=SELL AND score>=6,80,30,279,53.76344086021505,1.5168316831683168,5.612903225806452,2.9390243902439024,47.950359017615064
100,range<=140,100,30,383,53.00261096605744,1.532730302308974,5.8433420365535245,8.657534246575343,50.63004418213803
101,VWAP_OK=FALSE,80,30,119,57.98319327731093,1.802547770700637,8.470588235294118,7.081081081081081,46.18027842132769
102,Cvd_Pullback_Label=Excelente,100,40,342,55.26315789473685,1.5121028744326777,5.93859649122807,3.1619047619047618,50.35301822221041
103,range>=115,60,70,293,54.60750853242321,1.414444732073518,5.464163822525597,6.051851851851852,39.5022902372478
104,regime=OR_large AND score>=8,100,40,144,58.333333333333336,1.8566688785666887,8.965277777777779,11.7375,46.77445764890637
105,Delta_With_Side=TRUE,100,30,348,52.87356321839081,1.5138381201044386,5.655172413793103,7.966666666666667,51.59891059821296
106,range<=115,80,30,291,51.20274914089347,1.513355848940743,5.745704467353952,5.543478260869565,46.04406662360798
107,side=SELL AND score>=7,80,40,232,54.741379310344826,1.4235905044510386,4.922413793103448,8.0625,34.60580469642964
108,range<=115,60,30,291,52.23367697594502,1.4419464120726824,4.9312714776632305,12.391304347826088,37.30098613980305
109,range<=140,100,40,383,53.00261096605744,1.4163815226689478,5.0835509138381205,8.082191780821917,47.63296853829815
110,regime=OR_mid AND score>=8,100,20,148,52.702702702702695,1.732608695652174,6.831081081081081,8.619047619047619,48.56914794335391
111,Cvd_Pullback_Label=Riesgo de reversion,60,70,179,58.659217877094974,1.602661596958175,7.083798882681564,9.31578947368421,47.91166213322486
112,side=SELL AND score>=6,80,30,279,52.68817204301075,1.549638395792242,5.992831541218638,6.682926829268292,53.985319373693336
113,side=SELL AND score>=8,80,30,223,52.91479820627802,1.525071341214839,5.7757847533632285,3.8095238095238093,31.70192409475889
114,side=SELL AND score>=6,100,20,279,50.89605734767025,1.5427007299270072,5.329749103942652,2.0121951219512195,42.3468510599319
115,range<=115,80,30,291,54.98281786941581,1.5725215173732865,6.171821305841925,9.41304347826087,40.1526204485079
116,Cvd_Pullback_Label=Excelente,100,30,342,52.046783625730995,1.4091603053435116,4.701754385964913,5.038095238095238,38.6643440642198
117,regime=OR_large AND score>=8,actual,actual,144,59.02777777777778,1.7286773794808405,8.1875,3.5,37.490760772441824
118,side=SELL AND score>=8,100,30,223,54.26008968609865,1.5767946577629381,6.197309417040358,2.4126984126984126,40.119982823272096
119,Cvd_Pullback_Label=Excelente,80,30,342,51.16959064327485,1.46772929187353,5.233918128654971,6.104761904761904,33.695478372942084
120,Cvd_Pullback_Label=Riesgo de reversion,actual,actual,179,59.77653631284916,1.7407228915662651,8.58659217877095,13.473684210526315,63.80603988501958
121,regime=OR_large AND score>=6,100,60,189,57.14285714285714,1.5696864111498259,6.920634920634921,9.666666666666666,39.7302407099912
122,regime=OR_mid AND score>=6,60,70,181,55.80110497237569,1.6251795117280996,7.2154696132596685,8.877551020408163,46.977998849384505
123,range>=165,50,100,116,61.206896551724135,1.909886264216973,8.96551724137931,8.650602409638553,40.251311150261266
124,side=BUY AND score>=8,80,40,212,56.60377358490566,1.5696944328170783,6.419811320754717,0.08333333333333333,45.4128127016844
125,range>=165,100,40,116,62.06896551724138,2.0730671197960917,10.887931034482758,11.409638554216867,102.83878454924731
126,range>=165,100,40,116,61.206896551724135,2.12736660929432,11.293103448275861,8.566265060240964,98.60271048517397
127,Cvd_Pullback_Label=Riesgo de reversion,100,30,179,54.18994413407822,1.6728971962616823,7.240223463687151,10.263157894736842,46.02482124155314
128,Speed_Profile=SCALP_NORMAL,100,30,496,51.20967741935484,1.3738872403560831,4.318548387096774,6.388888888888889,33.067446804192976
129,Cvd_Pullback_Label=Excelente,100,30,342,53.216374269005854,1.5421846072467602,5.994152046783626,7.742857142857143,51.7006042479436
130,Speed_Profile=SCALP_NORMAL,80,30,496,50.806451612903224,1.3889758302903843,4.51008064516129,5.368055555555555,38.411449532578594
131,regime=OR_mid AND score>=8,80,40,148,60.13513513513513,1.872865275142315,9.324324324324325,5.785714285714286,77.43967610835179
132,VWAP_OK=FALSE,80,30,119,58.82352941176471,1.7366255144032923,7.5210084033613445,1.1081081081081081,41.78352132519471
133,score>=8,100,30,435,51.03448275862069,1.3682951146560318,4.2459770114942526,2.2,42.38153314624838
134,side=SELL AND score>=6,80,30,279,57.34767025089605,1.6894606979203384,7.010752688172043,7.146341463414634,73.25073717469974
