Scope,Feature,Value,n,wins,losses,wr,pf,avg_r,net_r
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,10.0,282,65,217,0.23049645390070922,0.5836623410138249,-0.320373304964539,-90.345272
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,11.0,270,58,212,0.21481481481481482,0.5415778652252704,-0.35889648888888886,-96.902052
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,12.0,209,48,161,0.22966507177033493,0.5673360465926831,-0.3313682918660287,-69.255973
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,15.0,172,38,134,0.22093023255813954,0.5162567906346712,-0.3724738197674418,-64.065497
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,14.0,153,39,114,0.2549019607843137,0.6801412543859648,-0.23832612418300655,-36.463897
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,13.0,142,40,102,0.28169014084507044,0.7843137254901961,-0.15492957746478872,-22.0
ALL_CAUSAL_CANDIDATES,HourNY_AtEntry,9.0,43,11,32,0.2558139534883721,0.6875,-0.23255813953488372,-10.0
ALL_CAUSAL_CANDIDATES,Month_AtEntry,7.0,219,37,182,0.1689497716894977,0.3885738021978022,-0.5081258812785387,-111.279568
ALL_CAUSAL_CANDIDATES,Month_AtEntry,6.0,213,52,161,0.24413145539906103,0.6382166604467762,-0.2720627511737089,-57.949366
ALL_CAUSAL_CANDIDATES,Month_AtEntry,5.0,200,53,147,0.265,0.7013193465762633,-0.218606915,-43.721383
ALL_CAUSAL_CANDIDATES,Month_AtEntry,4.0,190,45,145,0.23684210526315788,0.598904075862069,-0.30609952105263155,-58.158908999999994
ALL_CAUSAL_CANDIDATES,Month_AtEntry,3.0,139,26,113,0.18705035971223022,0.42473893805309737,-0.467658273381295,-65.00450000000001
ALL_CAUSAL_CANDIDATES,Month_AtEntry,10.0,115,33,82,0.28695652173913044,0.7951534260264296,-0.14308754782608693,-16.455067999999997
ALL_CAUSAL_CANDIDATES,Month_AtEntry,8.0,101,28,73,0.27722772277227725,0.7607685342465753,-0.1729098712871287,-17.463897
ALL_CAUSAL_CANDIDATES,Month_AtEntry,9.0,94,25,69,0.26595744680851063,0.7246376811594203,-0.20212765957446807,-19.0
