Feature,Lifecycle,Reason
IsLong_AtEntry,SAFE,captured/frozen at entry
HourNY_AtEntry,SAFE,captured/frozen at entry
MinuteNY_AtEntry,SAFE,captured/frozen at entry
MinutesFromOpen_AtEntry,SAFE,captured/frozen at entry
Weekday_AtEntry,SAFE,captured/frozen at entry
Month_AtEntry,SAFE,captured/frozen at entry
LeaderSwingATR_AtEntry,SAFE,captured/frozen at entry
LeaderReactionATR_AtEntry,SAFE,captured/frozen at entry
CFD_ATR_AtEntry,SAFE,captured/frozen at entry
ATAS_ATR_AtEntry,SAFE,captured/frozen at entry
ATRRatio_AtEntry,SAFE,captured/frozen at entry
CFDAway1ATR_AtEntry,SAFE,captured/frozen at entry
CFDAway3ATR_AtEntry,SAFE,captured/frozen at entry
CFDAway5ATR_AtEntry,SAFE,captured/frozen at entry
ATASAway1ATR_AtEntry,SAFE,captured/frozen at entry
ATASAway3ATR_AtEntry,SAFE,captured/frozen at entry
ATASAway5ATR_AtEntry,SAFE,captured/frozen at entry
LeadDivergence1ATR_AtEntry,SAFE,captured/frozen at entry
LeadDivergence3ATR_AtEntry,SAFE,captured/frozen at entry
LeadDivergence5ATR_AtEntry,SAFE,captured/frozen at entry
ATASApproachBars3_AtEntry,SAFE,captured/frozen at entry
ATASApproachBars5_AtEntry,SAFE,captured/frozen at entry
MappedPivotGapATR_AtEntry,SAFE,captured/frozen at entry
CFDSignalRangeATR_AtEntry,SAFE,captured/frozen at entry
ATASSignalRangeATR_AtEntry,SAFE,captured/frozen at entry
CFDSignalBodyATR_AtEntry,SAFE,captured/frozen at entry
ATASSignalBodyATR_AtEntry,SAFE,captured/frozen at entry
CFDEfficiency5_AtEntry,SAFE,captured/frozen at entry
ATASEfficiency5_AtEntry,SAFE,captured/frozen at entry
CFDRange5ATR_AtEntry,SAFE,captured/frozen at entry
ATASRange5ATR_AtEntry,SAFE,captured/frozen at entry
PriceRatioZ20_AtEntry,SAFE,captured/frozen at entry
ReturnCorrelation20_AtEntry,SAFE,captured/frozen at entry
CFDATRRel60_AtEntry,SAFE,captured/frozen at entry
ATASATRRel60_AtEntry,SAFE,captured/frozen at entry
CFDSessionRangeATR_AtEntry,SAFE,captured/frozen at entry
ATASSessionRangeATR_AtEntry,SAFE,captured/frozen at entry
