Scope,Rule,Period,n,wins,losses,wr,pf,avg_r,net_r,AvgR_CI95_Low,AvgR_CI95_High,BinomialP_WR_GT_33pct
ALL_CAUSAL_CANDIDATES,ATASApproachBars3 <= 1,TOTAL,474,167,307,0.35232067510548526,1.061372472681445,0.03953329113924051,18.738780000000002,-0.08334367157172995,0.16610248976793238,0.2033040461697424
ALL_CAUSAL_CANDIDATES,ATASApproachBars3 <= 1,2025,296,105,191,0.3547297297297297,1.0841942309615702,0.05385266216216217,15.940388000000002,-0.11134044020270267,0.2192833773648646,0.23500151966805025
ALL_CAUSAL_CANDIDATES,ATASApproachBars3 <= 1,2026,178,62,116,0.34831460674157305,1.0241240689655173,0.015721303370786515,2.7983919999999998,-0.19727760603932581,0.22652323174157282,0.3623637375744635
ALL_CAUSAL_CANDIDATES,MappedPivotGapATR > 0,TOTAL,637,217,420,0.34065934065934067,1.0084136995505797,0.005518682888540038,3.515401000000004,-0.10233044803767662,0.11434591499215052,0.3615711178294473
ALL_CAUSAL_CANDIDATES,MappedPivotGapATR > 0,2025,386,137,249,0.3549222797927461,1.0839568391945595,0.05381872538860103,20.774027999999998,-0.08941928205958549,0.20166375064766837,0.19836708103415915
ALL_CAUSAL_CANDIDATES,MappedPivotGapATR > 0,2026,251,80,171,0.3187250996015936,0.8987061016833122,-0.0687594701195219,-17.258626999999997,-0.2358600823705179,0.10676582460159321,0.7097404692092772
ALL_CAUSAL_CANDIDATES,ATASApproachBars3 <= 1 AND MappedPivotGapATR > 0,TOTAL,394,147,247,0.3730964467005076,1.153526829687481,0.09595816751269036,37.807518,-0.04283153730964467,0.2383317508883249,0.053476463471174046
ALL_CAUSAL_CANDIDATES,ATASApproachBars3 <= 1 AND MappedPivotGapATR > 0,2025,243,93,150,0.38271604938271603,1.2144521285896237,0.13172479835390943,32.009125999999995,-0.04443033744855967,0.3148267969135802,0.05995425184908905
ALL_CAUSAL_CANDIDATES,ATASApproachBars3 <= 1 AND MappedPivotGapATR > 0,2026,151,54,97,0.3576158940397351,1.0597772371134022,0.03839994701986756,5.7983920000000015,-0.1854372013245033,0.2622370953642383,0.2900653526905569
CONFIRMED_LATER_SUBSET,ATASApproachBars3 <= 1,TOTAL,43,19,24,0.4418604651162791,1.5833333333333333,0.32558139534883723,14.0,-0.09302325581395349,0.7441860465116279,0.09069733866721083
CONFIRMED_LATER_SUBSET,ATASApproachBars3 <= 1,2025,30,14,16,0.4666666666666667,1.75,0.4,12.0,-0.1,0.9,0.08977091541745613
CONFIRMED_LATER_SUBSET,ATASApproachBars3 <= 1,2026,13,5,8,0.38461538461538464,1.25,0.15384615384615385,2.0,-0.5384615384615384,1.0769230769230769,0.4479612976793286
CONFIRMED_LATER_SUBSET,MappedPivotGapATR > 0,TOTAL,82,38,44,0.4634146341463415,1.7272727272727273,0.3902439024390244,32.0,0.06097560975609756,0.7195121951219512,0.009766996815840685
CONFIRMED_LATER_SUBSET,MappedPivotGapATR > 0,2025,59,29,30,0.4915254237288136,1.9333333333333333,0.4745762711864407,28.0,0.06779661016949153,0.8813559322033898,0.008548592012212386
CONFIRMED_LATER_SUBSET,MappedPivotGapATR > 0,2026,23,9,14,0.391304347826087,1.2857142857142858,0.17391304347826086,4.0,-0.34782608695652173,0.8260869565217391,0.348646783547812
CONFIRMED_LATER_SUBSET,ATASApproachBars3 <= 1 AND MappedPivotGapATR > 0,TOTAL,42,18,24,0.42857142857142855,1.5,0.2857142857142857,12.0,-0.14285714285714285,0.7142857142857143,0.12685226354532794
CONFIRMED_LATER_SUBSET,ATASApproachBars3 <= 1 AND MappedPivotGapATR > 0,2025,29,13,16,0.4482758620689655,1.625,0.3448275862068966,10.0,-0.1724137931034483,0.8620689655172413,0.132973645794357
CONFIRMED_LATER_SUBSET,ATASApproachBars3 <= 1 AND MappedPivotGapATR > 0,2026,13,5,8,0.38461538461538464,1.25,0.15384615384615385,2.0,-0.5384615384615384,0.8461538461538461,0.4479612976793286
