trade_id,Result_VERSION,OutcomeWin,RealizedR,TradeResult,ConfirmedLater,outcome_timestamp
CFD_ATAS_0001_20250310_1006,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-10T10:15:00-04:00
CFD_ATAS_0002_20250310_1138,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-10T11:40:00-04:00
CFD_ATAS_0003_20250310_1143,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-10T11:44:00-04:00
CFD_ATAS_0004_20250310_1236,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-10T12:37:00-04:00
CFD_ATAS_0005_20250311_0954,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-11T09:55:00-04:00
CFD_ATAS_0006_20250311_1011,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,1,2025-03-11T10:17:00-04:00
CFD_ATAS_0007_20250311_1118,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-11T11:22:00-04:00
CFD_ATAS_0008_20250311_1145,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-11T11:46:00-04:00
CFD_ATAS_0009_20250311_1151,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-11T11:58:00-04:00
CFD_ATAS_0010_20250311_1228,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-11T12:40:00-04:00
CFD_ATAS_0011_20250312_1037,atas-mt5-lead-lab-outcomes-v1,1,2.0,WIN,0,2025-03-12T10:58:00-04:00
CFD_ATAS_0012_20250312_1133,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-12T11:38:00-04:00
CFD_ATAS_0013_20250312_1344,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,1,2025-03-12T13:50:00-04:00
CFD_ATAS_0014_20250312_1457,atas-mt5-lead-lab-outcomes-v1,1,2.0,WIN,0,2025-03-12T15:01:00-04:00
CFD_ATAS_0015_20250313_1008,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-13T10:11:00-04:00
CFD_ATAS_0016_20250313_1042,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-13T10:48:00-04:00
CFD_ATAS_0017_20250313_1100,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-13T11:01:00-04:00
CFD_ATAS_0018_20250313_1151,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,1,2025-03-13T11:56:00-04:00
CFD_ATAS_0019_20250313_1207,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-13T12:09:00-04:00
CFD_ATAS_0020_20250313_1504,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-13T15:05:00-04:00
CFD_ATAS_0021_20250314_1135,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-14T11:39:00-04:00
CFD_ATAS_0022_20250314_1147,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,0,2025-03-14T11:48:00-04:00
CFD_ATAS_0023_20250314_1520,atas-mt5-lead-lab-outcomes-v1,0,-1.0,LOSS,1,2025-03-14T15:29:00-04:00
