concept,action,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
CONT_price_alignment,CONT,199,102,97,0.5125628140703518,1.0515463917525774,0.9201030927835051,0.4435380812954153
FADE_absorption_alignment,FADE,188,96,92,0.5106382978723404,1.0434782608695652,0.9130434782608695,0.4396876448572595
CONT_flow_persistence,CONT,220,111,109,0.5045454545454545,1.018348623853211,0.8910550458715596,0.4389691228118873
CONT_open_drive,CONT,246,123,123,0.5,1.0,0.875,0.43800083481028895
CONT_flow_alignment,CONT,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_trapped_alignment,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_iceberg_alignment,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_edge_rejection,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_value_acceptance,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
CONT_late_flow_alignment,CONT,245,122,123,0.49795918367346936,0.991869918699187,0.8678861788617886,0.43586758209503174
CONT_initiative_profile,CONT,200,97,103,0.485,0.941747572815534,0.8240291262135923,0.4166738517187752
CONT_responsive_to_value,CONT,202,96,106,0.4752475247524752,0.9056603773584906,0.7924528301886793,0.40748677699243097
FADE_open_auction,FADE,192,90,102,0.46875,0.8823529411764706,0.7720588235294118,0.3994701493847139
