fecha,prediction_timestamp,split,born_bad_group,born_bad_reason,Result_Label,realized_ticks_for_label,MFE_ticks,MAE_ticks,Trade_Duration,Entry_price,ExecutionSide,canonical_source_file,causal_row_flag,Delta1s,Delta2s,Delta3s,Delta5s,Delta10s,PeakPositiveDelta,PeakNegativeDelta,DeltaChange1s,DeltaChangeZScore,DeltaPercentile,BuySellRatio,TradesPerSecond,ContractsPerSecond,Velocity1s,Velocity3s,Velocity5s,Acceleration1s,Acceleration3s,TicksPerSecond,CumulativeDeltaWindow,OR_WidthTicks,Dist_OR_High_Ticks,Dist_OR_Low_Ticks,Dist_VWAP_Ticks,Dist_POC_Ticks,Dist_VAH_Ticks,Dist_VAL_Ticks,Dist_HVN_Ticks,Dist_LVN_Ticks,range,Body_AtEntry,Volume_AtEntry,Delta_AtEntry,Cumulative_Delta_AtEntry,Previous_Volume_AtEntry,Previous_Delta_AtEntry,Delta_Change_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,Score_AtEntry,Buy_Imbalance_Count_AtEntry,Sell_Imbalance_Count_AtEntry,signed_delta_1s,signed_delta_change_1s,signed_velocity_1s,signed_velocity_3s,signed_acceleration_1s,price_impact_per_100_contracts,absorption_pressure_1s,delta_share_of_volume,mean_trade_size,delta_persistence_1_3,delta_persistence_3_5,direction_consistency,velocity_consistency,flow_price_alignment,acceleration_velocity_ratio,directional_vwap_distance,directional_poc_distance,profile_confluence_4t,burst_efficiency_score,liquidity_absorption_score,seconds_from_open,minute_from_open,weekday_index,month_index,execution_side_sign,or_position_fraction,distance_nearest_or_edge_ticks,distance_nearest_profile_reference_ticks,vwap_poc_spread_ticks,signed_velocity_decay_1_5,signed_delta_decay_1_5,execution_cvd_alignment
2022-04-05,2022-04-05 13:32:01.026000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:37,15135.0,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-05_NY.csv,True,273,321,338,349,343,273,-19,225,6.879339890608311,1.0,3.904255319148936,445,461,8,4.0,2.4,6,2.333333333333333,8,338,27.0,4.0,31.0,15.435164313678964,13,6,21,-1,0,135,20,464,270,-157,2699,-85,355,19.49,7,0,0,273.0,225.0,8.0,4.0,6.0,1.735357917570499,34.125,0.5921908893709328,1.0359550561797752,0.4126984126984127,0.6195266272189349,1.0,1.0,1,0.75,15.435164313678964,13.0,2,0.029304029304029304,6.824999999999998,121,2.0166666666666666,1,4,-1.0,1.1481481481481481,4.0,0,2.435164313678964,-5.6,-203.2,1.0
2022-04-06,2022-04-06 13:31:01.004000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:55,14643.75,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-06_NY.csv,True,224,242,294,344,349,224,-29,206,7.407896372369047,1.0,4.672131147540984,305,346,9,3.333333333333333,2.8,10,2.0,9,294,32.0,7.0,39.0,22.009356347798033,13,0,30,0,1,160,30,348,222,-2761,5852,852,-630,29.88,6,0,0,224.0,206.0,9.0,3.333333333333333,10.0,2.601156069364162,24.88888888888889,0.6473988439306358,1.1344262295081968,0.4375,0.7020408163265306,1.0,1.0,1,1.1111111111111112,22.009356347798033,13.0,3,0.04017857142857143,2.4888888888888885,61,1.0166666666666666,2,4,-1.0,1.21875,7.0,0,9.009356347798033,-6.2,-155.2,1.0
2022-04-19,2022-04-19 13:31:01.009000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,15,00:21,13906.25,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-19_NY.csv,True,150,153,165,167,363,150,-17,147,3.689330932913517,1.0,2.764705882352941,287,320,10,4.0,2.4,10,3.666666666666667,10,165,24.0,8.0,32.0,21.47595967429236,24,20,29,0,1,120,40,323,153,-313,4837,675,-522,39.64,7,0,0,150.0,147.0,10.0,4.0,10.0,3.125,15.0,0.46875,1.1149825783972125,0.36666666666666664,0.6072727272727273,1.0,1.0,1,1.0,21.47595967429236,24.0,2,0.06666666666666667,0.0,61,1.0166666666666666,1,4,-1.0,1.3333333333333333,8.0,0,2.5240403257076416,-7.6,-116.6,1.0
2022-04-26,2022-04-26 13:31:44.003000+00:00,discovery,C_LOSER_MFE_3_TO_30,Perdedor con 2 < MFE <= 30 ticks,SL,-62.0,20,60,00:39,13405.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-26_NY.csv,True,-111,-115,-151,-153,-142,10,-111,-107,-2.904293868925192,0.951456310679612,0.159090909090909,104,153,-4,-1.666666666666667,-1.2,-4,-0.666666666666667,-4,-151,30.0,-37.0,-7.0,-19.48505964332113,-12,-29,-11,-2,0,150,30,2698,-532,979,5770,226,-758,0.68,10,0,2,111.0,107.0,4.0,1.666666666666667,4.0,2.6143790849673203,27.75,0.7254901960784313,1.4711538461538463,0.45345345345345345,0.6079470198675496,1.0,1.0,1,1.0,19.48505964332113,12.0,2,0.036036036036036036,16.65,104,1.7333333333333334,1,4,1.0,-0.23333333333333334,7.0,0,7.485059643321129,-2.8,-80.4,1.0
2022-04-27,2022-04-27 13:35:01.007000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:00,13120.0,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-27_NY.csv,True,470,495,489,447,438,470,-38,445,14.839161558802896,1.0,4.175675675675676,707,766,19,6.0,3.0,19,7.333333333333333,19,489,48.0,40.0,88.0,41.83542545036413,23,4,56,0,1,240,95,779,479,1847,3239,-41,520,94.34,10,1,0,470.0,445.0,19.0,6.0,19.0,2.480417754569191,24.736842105263158,0.6135770234986945,1.0834512022630836,0.3468085106382979,0.5484662576687117,1.0,1.0,1,1.0,41.83542545036413,23.0,3,0.04042553191489362,0.0,301,5.016666666666667,2,4,-1.0,1.8333333333333333,40.0,0,18.835425450364127,-16.0,-380.6,-1.0
2022-05-04,2022-05-04 13:33:02.005000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:59,13075.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-04_NY.csv,True,-237,-286,-304,-305,-298,13,-237,-188,-5.751900070701107,1.0,0.088461538461538,142,283,-1,-2.0,-1.4,3,-0.333333333333333,-1,-304,25.0,-32.0,-7.0,-13.516883116883117,-16,-19,-3,0,1,125,30,353,-285,-602,2304,-26,-259,14.96,10,0,1,237.0,188.0,1.0,2.0,-3.0,0.35335689045936397,237.0,0.8374558303886925,1.9929577464788732,0.42756680731364277,0.6019736842105263,1.0,1.0,1,-3.0,13.516883116883117,16.0,3,0.004219409282700422,213.3,182,3.033333333333333,2,5,1.0,-0.28,7.0,0,2.4831168831168835,0.3999999999999999,-176.0,-1.0
2022-05-09,2022-05-09 13:31:13.009000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,20,00:17,12492.5,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-09_NY.csv,True,131,119,155,159,265,131,-12,143,3.729604239347046,1.0,3.847826086956522,203,223,5,0.666666666666667,0.8,4,1.666666666666667,5,155,31.0,9.0,40.0,21.26451127819549,30,17,36,2,3,155,50,1173,317,-1578,5479,123,194,3.84,9,0,0,131.0,143.0,5.0,0.666666666666667,4.0,2.242152466367713,26.2,0.5874439461883408,1.0985221674876848,0.3944020356234097,0.6154838709677419,1.0,1.0,1,0.8,21.26451127819549,30.0,2,0.03816793893129771,13.1,73,1.2166666666666666,0,5,-1.0,1.2903225806451613,9.0,2,8.735488721804511,-4.2,-99.2,1.0
2022-05-18,2022-05-18 13:34:58.072000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,28.0,35,0,00:05,12378.75,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-18_NY.csv,True,159,158,155,159,153,159,-16,160,5.702942964184415,1.0,3.446153846153846,245,289,4,1.333333333333333,1.0,4,1.333333333333333,4,155,17.0,5.0,22.0,5.81951556297106,11,-2,16,1,0,85,0,3529,-113,-2749,3026,376,-489,0.0,7,0,0,159.0,160.0,4.0,1.333333333333333,4.0,1.3840830449826989,39.75,0.5501730103806228,1.1795918367346938,0.3249475890985325,0.6154838709677419,1.0,1.0,1,1.0,5.81951556297106,11.0,3,0.025157232704402517,23.849999999999998,298,4.966666666666667,2,5,-1.0,1.2941176470588236,5.0,0,5.18048443702894,-3.0,-127.2,1.0
2022-05-20,2022-05-20 13:35:02.005000+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:13,11990.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-20_NY.csv,True,-175,-201,-202,-182,-198,12,-175,-149,-5.160903140567027,1.0,0.361313868613139,332,373,-6,-2.666666666666667,-1.4,-4,-2.0,-6,-202,29.0,-46.0,-17.0,-22.73162955213471,-21,-30,-8,0,-1,145,40,577,-205,767,2507,241,-446,19.95,9,0,0,175.0,149.0,6.0,2.666666666666667,4.0,1.6085790884718498,29.166666666666668,0.4691689008042895,1.1234939759036144,0.38476190476190475,0.5405940594059406,1.0,1.0,1,0.6666666666666666,22.73162955213471,21.0,2,0.03428571428571429,11.666666666666668,302,5.033333333333333,4,5,1.0,-0.5862068965517241,17.0,0,1.7316295521347094,-4.6,-138.6,1.0
2022-05-23,2022-05-23 13:34:21.020000+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,15,00:12,11850.0,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-23_NY.csv,True,-131,-137,-175,-172,-179,10,-131,-125,-3.440869990764241,0.992307692307692,0.291891891891892,198,239,-3,-2.0,-1.2,-2,-0.333333333333333,-3,-175,36.0,-40.0,-4.0,-19.32867598137059,-11,-26,-8,0,-1,180,25,1254,-260,-1474,2974,-50,-210,1.19,10,0,0,131.0,125.0,3.0,2.0,2.0,1.2552301255230125,43.666666666666664,0.5481171548117155,1.207070707070707,0.44529262086513993,0.5897142857142857,1.0,1.0,1,0.6666666666666666,19.32867598137059,11.0,2,0.022900763358778626,30.566666666666663,261,4.35,0,5,1.0,-0.1111111111111111,4.0,0,8.32867598137059,-1.8,-96.6,-1.0
