feature,method,importance,split
Previous_Delta_AtEntry,mutual_information,0.06065414766057642,discovery
Previous_Delta_AtEntry,conditional_mutual_information_proxy,0.011095412593842629,discovery
absorption_pressure_1s,mutual_information,0.0,discovery
absorption_pressure_1s,conditional_mutual_information_proxy,0.04910474513216125,discovery
burst_efficiency_score,mutual_information,0.0,discovery
burst_efficiency_score,conditional_mutual_information_proxy,0.04939145495232748,discovery
price_impact_per_100_contracts,mutual_information,0.007004975924576495,discovery
price_impact_per_100_contracts,conditional_mutual_information_proxy,0.0774543542946797,discovery
liquidity_absorption_score,mutual_information,0.049609705650518476,discovery
liquidity_absorption_score,conditional_mutual_information_proxy,0.050889533112762786,discovery
signed_velocity_1s,mutual_information,0.004353867212862239,discovery
signed_velocity_1s,conditional_mutual_information_proxy,0.036995767557762335,discovery
mean_trade_size,mutual_information,0.050072850810633174,discovery
mean_trade_size,conditional_mutual_information_proxy,0.03997152919394725,discovery
signed_acceleration_1s,mutual_information,0.038991143516805105,discovery
signed_acceleration_1s,conditional_mutual_information_proxy,0.09381484502995185,discovery
Score_AtEntry,mutual_information,0.08451394282748304,discovery
Score_AtEntry,conditional_mutual_information_proxy,0.04492407901989775,discovery
signed_velocity_decay_1_5,mutual_information,0.0,discovery
signed_velocity_decay_1_5,conditional_mutual_information_proxy,0.030787004369737195,discovery
OR_WidthTicks,mutual_information,0.0,discovery
OR_WidthTicks,conditional_mutual_information_proxy,0.0455027978365175,discovery
range,mutual_information,0.0,discovery
range,conditional_mutual_information_proxy,0.0455027978365175,discovery
Previous_Delta_AtEntry,logistic,0.35167949389286896,discovery
absorption_pressure_1s,logistic,0.031943354971605074,discovery
burst_efficiency_score,logistic,0.13331489138177613,discovery
price_impact_per_100_contracts,logistic,0.09701040562116753,discovery
liquidity_absorption_score,logistic,0.23269550962986363,discovery
signed_velocity_1s,logistic,0.3356191819180445,discovery
mean_trade_size,logistic,0.055894853585362475,discovery
signed_acceleration_1s,logistic,0.11342742671353835,discovery
Score_AtEntry,logistic,0.2298118301711997,discovery
signed_velocity_decay_1_5,logistic,0.08560991643670482,discovery
OR_WidthTicks,logistic,0.032537334340405136,discovery
range,logistic,0.032537334340404914,discovery
Previous_Delta_AtEntry,logistic_permutation,0.04177631578947366,validation
absorption_pressure_1s,logistic_permutation,-0.006710526315789489,validation
burst_efficiency_score,logistic_permutation,-0.01039473684210531,validation
price_impact_per_100_contracts,logistic_permutation,0.009967105263157854,validation
liquidity_absorption_score,logistic_permutation,0.005460526315789447,validation
signed_velocity_1s,logistic_permutation,0.01671052631578945,validation
mean_trade_size,logistic_permutation,-0.039539473684210576,validation
signed_acceleration_1s,logistic_permutation,-0.015460526315789536,validation
Score_AtEntry,logistic_permutation,0.015328947368421037,validation
signed_velocity_decay_1_5,logistic_permutation,-0.015986842105263223,validation
OR_WidthTicks,logistic_permutation,-0.02444078947368429,validation
range,logistic_permutation,-0.02444078947368429,validation
Previous_Delta_AtEntry,logistic_validation_ablation,0.021381578947368363,validation
absorption_pressure_1s,logistic_validation_ablation,0.0,validation
burst_efficiency_score,logistic_validation_ablation,0.0,validation
price_impact_per_100_contracts,logistic_validation_ablation,0.0,validation
liquidity_absorption_score,logistic_validation_ablation,0.02631578947368418,validation
signed_velocity_1s,logistic_validation_ablation,0.0,validation
mean_trade_size,logistic_validation_ablation,-0.05756578947368429,validation
signed_acceleration_1s,logistic_validation_ablation,0.0,validation
Score_AtEntry,logistic_validation_ablation,0.05756578947368418,validation
signed_velocity_decay_1_5,logistic_validation_ablation,0.0,validation
OR_WidthTicks,logistic_validation_ablation,0.0,validation
range,logistic_validation_ablation,0.0,validation
Previous_Delta_AtEntry,decision_tree,0.2854009612678681,discovery
absorption_pressure_1s,decision_tree,0.18126536665753568,discovery
burst_efficiency_score,decision_tree,0.0,discovery
price_impact_per_100_contracts,decision_tree,0.24574253424565165,discovery
liquidity_absorption_score,decision_tree,0.0,discovery
signed_velocity_1s,decision_tree,0.0,discovery
mean_trade_size,decision_tree,0.0,discovery
signed_acceleration_1s,decision_tree,0.11225628045702407,discovery
Score_AtEntry,decision_tree,0.17533485737192042,discovery
signed_velocity_decay_1_5,decision_tree,0.0,discovery
OR_WidthTicks,decision_tree,0.0,discovery
range,decision_tree,0.0,discovery
Previous_Delta_AtEntry,decision_tree_permutation,-0.009703947368420972,validation
absorption_pressure_1s,decision_tree_permutation,0.050526315789473746,validation
burst_efficiency_score,decision_tree_permutation,0.0,validation
price_impact_per_100_contracts,decision_tree_permutation,-0.0041776315789473295,validation
liquidity_absorption_score,decision_tree_permutation,0.0,validation
signed_velocity_1s,decision_tree_permutation,0.0,validation
mean_trade_size,decision_tree_permutation,0.0,validation
signed_acceleration_1s,decision_tree_permutation,0.0009210526315790313,validation
Score_AtEntry,decision_tree_permutation,0.024407894736842177,validation
signed_velocity_decay_1_5,decision_tree_permutation,0.0,validation
OR_WidthTicks,decision_tree_permutation,0.0,validation
range,decision_tree_permutation,0.0,validation
Previous_Delta_AtEntry,random_forest,0.16310278502087588,discovery
absorption_pressure_1s,random_forest,0.08620849282072134,discovery
burst_efficiency_score,random_forest,0.0833955826856437,discovery
price_impact_per_100_contracts,random_forest,0.1086213537740775,discovery
liquidity_absorption_score,random_forest,0.09867816084217211,discovery
signed_velocity_1s,random_forest,0.031880017683055206,discovery
mean_trade_size,random_forest,0.1181514065912735,discovery
signed_acceleration_1s,random_forest,0.10556371511955942,discovery
Score_AtEntry,random_forest,0.02865153636398274,discovery
signed_velocity_decay_1_5,random_forest,0.08210666417475038,discovery
OR_WidthTicks,random_forest,0.046136658489578236,discovery
range,random_forest,0.04750362643431004,discovery
Previous_Delta_AtEntry,random_forest_permutation,0.01782894736842114,validation
absorption_pressure_1s,random_forest_permutation,0.0341118421052632,validation
burst_efficiency_score,random_forest_permutation,0.03953947368421057,validation
price_impact_per_100_contracts,random_forest_permutation,0.006940789473684273,validation
liquidity_absorption_score,random_forest_permutation,0.024111842105263213,validation
signed_velocity_1s,random_forest_permutation,0.008519736842105307,validation
mean_trade_size,random_forest_permutation,0.024605263157894793,validation
signed_acceleration_1s,random_forest_permutation,0.06904605263157901,validation
Score_AtEntry,random_forest_permutation,-0.016282894736842083,validation
signed_velocity_decay_1_5,random_forest_permutation,0.010657894736842177,validation
