feature,permutation_q_bh,mann_whitney_q_bh,cliffs_delta_A_minus_B,abs_cliffs_delta,overlap_coefficient,catboost,catboost_incremental_shap,catboost_permutation,conditional_mutual_information_proxy,decision_tree,decision_tree_permutation,logistic,logistic_permutation,logistic_validation_ablation,mutual_information,random_forest,random_forest_permutation,discovery_direction_A_minus_B,discovery_threshold_mid_medians,monte_carlo_bootstrap_direction_stability,gaussian_noise_5pct_direction_stability,validation_n_A,validation_n_B,validation_direction_A_minus_B,validation_B_detectable_pct,validation_A_lost_pct,holdout_n_A,holdout_n_B,holdout_direction_A_minus_B,holdout_B_detectable_pct,holdout_A_lost_pct,direction_stable_discovery_validation_holdout,evidence_score,robust_candidate
Previous_Delta_AtEntry,1.0,0.9570804329378665,0.23166522864538394,0.23166522864538394,0.7187230371009491,22.5447927706614,0.5722488840354838,-0.02434210526315796,0.011095412593842629,0.2854009612678681,-0.009703947368420972,0.35167949389286896,0.04177631578947366,0.021381578947368363,0.06065414766057642,0.16310278502087588,0.01782894736842114,1.0,92.75,0.99,1.0,16.0,19.0,1.0,78.94736842105263,75.0,20.0,14.0,-1.0,57.14285714285714,80.0,0.0,0.0,0
absorption_pressure_1s,1.0,0.9570804329378665,0.2187230371009491,0.2187230371009491,0.8283002588438308,5.949567556139783,0.09574945562858923,-0.008947368421052666,0.04910474513216125,0.18126536665753568,0.050526315789473746,0.031943354971605074,-0.006710526315789489,0.0,0.0,0.08620849282072134,0.0341118421052632,1.0,55.16666666666667,0.933,1.0,16.0,19.0,1.0,84.21052631578947,87.5,20.0,14.0,1.0,64.28571428571429,55.00000000000001,1.0,0.0,0
burst_efficiency_score,1.0,0.9570804329378665,-0.2187230371009491,0.2187230371009491,0.7907679033649697,7.230461407125761,0.11736795577124767,0.00421052631578946,0.04939145495232748,0.0,0.0,0.13331489138177613,-0.01039473684210531,0.0,0.0,0.0833955826856437,0.03953947368421057,-1.0,0.01853653531829985,0.932,1.0,16.0,19.0,-1.0,78.94736842105263,87.5,20.0,14.0,-1.0,64.28571428571429,55.00000000000001,1.0,0.0,0
price_impact_per_100_contracts,1.0,0.9570804329378665,-0.2182916307161346,0.2182916307161346,0.7454702329594478,11.189671822509538,0.2735003851810936,-0.010888157894736907,0.0774543542946797,0.24574253424565165,-0.0041776315789473295,0.09701040562116753,0.009967105263157854,0.0,0.007004975924576495,0.1086213537740775,0.006940789473684273,-1.0,0.9637277788100092,0.976,1.0,16.0,19.0,-1.0,89.47368421052632,100.0,20.0,14.0,-1.0,57.14285714285714,55.00000000000001,1.0,0.0,0
liquidity_absorption_score,1.0,0.9570804329378665,0.21484037963761865,0.21484037963761865,0.8317515099223468,9.611777958403291,0.17122396951051966,0.024736842105263078,0.050889533112762786,0.0,0.0,0.23269550962986363,0.005460526315789447,0.02631578947368418,0.049609705650518476,0.09867816084217211,0.024111842105263213,1.0,37.449999999999996,0.93,1.0,16.0,19.0,1.0,78.94736842105263,81.25,20.0,14.0,1.0,64.28571428571429,55.00000000000001,1.0,0.0,0
signed_velocity_1s,1.0,0.9570804329378665,-0.18507333908541845,0.18507333908541845,0.8662640207075065,1.7588854645646326,0.048790982278760484,-0.007894736842105288,0.036995767557762335,0.0,0.0,0.3356191819180445,0.01671052631578945,0.0,0.004353867212862239,0.031880017683055206,0.008519736842105307,-1.0,3.5,0.625,1.0,16.0,19.0,-1.0,68.42105263157895,62.5,20.0,14.0,-1.0,50.0,45.0,1.0,0.0,0
mean_trade_size,1.0,0.9570804329378665,0.18377911993097498,0.18377911993097498,0.8080241587575496,11.034163806587628,0.19198120089847895,-0.006348684210526384,0.03997152919394725,0.0,0.0,0.055894853585362475,-0.039539473684210576,-0.05756578947368429,0.050072850810633174,0.1181514065912735,0.024605263157894793,1.0,1.1874272359817095,0.901,1.0,16.0,19.0,-1.0,52.63157894736842,56.25,20.0,14.0,-1.0,7.142857142857142,40.0,0.0,0.0,0
signed_acceleration_1s,1.0,0.9570804329378665,-0.17644521138912855,0.17644521138912855,0.6954270923209664,13.042894665737736,0.2826814212536647,0.01825657894736837,0.09381484502995185,0.11225628045702407,0.0009210526315790313,0.11342742671353835,-0.015460526315789536,0.0,0.038991143516805105,0.10556371511955942,0.06904605263157901,-1.0,2.5,0.687,1.0,16.0,19.0,-1.0,73.68421052631578,68.75,20.0,14.0,-1.0,50.0,45.0,1.0,0.0,0
Score_AtEntry,1.0,0.9570804329378665,0.1742881794650561,0.1742881794650561,0.8433994823123382,3.751086080480585,0.10089512823854069,0.0007236842105263119,0.04492407901989775,0.17533485737192042,0.024407894736842177,0.2298118301711997,0.015328947368421037,0.05756578947368418,0.08451394282748304,0.02865153636398274,-0.016282894736842083,0.0,10.0,,,16.0,19.0,1.0,,,20.0,14.0,1.0,,,0.0,0.0,0
signed_velocity_decay_1_5,1.0,0.9570804329378665,0.1725625539257981,0.1725625539257981,0.8524590163934427,6.463140217842476,0.1364959481954237,0.009473684210526266,0.030787004369737195,0.0,0.0,0.08560991643670482,-0.015986842105263223,0.0,0.0,0.08210666417475038,0.010657894736842177,1.0,-2.2,0.873,1.0,16.0,19.0,1.0,68.42105263157895,68.75,20.0,14.0,1.0,50.0,40.0,1.0,0.0,0
OR_WidthTicks,1.0,0.9570804329378665,-0.15918895599654875,0.15918895599654875,0.864106988783434,4.609019673908014,0.07308612132382837,0.013157894736842061,0.0455027978365175,0.0,0.0,0.032537334340405136,-0.02444078947368429,0.0,0.0,0.046136658489578236,0.01671052631578952,,,,,,,,,,,,,,,,0.0,0
range,1.0,0.9570804329378665,-0.15918895599654875,0.15918895599654875,0.8641069887834341,2.814538576039155,0.04297746001686762,0.0031578947368420952,0.0455027978365175,0.0,0.0,0.032537334340404914,-0.02444078947368429,0.0,0.0,0.04750362643431004,0.013223684210526346,,,,,,,,,,,,,,,,0.0,0
BuySellRatio,1.0,0.9570804329378665,0.15789473684210525,0.15789473684210525,0.8153580672993961,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_OR_Low_Ticks,1.0,0.9570804329378665,-0.1462467644521139,0.1462467644521139,0.863244176013805,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_OR_High_Ticks,1.0,0.9570804329378665,-0.12942191544434858,0.12942191544434858,0.7817083692838653,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta_Change_AtEntry,1.0,0.9570804329378665,-0.12942191544434858,0.12942191544434858,0.7549611734253666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
vwap_poc_spread_ticks,1.0,0.9570804329378665,-0.12251941328731665,0.12251941328731665,0.915444348576359,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_LVN_Ticks,1.0,0.9570804329378665,-0.12165660051768766,0.12165660051768766,0.7920621225194133,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Cumulative_Delta_AtEntry,1.0,0.9570804329378665,0.11475409836065574,0.11475409836065574,0.8045729076790336,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
delta_persistence_1_3,1.0,0.9570804329378665,0.11475409836065574,0.11475409836065574,0.7584124245038827,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_VWAP_Ticks,1.0,0.9570804329378665,-0.11302847282139776,0.11302847282139776,0.8045729076790337,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
month_index,1.0,0.9570804329378665,-0.11259706643658327,0.11259706643658327,0.8313201035375324,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
execution_cvd_alignment,1.0,0.9570804329378665,-0.11044003451251079,0.11044003451251079,0.8895599654874893,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
signed_velocity_3s,1.0,0.9570804329378665,-0.1095772217428818,0.1095772217428818,0.8369283865401208,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
directional_poc_distance,1.0,0.9570804329378665,0.10655737704918032,0.10655737704918032,0.81190681622088,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_POC_Ticks,1.0,0.9570804329378665,-0.090595340811044,0.090595340811044,0.8408110440034512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
DeltaChangeZScore,1.0,0.9570804329378665,0.08886971527178603,0.08886971527178603,0.8205349439171699,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
distance_nearest_profile_reference_ticks,1.0,0.9570804329378665,-0.08714408973252805,0.08714408973252805,0.8826574633304574,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
or_position_fraction,1.0,0.9570804329378665,-0.08412424503882658,0.08412424503882658,0.8878343399482314,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Previous_Volume_AtEntry,1.0,0.9570804329378665,0.07549611734253667,0.07549611734253667,0.8106125970664366,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_VAL_Ticks,1.0,0.9570804329378665,-0.06902502157031924,0.06902502157031924,0.7972389991371872,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
acceleration_velocity_ratio,1.0,0.9570804329378665,-0.06686798964624677,0.06686798964624677,0.9383088869715273,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Dist_HVN_Ticks,1.0,0.9570804329378665,-0.06557377049180328,0.06557377049180328,0.8830888697152719,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Volume_AtEntry,1.0,0.9570804329378665,-0.06557377049180328,0.06557377049180328,0.8731665228645383,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
distance_nearest_or_edge_ticks,1.0,0.9570804329378665,-0.06471095772217429,0.06471095772217429,0.8045729076790336,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
PeakNegativeDelta,1.0,0.9570804329378665,0.0642795513373598,0.0642795513373598,0.8438308886971528,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
delta_persistence_3_5,1.0,0.9570804329378665,-0.062122519413287315,0.062122519413287315,0.725625539257981,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta5s,1.0,0.9570804329378665,0.059534081104400345,0.059534081104400345,0.7553925798101813,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
