feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
Previous_Delta_AtEntry,38,61,120.6842105263158,162.5,255.7465072296603,-226.79999999999998,-29.25,247.0,463.5000000000001,35.09836065573771,23.0,257.3931302448994,-249.0,-114.0,197.0,306.0,0.3333219960864943,0.23166522864538394,0.7187230371009491,0.053817372205700396,0.010062539417962726,0.11022832621759253,0.11001862081330366,0.11944027986006997,-15.83794219154444,187.792698446937,0.9570804329378665,1.0,0.23166522864538394
absorption_pressure_1s,38,61,84.11929824561403,63.333333333333336,87.19367387981421,26.583333333333332,46.3125,91.0,147.3,74.55116993302929,47.0,93.10147946563706,24.88888888888889,34.125,74.5,139.0,0.10526769863891255,0.2187230371009491,0.8283002588438308,0.06869831145232515,0.07618683577952863,0.6063596217365671,0.611649034084937,0.6296851574212894,-25.355896726104906,47.95455218476516,0.9570804329378665,1.0,0.2187230371009491
burst_efficiency_score,38,61,0.018419177437017063,0.015796474891918856,0.011274205446881668,0.006788931788931789,0.010990017400860884,0.021595353117092247,0.03762541806020068,0.023170740073244715,0.02127659574468085,0.014303984894636624,0.007194244604316547,0.013422818791946308,0.029304029304029304,0.04017857142857143,-0.3591396902070746,-0.2187230371009491,0.7907679033649697,0.06869488490926536,0.07618683577952863,0.06962970354987826,0.08541776737470257,0.10144927536231885,-0.009762905643864664,0.00039866363344948644,0.9570804329378665,1.0,0.2187230371009491
price_impact_per_100_contracts,38,61,1.0391283918215926,0.8444230666452889,0.65649149136046,0.4443391048350881,0.6258503401360545,1.241327905510005,1.8268161496039765,1.2853406181400817,1.0830324909747293,0.805711536858811,0.4807692307692308,0.7751937984496124,1.639344262295082,2.2900763358778624,-0.327282586035875,-0.2182916307161346,0.7454702329594478,0.06924844005082732,0.032696290608630434,0.10027522393155394,0.11652613278226,0.11944027986006997,-0.5204051071394774,0.042682381717701424,0.9570804329378665,1.0,0.2182916307161346
liquidity_absorption_score,38,61,65.63245614035088,44.33333333333333,89.17781170959421,12.32,26.775,72.80000000000001,124.23000000000002,56.9858118657299,30.566666666666663,95.80924353130803,6.642857142857144,14.466666666666667,54.75,125.10000000000001,0.0926406367303905,0.21484037963761865,0.8317515099223468,0.07377009552785055,0.21541700534141298,0.6496766821115383,0.6549573211035592,0.6561719140429785,-28.20455702952738,47.742431094813504,0.9570804329378665,1.0,0.21484037963761865
signed_velocity_1s,38,61,3.210526315789474,3.0,1.596582409768019,1.7000000000000002,2.0,4.0,6.0,4.262295081967213,4.0,3.1032329343458485,1.0,2.0,6.0,8.0,-0.399560942129593,-0.18507333908541845,0.8662640207075065,0.11852063189974886,0.7327214005266647,0.028988044724913717,0.056102273236510264,0.05647176411794103,-1.9995793787748057,-0.18180543572044972,0.9570804329378665,1.0,0.18507333908541845
mean_trade_size,38,61,1.2493757298316481,1.2189404934687953,0.15802867293041223,1.0942105883740125,1.1290592055722892,1.3593396323478975,1.4472781655034896,1.2372930552034105,1.1559139784946237,0.24911388271261142,1.069364161849711,1.1142857142857143,1.272108843537415,1.4029850746268657,0.05520021847102659,0.18377911993097498,0.8080241587575496,0.12627722511759307,0.2381731910871585,0.7684201574726642,0.7899563715194405,0.7971014492753623,-0.06937682968029979,0.08974489110498751,0.9570804329378665,1.0,0.18377911993097498
signed_acceleration_1s,38,61,2.289473684210526,2.0,1.6424749738821909,0.0,1.0,3.0,4.0,3.442622950819672,3.0,3.7306147400660143,-1.0,1.0,5.0,7.0,-0.3714470819402879,-0.17644521138912855,0.6954270923209664,0.13865084968432895,0.1641918160738309,0.037806594775639656,0.07538952207404495,0.07796101949025487,-2.1989214840379643,-0.08646462467644644,0.9570804329378665,1.0,0.17644521138912855
Score_AtEntry,38,61,9.973684210526315,10.0,1.1024994234297238,8.7,9.0,11.0,11.0,9.508196721311476,10.0,1.3369486504683232,8.0,9.0,11.0,11.0,0.37158537470704744,0.1742881794650561,0.8433994823123382,0.1338656624938229,0.6035684020083762,0.06332557044619234,0.07528263621859195,0.08945527236381809,-0.00044219154443489943,0.951261863675583,0.9570804329378665,1.0,0.1742881794650561
signed_velocity_decay_1_5,38,61,-2.1210526315789475,-1.8,1.2576593219660175,-4.2,-2.95,-1.05,-0.7399999999999992,-2.940983606557377,-2.6,2.621028872356574,-5.4,-3.8,-1.2,-0.6,0.37220836192785867,0.1725625539257981,0.8524590163934427,0.15065979708498753,0.47922759198009385,0.03958233343086753,0.07480268885683927,0.0734632683658171,0.09216566005176918,1.6226121656600516,0.9570804329378665,1.0,0.1725625539257981
OR_WidthTicks,38,61,19.157894736842106,17.5,7.179273153714603,11.7,14.25,22.0,29.300000000000004,21.524590163934427,20.0,8.27568034942757,12.0,15.0,26.0,32.0,-0.3005140165181259,-0.15918895599654875,0.864106988783434,0.1849368662725841,0.5464600360173125,0.13643275875154012,0.14913779267508145,0.14792603698150925,-5.301240293356342,0.8012402933563374,0.9570804329378665,1.0,0.15918895599654875
range,38,61,95.78947368421052,87.5,35.89636576857301,58.5,71.25,110.0,146.50000000000003,107.62295081967213,100.0,41.37840174713785,60.0,75.0,130.0,160.0,-0.30051401651812604,-0.15918895599654875,0.8641069887834341,0.1849368662725841,0.5464600360173125,0.13643275875154004,0.14913779267508145,0.15292353823088456,-27.46343830888697,3.575280414150113,0.9570804329378665,1.0,0.15918895599654875
BuySellRatio,38,61,2.4493463433314697,2.479874213836478,2.4128423703805955,0.247214337396338,0.3056750941366325,4.190224159402242,5.614968652037619,1.9268140075359876,0.478350515463918,1.89050866399361,0.193877551020408,0.246575342465753,3.815384615384615,4.514285714285714,0.24822266701644755,0.15789473684210525,0.8153580672993961,0.18914756235339825,0.4383858198146604,0.2603801152895742,0.23263558048858352,0.23788105947026486,-0.3725954026355901,1.3978031080578524,0.9570804329378665,1.0,0.15789473684210525
Dist_OR_Low_Ticks,38,61,8.5,12.0,18.35939997841889,-15.6,-6.0,22.75,32.20000000000002,14.311475409836065,18.0,22.128820561736948,-10.0,-5.0,31.0,37.0,-0.2797764426482443,-0.1462467644521139,0.863244176013805,0.22379098481219306,0.4921137566753729,0.1609167679557904,0.1789503795338736,0.18340829585207397,-13.600916738567731,2.0583584987057635,0.9570804329378665,1.0,0.1462467644521139
Dist_OR_High_Ticks,38,61,-10.657894736842104,1.0,20.00712888594689,-38.0,-29.75,5.0,11.0,-7.213114754098361,3.0,21.809871430232658,-35.0,-26.0,7.0,16.0,-0.16294794479902858,-0.12942191544434858,0.7817083692838653,0.2817144192197386,0.598977480665509,0.4233498000614465,0.4323416165730935,0.43778110944527737,-11.67347929249353,5.142407247627255,0.9570804329378665,1.0,0.12942191544434858
Delta_Change_AtEntry,38,61,-112.71052631578948,-109.0,353.73855881753985,-553.0,-342.25,62.0,334.00000000000017,-17.0327868852459,-53.0,372.3161276484056,-489.0,-271.0,244.0,437.0,-0.26188591171474485,-0.12942191544434858,0.7549611734253666,0.28207478902252103,0.3995373808583232,0.20328755604536786,0.20811137912429786,0.21039480259870064,-241.70965271786022,50.35444348576354,0.9570804329378665,1.0,0.12942191544434858
vwap_poc_spread_ticks,38,61,3.619199390111351,2.751732427888456,3.0861133321000596,0.3112853857536047,1.1566430650858424,5.517073072005267,8.126674531770082,4.355781839367869,3.130377482820297,3.9839674223426753,1.2864225781845917,1.9325477448191783,6.191833123806864,8.32867598137059,-0.2008399102856422,-0.12251941328731665,0.915444348576359,0.30863053602607626,0.184227790259348,0.3054285698976949,0.33355360229933173,0.34832583708145926,-2.1045675890672526,0.5747916171671497,0.9570804329378665,1.0,0.12251941328731665
Dist_LVN_Ticks,38,61,0.18421052631578946,0.0,1.0095560479439742,-1.0,-1.0,1.0,1.3000000000000043,0.39344262295081966,1.0,1.0372831263223197,-1.0,0.0,1.0,1.0,-0.20377199525305245,-0.12165660051768766,0.7920621225194133,0.28964711884760863,0.8444825062409351,0.3240314980236608,0.32657877538636854,0.36531734132933535,-0.6368205349439172,0.20062553925798088,0.9570804329378665,1.0,0.12165660051768766
Cumulative_Delta_AtEntry,38,61,180.8684210526316,380.5,1929.5069692491975,-2265.0,-1311.75,1456.5,2786.6000000000013,-223.327868852459,-376.0,1569.3733008360532,-2400.0,-1298.0,1001.0,1847.0,0.23558884043832232,0.11475409836065574,0.8045729076790336,0.3404141473589062,0.5377809390280203,0.28108287783562946,0.2571054224261319,0.2623688155922039,-329.9009814495255,1145.7521031061249,0.9570804329378665,1.0,0.11475409836065574
delta_persistence_1_3,38,61,0.4065745155909496,0.4022373086972751,0.06739819264831169,0.3339754674782689,0.3630924325739723,0.44073498964803315,0.4668287749669091,0.3959229232058243,0.3767258382642998,0.0592904805503365,0.3333333333333333,0.35842293906810035,0.43238095238095237,0.47754137115839246,0.17040557408544335,0.11475409836065574,0.7584124245038827,0.34040966795223593,0.17740476083426454,0.42623733800685315,0.41164378477699376,0.4097951024487756,-0.015004048174622722,0.03581302501948416,0.9570804329378665,1.0,0.11475409836065574
Dist_VWAP_Ticks,38,61,-0.2853248394223595,8.08903597548758,15.024396196780343,-18.798376763480963,-14.762004583244893,12.299910687657418,17.659587997762,2.0848645678380135,8.21148331595412,16.78507981999411,-17.26766150358897,-13.516883116883117,14.460877099440149,21.26451127819549,-0.14688683946119582,-0.11302847282139776,0.8045729076790337,0.3477542486236683,0.6998942716161053,0.4677524792085584,0.47893947844889656,0.4732633683158421,-8.497561971957822,4.164015161716568,0.9570804329378665,1.0,0.11302847282139776
