fecha,prediction_timestamp,split,born_bad_group,born_bad_reason,Result_Label,realized_ticks_for_label,MFE_ticks,MAE_ticks,Trade_Duration,Entry_price,ExecutionSide,canonical_source_file,causal_row_flag,Delta1s,Delta2s,Delta3s,Delta5s,Delta10s,PeakPositiveDelta,PeakNegativeDelta,DeltaChange1s,DeltaChangeZScore,DeltaPercentile,BuySellRatio,TradesPerSecond,ContractsPerSecond,Velocity1s,Velocity3s,Velocity5s,Acceleration1s,Acceleration3s,TicksPerSecond,CumulativeDeltaWindow,OR_WidthTicks,Dist_OR_High_Ticks,Dist_OR_Low_Ticks,Dist_VWAP_Ticks,Dist_POC_Ticks,Dist_VAH_Ticks,Dist_VAL_Ticks,Dist_HVN_Ticks,Dist_LVN_Ticks,range,Body_AtEntry,Volume_AtEntry,Delta_AtEntry,Cumulative_Delta_AtEntry,Previous_Volume_AtEntry,Previous_Delta_AtEntry,Delta_Change_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,Score_AtEntry,Buy_Imbalance_Count_AtEntry,Sell_Imbalance_Count_AtEntry,Seconds_From_Open_AtEntry,Directional_OR_Extension_Ticks_AtEntry,Directional_VWAP_Distance_Ticks_AtEntry,Nearest_OR_Edge_Distance_Ticks_AtEntry,Body_OR_Ratio_AtEntry,Signed_Delta_Share_AtEntry,Signed_Previous_Delta_Share_AtEntry,Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,PreEntry_Directional_Efficiency3_AtEntry,PreEntry_Directional_Delta_Share3_AtEntry,PreEntry_Range_Compression3_AtEntry,PreEntry_Volume_Climax_Ratio_AtEntry,Nearest_OR_Edge_Retest_Count_AtEntry,Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,Directional_CLV_AtEntry,signed_delta_1s,signed_delta_change_1s,signed_velocity_1s,signed_velocity_3s,signed_acceleration_1s,price_impact_per_100_contracts,absorption_pressure_1s,delta_share_of_volume,mean_trade_size,delta_persistence_1_3,delta_persistence_3_5,direction_consistency,velocity_consistency,flow_price_alignment,acceleration_velocity_ratio,directional_vwap_distance,directional_poc_distance,profile_confluence_4t,burst_efficiency_score,liquidity_absorption_score,seconds_from_open,minute_from_open,weekday_index,month_index,execution_side_sign,or_position_fraction,distance_nearest_or_edge_ticks,distance_nearest_profile_reference_ticks,vwap_poc_spread_ticks,signed_velocity_decay_1_5,signed_delta_decay_1_5,execution_cvd_alignment
2025-07-21,2025-07-21 13:31:39.012001200+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,03:33,23291.25,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-07-21_NY.csv,True,138,176,191,186,183,138,-11,100,3.346052032469619,1.0,2.703703703703704,284,300,3,2.0,1.2,1,1.0,3,191,25.0,3.0,28.0,10.260262989095574,5,4,13,1,2,125,10,1871,189,275,4368,264,-75,0.26,10,0,0,99.012,-140,-82.6,15,0.08,-0.1,-0.06,60.0,43,0.0,0.0,0.48,0.0,0,0.0,-0.5,138.0,100.0,3.0,2.0,1.0,1.0,46.0,0.46,1.056338028169014,0.4613526570048309,0.5842931937172775,1.0,1.0,1,0.3333333333333333,10.260262989095574,5.0,3,0.021739130434782608,32.199999999999996,99,1.65,0,7,-1.0,1.12,3.0,1,5.260262989095574,-1.8,-100.8,-1.0
2025-07-29,2025-07-29 13:31:18.977466+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:42,23626.25,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-07-29_NY.csv,True,126,152,209,214,136,126,-26,100,2.552788475321932,0.987179487179487,5.2,126,186,2,2.333333333333333,1.8,-1,-0.333333333333333,2,209,25.0,2.0,27.0,10.766178428761652,4,2,15,4,0,125,10,1590,80,1139,5955,609,-529,0.53,11,1,1,78.9775,-135,-181.54,10,0.08,-0.05,-0.1,68.33,51,0.0,0.0,0.55,0.0,0,0.0,-0.67,126.0,100.0,2.0,2.333333333333333,-1.0,1.075268817204301,63.0,0.6774193548387096,1.4761904761904763,0.5529100529100529,0.614354066985646,1.0,1.0,1,-0.5,10.766178428761652,4.0,4,0.015873015873015872,50.400000000000006,78,1.3,1,7,-1.0,1.08,2.0,0,6.766178428761652,-0.19999999999999996,-83.2,-1.0
2025-08-14,2025-08-14 13:33:01.048717700+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,0,00:14,23882.5,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-08-14_NY.csv,True,112,113,245,226,222,132,-24,111,3.581138905651156,0.988888888888889,3.604651162790698,161,198,1,1.666666666666667,1.4,1,-0.333333333333333,1,245,22.0,7.0,29.0,13.3429441260745,6,5,20,-2,-1,110,10,201,113,-1106,2934,162,-49,9.54,9,0,0,181.0487,-145,-37.36,35,0.09,-0.56,-0.06,113.33,88,-0.59,-0.04,1.03,0.85,2,0.5,-0.63,112.0,111.0,1.0,1.666666666666667,1.0,0.5050505050505051,112.0,0.5656565656565656,1.2298136645962734,0.7291666666666666,0.553469387755102,1.0,1.0,1,1.0,13.3429441260745,6.0,2,0.008928571428571428,100.8,181,3.0166666666666666,3,8,-1.0,1.3181818181818181,7.0,1,7.342944126074499,0.3999999999999999,-66.8,1.0
2025-08-19,2025-08-19 13:31:56.997593900+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:13,23728.75,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-08-19_NY.csv,True,-426,-467,-481,-500,-467,17,-426,-385,-14.99798149870989,1.0,0.142857142857143,263,568,-3,-2.0,-1.8,-1,-0.333333333333333,-3,-481,17.0,-34.0,-17.0,-18.59530601659751,-27,-33,-13,-1,1,85,85,3813,-499,-605,3902,230,-729,1.49,11,0,2,116.9976,-170,-140.26,85,1.0,-0.13,0.06,43.33,33,0.0,0.0,0.51,0.0,0,0.0,-0.7,426.0,385.0,3.0,2.0,1.0,0.528169014084507,142.0,0.75,2.159695817490494,0.3763693270735524,0.6237006237006237,1.0,1.0,1,0.3333333333333333,18.59530601659751,27.0,2,0.007042253521126761,99.39999999999999,116,1.9333333333333333,1,8,1.0,-1.0,17.0,1,8.404693983402488,-1.2,-326.0,-1.0
2025-08-20,2025-08-20 13:32:00.992565900+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:27,23377.5,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-08-20_NY.csv,True,-151,-202,-197,-191,-228,21,-151,-100,-3.042801466413277,0.983333333333333,0.383673469387755,283,339,-3,-1.333333333333333,-1.2,-1,-0.333333333333333,-3,-197,39.0,-44.0,-5.0,-19.3237883331721,-6,-30,2,1,-1,195,10,345,-151,-2034,3797,-5,-146,10.07,8,0,0,120.9926,-220,-89.72,25,0.05,-0.44,0.0,103.33,86,-0.25,0.0,0.53,0.0,1,1.0,0.5,151.0,100.0,3.0,1.333333333333333,1.0,0.8849557522123894,50.333333333333336,0.44542772861356933,1.197879858657244,0.434878587196468,0.581725888324873,1.0,1.0,1,0.3333333333333333,19.3237883331721,6.0,3,0.019867549668874173,35.233333333333334,120,2.0,2,8,1.0,-0.1282051282051282,5.0,1,13.3237883331721,-1.8,-112.8,-1.0
2025-08-21,2025-08-21 13:37:50.099613700+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,02:15,23281.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-08-21_NY.csv,True,-185,-191,-214,-267,-151,84,-185,-179,-7.397692309895649,1.0,0.229166666666667,235,295,-5,-1.0,-0.2,-6,-2.333333333333333,-5,-214,54.0,11.0,65.0,30.245199792423456,14,7,45,-1,1,270,50,2767,5,-1214,2293,-35,40,1.0,10,1,1,470.0996,55,24.01,55,0.19,0.0,-0.02,128.33,130,-0.1,-0.03,0.48,0.81,3,0.0,0.52,185.0,179.0,5.0,1.0,6.0,1.694915254237288,37.0,0.6271186440677966,1.2553191489361701,0.3855855855855856,0.7485981308411215,1.0,1.0,1,1.2,-30.245199792423456,-14.0,2,0.02702702702702703,18.5,470,7.833333333333333,3,8,1.0,1.2037037037037037,11.0,1,16.245199792423456,-4.8,-131.6,-1.0
2025-08-29,2025-08-29 13:31:16.068287300+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,5,00:07,23637.5,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-08-29_NY.csv,True,-157,-167,-168,-173,-257,28,-157,-147,-3.945811580383804,1.0,0.194871794871795,129,233,-3,-1.666666666666667,-1.0,0,-0.666666666666667,-3,-168,22.0,-25.0,-3.0,-10.618976129710253,-10,-14,-5,-2,0,110,15,1444,-226,-287,5223,375,-601,0.93,11,1,1,76.0683,-125,-103.78,15,0.14,-0.16,0.07,65.0,52,0.0,0.0,0.59,0.0,0,0.0,-0.88,157.0,147.0,3.0,1.666666666666667,-0.0,1.2875536480686696,52.333333333333336,0.6738197424892703,1.806201550387597,0.35668789808917195,0.6178571428571429,1.0,1.0,1,-0.0,10.618976129710253,10.0,2,0.01910828025477707,36.63333333333333,76,1.2666666666666666,4,8,1.0,-0.13636363636363635,3.0,0,0.6189761297102532,-2.0,-122.4,-1.0
2025-09-04,2025-09-04 13:32:58.969063500+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:22,23502.5,SELL,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-04_NY.csv,True,146,143,187,202,162,146,-14,149,6.754665410034141,1.0,7.636363636363636,161,190,2,1.333333333333333,1.2,1,0.0,2,187,24.0,12.0,36.0,15.978447133645439,14,2,22,-1,0,120,55,3028,208,930,3902,186,22,0.93,10,0,0,178.9691,-180,-50.08,60,0.46,-0.07,-0.05,91.67,71,-0.6,-0.05,0.76,0.0,1,1.0,-0.62,146.0,149.0,2.0,1.333333333333333,1.0,1.0526315789473684,73.0,0.7684210526315789,1.1801242236024845,0.4269406392694064,0.6481283422459893,1.0,1.0,1,0.5,15.978447133645439,14.0,3,0.0136986301369863,58.400000000000006,178,2.966666666666667,3,9,-1.0,1.5,12.0,0,1.9784471336454388,-0.8,-105.6,-1.0
2025-09-05,2025-09-05 13:35:23.006093400+00:00,discovery,A_WINNER,Resultado realizado positivo,TP,58.0,60,20,00:17,23838.75,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-05_NY.csv,True,-211,-237,-245,-262,-276,7,-211,-185,-5.352630789253395,0.993333333333333,0.197718631178707,187,315,-3,-1.333333333333333,-1.2,-1,0.0,-3,-245,40.0,-51.0,-11.0,-22.718597683673927,-29,-34,-11,-1,1,200,35,1585,-275,2533,2082,-132,-143,1.52,9,0,1,323.0061,-255,52.85,55,0.18,-0.17,-0.06,106.67,133,-0.31,-0.04,0.53,0.57,4,0.67,-0.56,211.0,185.0,3.0,1.333333333333333,1.0,0.9523809523809523,70.33333333333333,0.6698412698412698,1.6844919786096257,0.38704581358609796,0.6416326530612245,1.0,1.0,1,0.3333333333333333,22.718597683673927,29.0,2,0.014218009478672985,49.23333333333333,323,5.383333333333334,4,9,1.0,-0.275,11.0,1,6.281402316326073,-1.8,-158.6,1.0
2025-09-11,2025-09-11 13:36:24.142863600+00:00,discovery,D_BORN_BAD_MFE_LE_2,Perdedor con MFE <= 2 ticks,SL,-62.0,0,60,00:22,23966.25,BUY,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2025-09-11_NY.csv,True,-141,-169,-201,-335,-450,3,-141,-113,-4.769176463373088,0.993333333333333,0.27319587628866,159,247,-1,-1.333333333333333,-0.8,1,-0.666666666666667,-1,-201,18.0,-24.0,-6.0,-14.388458642572871,-13,-21,-10,0,1,90,30,1505,-409,36,1995,-157,-252,1.24,9,0,2,384.1429,-120,97.58,30,0.33,-0.27,-0.08,73.33,78,-0.09,-0.04,0.81,0.91,3,0.0,0.07,141.0,113.0,1.0,1.333333333333333,-1.0,0.4048582995951417,141.0,0.5708502024291497,1.5534591194968554,0.475177304964539,1.0,1.0,1.0,1,-1.0,14.388458642572871,13.0,2,0.0070921985815602835,126.9,384,6.4,3,9,1.0,-0.3333333333333333,6.0,0,1.3884586425728713,-0.19999999999999996,-74.0,1.0
