feature,permutation_q_bh,mann_whitney_q_bh,cliffs_delta_A_minus_B,abs_cliffs_delta,overlap_coefficient,catboost,catboost_incremental_shap,catboost_permutation,conditional_mutual_information_proxy,decision_tree,decision_tree_permutation,logistic,logistic_permutation,logistic_validation_ablation,mutual_information,random_forest,random_forest_permutation,discovery_direction_A_minus_B,discovery_threshold_mid_medians,monte_carlo_bootstrap_direction_stability,gaussian_noise_5pct_direction_stability,validation_n_A,validation_n_B,validation_direction_A_minus_B,validation_B_detectable_pct,validation_A_lost_pct,holdout_n_A,holdout_n_B,holdout_direction_A_minus_B,holdout_B_detectable_pct,holdout_A_lost_pct,direction_stable_discovery_validation_holdout,evidence_score,robust_candidate
Directional_CLV_AtEntry,0.13343328335832083,0.10254662860928562,0.8,0.8,0.41428571428571426,41.32260595688006,1.7450496938169142,0.3913333333333334,0.40358981093775426,0.6656922397090318,0.12799999999999997,1.348288524850769,0.13599999999999998,0.0,0.2411002116455414,0.30157929999118327,0.20466666666666672,1.0,-0.3725,1.0,1.0,3.0,5.0,1.0,80.0,33.33333333333333,4.0,5.0,1.0,100.0,25.0,1.0,0.406048404369244,0
signed_velocity_3s,0.6392089669450988,0.8102418593165329,-0.37857142857142856,0.37857142857142856,0.5714285714285714,3.3187845189117327,0.20375824137925494,0.0,0.048163966203161386,0.0,0.0,0.2474454066609324,-0.07000000000000003,-0.16666666666666674,0.048773672444002436,0.06761088021995827,-0.039999999999999994,-1.0,1.75,0.835,1.0,3.0,5.0,1.0,40.0,100.0,4.0,5.0,1.0,100.0,100.0,0.0,0.05853650434258092,0
Sell_Imbalance_Count_AtEntry,0.6392089669450988,0.8102418593165329,0.42857142857142855,0.42857142857142855,0.6571428571428573,4.116642956699767,0.20845252384078852,0.0,0.08700845313638203,0.0,0.0,0.6487990003124143,-0.013333333333333357,0.0,0.2616208946662246,0.03679715599886027,0.0,1.0,0.5,0.846,1.0,3.0,5.0,0.0,80.0,66.66666666666666,4.0,5.0,0.0,100.0,100.0,0.0,0.053014192612148736,0
PreEntry_Directional_Delta_Share3_AtEntry,0.6392089669450988,0.8102418593165329,-0.32857142857142857,0.32857142857142857,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050805267919975895,0
Previous_Delta_AtEntry,0.6498695096895997,0.8102418593165329,-0.32857142857142857,0.32857142857142857,0.5857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04766061980347694,0
Velocity3s,0.6392089669450988,0.8102418593165329,-0.3357142857142857,0.3357142857142857,0.6142857142857142,2.399667240396607,0.11004567605097582,0.0,0.009319479269940738,0.0,0.0,0.1076188344861192,0.0,0.0,0.0,0.035085959127730375,0.0,-1.0,0.2500000000000002,0.882,1.0,3.0,5.0,-1.0,100.0,0.0,4.0,5.0,1.0,60.0,75.0,0.0,0.0467187572394561,0
Delta5s,0.6392089669450988,0.8102418593165329,-0.38571428571428573,0.38571428571428573,0.6857142857142857,8.580310866235525,0.2795428087348489,0.021999999999999992,0.10229595898419483,0.0,0.0,0.0374442913212813,0.0,0.0,0.1750468205921505,0.09590732871099868,-0.10333333333333332,-1.0,-2.25,0.874,1.0,3.0,5.0,-1.0,80.0,0.0,4.0,5.0,1.0,60.0,75.0,0.0,0.04373670890502272,0
DeltaChangeZScore,0.6392089669450988,0.8102418593165329,-0.38571428571428573,0.38571428571428573,0.6857142857142857,8.996312467159914,0.3765230120653043,0.15733333333333333,0.07956427103685178,0.06680889288120383,0.0,0.147956604796294,0.0,0.0,0.0,0.08494030556784084,0.008000000000000007,-1.0,-0.5602845908825573,0.918,1.0,3.0,5.0,-1.0,80.0,0.0,4.0,5.0,1.0,60.0,75.0,0.0,0.04373670890502272,0
PreEntry_Volume_Climax_Ratio_AtEntry,0.6392089669450988,0.8102418593165329,0.3142857142857143,0.3142857142857143,0.6428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04049695268983586,0
Delta3s,0.6392089669450988,0.8102418593165329,-0.35714285714285715,0.35714285714285715,0.6857142857142857,6.999203206859957,0.2919213062247021,0.013999999999999997,0.11766271358119175,0.0,0.0,0.04606499379864117,0.0,0.0,0.09501735931268929,0.0718125880475422,-0.10333333333333332,-1.0,-0.75,0.895,1.0,3.0,5.0,-1.0,80.0,0.0,4.0,5.0,1.0,60.0,75.0,0.0,0.04049695268983585,0
CumulativeDeltaWindow,0.6392089669450988,0.8102418593165329,-0.35714285714285715,0.35714285714285715,0.6857142857142857,7.128411789393683,0.2912633362655752,0.021999999999999992,0.11766271358119175,0.0,0.0,0.04606499379864117,0.0,0.0,0.09501735931268929,0.08051714273528217,-0.08666666666666664,-1.0,-0.75,0.876,1.0,3.0,5.0,-1.0,80.0,0.0,4.0,5.0,1.0,60.0,75.0,0.0,0.04049695268983585,0
Buy_Imbalance_Count_AtEntry,0.6392089669450988,0.8102418593165329,-0.32857142857142857,0.32857142857142857,0.6714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03895070540531484,0
Velocity5s,0.6392089669450988,0.8102418593165329,-0.3357142857142857,0.3357142857142857,0.6857142857142857,4.687822815049247,0.1819013609223229,0.06799999999999999,0.11766271358119175,0.0,0.0,0.16677418472897254,0.0,0.0,0.03779483646516635,0.07225272959384528,0.06800000000000006,,,,,,,,,,,,,,,,0.0380671355284457,0
Signed_Delta_Share_AtEntry,0.6660259613782852,0.8102418593165329,0.25,0.25,0.5571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03697569713311843,0
DeltaChange1s,0.6392089669450988,0.8102418593165329,-0.32142857142857145,0.32142857142857145,0.6857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036447257420852266,0
Dist_OR_High_Ticks,0.6392089669450988,0.8102418593165329,-0.25,0.25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03607910330549013,0
execution_side_sign,0.6392089669450988,0.8102418593165329,0.3142857142857143,0.3142857142857143,0.6857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03563731836705555,0
BuySellRatio,0.6392089669450988,0.8102418593165329,-0.3,0.3,0.6857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034017440259462114,0
Dist_VAH_Ticks,0.6392089669450988,0.8102418593165329,-0.3357142857142857,0.3357142857142857,0.7285714285714285,0.9853449420019509,0.04033485725155419,0.0,0.0737958152833556,0.0,0.0,0.18200474240553446,0.0,0.0,0.0,0.034189500952659525,-0.006666666666666665,,,,,,,,,,,,,,,,0.03287616250183947,0
Dist_OR_Low_Ticks,0.6392089669450988,0.8102418593165329,-0.3142857142857143,0.3142857142857143,0.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03239756215186869,0
Dist_POC_Ticks,0.6392089669450988,0.8102418593165329,-0.2357142857142857,0.2357142857142857,0.6428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030372714517376893,0
Dist_VWAP_Ticks,0.6392089669450988,0.8102418593165329,-0.34285714285714286,0.34285714285714286,0.7571428571428572,2.5857699034667316,0.07607185992599565,0.0,0.10975607433982831,0.0,0.0,0.07863167542958321,0.0,0.0,0.0,0.04204135593365372,0.0,-1.0,-1.135420441687267,0.878,1.0,3.0,5.0,-1.0,100.0,0.0,4.0,5.0,1.0,60.0,100.0,0.0,0.03004137581355095,0
TradesPerSecond,0.7239991115553335,0.8102418593165329,0.2357142857142857,0.2357142857142857,0.5428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029740503897711004,0
Velocity1s,0.6392089669450988,0.8102418593165329,-0.22142857142857142,0.22142857142857142,0.6285714285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029673221698188826,0
TicksPerSecond,0.6392089669450988,0.8102418593165329,-0.22142857142857142,0.22142857142857142,0.6285714285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029673221698188826,0
mean_trade_size,0.6392089669450988,0.8102418593165329,-0.35714285714285715,0.35714285714285715,0.7714285714285715,8.879123336944813,0.4227346391053348,0.12666666666666665,0.24157704098730298,0.2674988674097644,0.0593333333333333,0.6279344164661604,-0.0033333333333333483,0.0,0.06896216450749448,0.07726575312044548,-0.12666666666666665,-1.0,1.285930878509618,0.856,1.0,3.0,5.0,-1.0,40.0,33.33333333333333,4.0,5.0,-1.0,20.0,25.0,1.0,0.02945232922897153,0
Delta1s,0.6392089669450988,0.8102418593165329,-0.24285714285714285,0.24285714285714285,0.6714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028789651821319675,0
Delta2s,0.6392089669450988,0.8102418593165329,-0.24285714285714285,0.24285714285714285,0.6857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027537927829088378,0
burst_efficiency_score,0.6660259613782852,0.8102418593165329,-0.18571428571428572,0.18571428571428572,0.557142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027467660727459407,0
Cumulative_Delta_AtEntry,0.6660259613782852,0.8102418593165329,-0.18571428571428572,0.18571428571428572,0.5571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027467660727459403,0
Delta10s,0.6392089669450988,0.8102418593165329,-0.22857142857142856,0.22857142857142856,0.6714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02709614289065381,0
weekday_index,0.7239991115553335,0.8102418593165329,-0.2785714285714286,0.2785714285714286,0.6714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025262530299476105,0
Dist_VAL_Ticks,0.6392089669450988,0.8102418593165329,-0.2785714285714286,0.2785714285714286,0.7571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02440861784851016,0
Nearest_OR_Edge_Retest_Count_AtEntry,0.8092082990762682,0.8102418593165329,0.22857142857142856,0.22857142857142856,0.48571428571428577,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022427759128993772,0
delta_persistence_1_3,0.6392089669450988,0.8102418593165329,-0.17142857142857143,0.17142857142857143,0.6714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02032210716799035,0
PeakPositiveDelta,0.6392089669450988,0.8102418593165329,-0.17857142857142858,0.17857142857142858,0.6857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020248476344917925,0
or_position_fraction,0.6392089669450988,0.8102418593165329,-0.21428571428571427,0.21428571428571427,0.7428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01988032222955578,0
Dist_LVN_Ticks,0.7239991115553335,0.8102418593165329,0.2357142857142857,0.2357142857142857,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01951720568287285,0
PeakNegativeDelta,0.6392089669450988,0.8102418593165329,-0.17142857142857143,0.17142857142857143,0.6857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01943853729112121,0
seconds_from_open,0.6392089669450988,0.8102418593165329,0.32857142857142857,0.32857142857142857,0.8428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018628598237324507,0
minute_from_open,0.6392089669450988,0.8102418593165329,0.32857142857142857,0.32857142857142857,0.8428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018628598237324507,0
Seconds_From_Open_AtEntry,0.6392089669450988,0.8102418593165329,0.32857142857142857,0.32857142857142857,0.8428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018628598237324493,0
DeltaPercentile,0.7239991115553335,0.8102418593165329,0.19285714285714287,0.19285714285714287,0.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015208212220420406,0
signed_velocity_decay_1_5,0.7239991115553335,0.8102418593165329,0.17142857142857143,0.17142857142857143,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01419433140572571,0
absorption_pressure_1s,0.7239991115553335,0.8102418593165329,0.18571428571428572,0.18571428571428572,0.7428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013180450591031019,0
Previous_Volume_AtEntry,0.7239991115553335,0.950287418263277,-0.08571428571428572,0.08571428571428572,0.44285714285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013180450591031014,0
liquidity_absorption_score,0.7239991115553335,0.8102418593165329,0.18571428571428572,0.18571428571428572,0.7428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013180450591031012,0
Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,0.7239991115553335,0.8102418593165329,0.16428571428571428,0.16428571428571428,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01295514374332108,0
Directional_OR_Extension_Ticks_AtEntry,0.7425524525872657,0.8247896665555235,0.16428571428571428,0.16428571428571428,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012688486265341909,0
price_impact_per_100_contracts,0.7239991115553335,0.8102418593165329,-0.21428571428571427,0.21428571428571427,0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011828609504771426,0
Directional_VWAP_Distance_Ticks_AtEntry,0.7239991115553335,0.9207564603773494,0.1,0.1,0.6142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010645748554294279,0
BreakOut_TICKS_PER_SEC_AtEntry,0.6392089669450988,0.8102418593165329,-0.22857142857142856,0.22857142857142856,0.8714285714285713,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010602838522429759,0
signed_velocity_1s,0.6960769615192404,0.8102418593165329,-0.17142857142857143,0.17142857142857143,0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010420218462197475,0
Body_AtEntry,0.7310526554904367,0.8496705335634456,-0.15,0.15,0.7428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01037368328822601,0
Signed_Previous_Delta_Share_AtEntry,0.8387234953951596,0.8496705335634456,-0.14285714285714285,0.14285714285714285,0.5857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009544935986817087,0
Acceleration3s,0.7239991115553335,0.8892988150924966,-0.12142857142857143,0.12142857142857143,0.7571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00813920987352129,0
directional_vwap_distance,0.7239991115553335,0.8102418593165329,-0.17142857142857143,0.17142857142857143,0.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006759205431297952,0
directional_poc_distance,0.7402370243449703,0.8496705335634456,-0.15,0.15,0.8285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00667961937398648,0
Delta_Change_AtEntry,0.9364701211038315,0.8102418593165329,0.22857142857142856,0.22857142857142856,0.5428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006638224080579235,0
Dist_HVN_Ticks,0.7420763302559247,0.8892988150924966,-0.12142857142857143,0.12142857142857143,0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006263860550927545,0
Acceleration1s,0.7425524525872657,0.9681579186136078,0.07142857142857142,0.07142857142857142,0.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005254031579851722,0
Delta_AtEntry,0.7239991115553335,0.9681579186136078,-0.05714285714285714,0.05714285714285714,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004731443801908569,0
profile_confluence_4t,0.9364701211038315,0.8102418593165329,0.18571428571428572,0.18571428571428572,0.6714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038766191408070145,0
delta_persistence_3_5,0.8464673913043479,0.9681579186136078,-0.05714285714285714,0.05714285714285714,0.6142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033839840283939656,0
Body_OR_Ratio_AtEntry,0.7961519240379811,0.9681579186136078,-0.05714285714285714,0.05714285714285714,0.842857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018304725188426176,0
Prior_Closed_ATR5_Ticks_AtEntry,0.805703705524287,0.9829964681214056,-0.04285714285714286,0.04285714285714286,0.8142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001546439894806696,0
Nearest_OR_Edge_Distance_Ticks_AtEntry,0.9364701211038315,0.8892988150924966,0.11428571428571428,0.11428571428571428,0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001452111517626708,0
distance_nearest_or_edge_ticks,0.9364701211038315,0.8892988150924966,0.11428571428571428,0.11428571428571428,0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001452111517626708,0
execution_cvd_alignment,0.9189789720524354,0.8622803811875285,-0.11428571428571428,0.11428571428571428,0.8857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010582338344171697,0
Volume_AtEntry,0.9364701211038315,0.9681579186136078,0.05714285714285714,0.05714285714285714,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007260557588133536,0
acceleration_velocity_ratio,0.969147005444646,0.9681579186136078,0.05714285714285714,0.05714285714285714,0.6142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006800251861180053,0
distance_nearest_profile_reference_ticks,0.9353807944512592,0.8892988150924966,0.1,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006461920554874078,0
signed_delta_change_1s,0.9364701211038315,0.9829964681214056,0.04285714285714286,0.04285714285714286,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005445418191100152,0
delta_share_of_volume,0.9807916554543242,0.950287418263277,-0.08571428571428572,0.08571428571428572,0.7142857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00047040843785328397,0
signed_delta_decay_1_5,0.9532666099382742,1.0,-0.02142857142857143,0.02142857142857143,0.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014306139814814023,0
