comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_A,2022,Delta1s,FLOW_BURST_QUALITY,10,19,-141.0,-124.0,-1.0,-0.19473684210526315
D_vs_A,2023,Delta1s,FLOW_BURST_QUALITY,16,21,130.0,-149.0,1.0,-0.002976190476190476
D_vs_A,2024,Delta1s,FLOW_BURST_QUALITY,18,27,111.5,109.0,1.0,0.1111111111111111
D_vs_A,2025,Delta1s,FLOW_BURST_QUALITY,22,17,-142.5,-138.0,-1.0,-0.2620320855614973
D_vs_A,2026,Delta1s,FLOW_BURST_QUALITY,5,7,120.0,140.0,-1.0,-0.02857142857142857
D_vs_A,2022,Delta2s,FLOW_BURST_QUALITY,10,19,-168.5,-134.0,-1.0,-0.21052631578947367
D_vs_A,2023,Delta2s,FLOW_BURST_QUALITY,16,21,147.0,-166.0,1.0,-0.05357142857142857
D_vs_A,2024,Delta2s,FLOW_BURST_QUALITY,18,27,121.0,128.0,-1.0,0.006172839506172839
D_vs_A,2025,Delta2s,FLOW_BURST_QUALITY,22,17,-158.5,-141.0,-1.0,-0.22994652406417113
D_vs_A,2026,Delta2s,FLOW_BURST_QUALITY,5,7,134.0,148.0,-1.0,-0.02857142857142857
D_vs_A,2022,Delta3s,FLOW_BURST_QUALITY,10,19,-175.5,-158.0,-1.0,-0.16842105263157894
D_vs_A,2023,Delta3s,FLOW_BURST_QUALITY,16,21,167.0,-166.0,1.0,-0.002976190476190476
D_vs_A,2024,Delta3s,FLOW_BURST_QUALITY,18,27,169.5,150.0,1.0,0.07818930041152264
D_vs_A,2025,Delta3s,FLOW_BURST_QUALITY,22,17,-175.5,-150.0,-1.0,-0.2887700534759358
D_vs_A,2026,Delta3s,FLOW_BURST_QUALITY,5,7,203.0,165.0,1.0,0.2
D_vs_A,2022,Delta5s,FLOW_BURST_QUALITY,10,19,-169.0,-172.0,1.0,-0.08421052631578947
D_vs_A,2023,Delta5s,FLOW_BURST_QUALITY,16,21,169.5,-163.0,1.0,0.023809523809523808
D_vs_A,2024,Delta5s,FLOW_BURST_QUALITY,18,27,175.0,152.0,1.0,0.06378600823045268
D_vs_A,2025,Delta5s,FLOW_BURST_QUALITY,22,17,-175.0,-114.0,-1.0,-0.31016042780748665
D_vs_A,2026,Delta5s,FLOW_BURST_QUALITY,5,7,191.0,152.0,1.0,0.14285714285714285
D_vs_A,2022,Delta10s,FLOW_BURST_QUALITY,10,19,-194.5,-179.0,-1.0,-0.02631578947368421
D_vs_A,2023,Delta10s,FLOW_BURST_QUALITY,16,21,181.5,-222.0,1.0,0.07142857142857142
D_vs_A,2024,Delta10s,FLOW_BURST_QUALITY,18,27,202.5,176.0,1.0,-0.06378600823045268
D_vs_A,2025,Delta10s,FLOW_BURST_QUALITY,22,17,-169.5,-146.0,-1.0,-0.18181818181818182
D_vs_A,2026,Delta10s,FLOW_BURST_QUALITY,5,7,205.0,117.0,1.0,0.3142857142857143
D_vs_A,2022,PeakPositiveDelta,FLOW_BURST_QUALITY,10,19,56.0,32.0,1.0,0.005263157894736842
D_vs_A,2023,PeakPositiveDelta,FLOW_BURST_QUALITY,16,21,130.0,29.0,1.0,0.09821428571428571
D_vs_A,2024,PeakPositiveDelta,FLOW_BURST_QUALITY,18,27,111.5,109.0,1.0,0.0720164609053498
D_vs_A,2025,PeakPositiveDelta,FLOW_BURST_QUALITY,22,17,22.5,28.0,-1.0,-0.09090909090909091
D_vs_A,2026,PeakPositiveDelta,FLOW_BURST_QUALITY,5,7,120.0,140.0,-1.0,-0.11428571428571428
D_vs_A,2022,PeakNegativeDelta,FLOW_BURST_QUALITY,10,19,-141.0,-124.0,-1.0,-0.13157894736842105
D_vs_A,2023,PeakNegativeDelta,FLOW_BURST_QUALITY,16,21,-40.5,-149.0,1.0,0.24107142857142858
D_vs_A,2024,PeakNegativeDelta,FLOW_BURST_QUALITY,18,27,-29.0,-21.0,-1.0,-0.11728395061728394
D_vs_A,2025,PeakNegativeDelta,FLOW_BURST_QUALITY,22,17,-142.5,-138.0,-1.0,-0.14705882352941177
D_vs_A,2026,PeakNegativeDelta,FLOW_BURST_QUALITY,5,7,-14.0,-33.0,1.0,0.17142857142857143
D_vs_A,2022,DeltaChange1s,FLOW_BURST_QUALITY,10,19,-109.5,-96.0,-1.0,-0.14736842105263157
D_vs_A,2023,DeltaChange1s,FLOW_BURST_QUALITY,16,21,104.5,-115.0,1.0,0.047619047619047616
D_vs_A,2024,DeltaChange1s,FLOW_BURST_QUALITY,18,27,93.5,77.0,1.0,0.17078189300411523
