feature,physical_family,correlation_cluster_abs_spearman_ge_0_65
Dist_HVN_Ticks,AUCTION_THEORY,1
Dist_LVN_Ticks,AUCTION_THEORY,2
Acceleration1s,PERSISTENCE_EXHAUSTION,3
Acceleration3s,PERSISTENCE_EXHAUSTION,3
BuySellRatio,OTHER_CAUSAL_CONTEXT,3
CumulativeDeltaWindow,FLOW_BURST_QUALITY,3
Delta10s,FLOW_BURST_QUALITY,3
Delta1s,FLOW_BURST_QUALITY,3
Delta2s,FLOW_BURST_QUALITY,3
Delta3s,FLOW_BURST_QUALITY,3
Delta5s,FLOW_BURST_QUALITY,3
DeltaChange1s,FLOW_BURST_QUALITY,3
DeltaChangeZScore,FLOW_BURST_QUALITY,3
Delta_AtEntry,FLOW_BURST_QUALITY,3
Dist_OR_High_Ticks,AUCTION_THEORY,3
Dist_OR_Low_Ticks,AUCTION_THEORY,3
Dist_POC_Ticks,AUCTION_THEORY,3
Dist_VAH_Ticks,AUCTION_THEORY,3
Dist_VAL_Ticks,AUCTION_THEORY,3
Dist_VWAP_Ticks,AUCTION_THEORY,3
PeakNegativeDelta,FLOW_BURST_QUALITY,3
PeakPositiveDelta,FLOW_BURST_QUALITY,3
Profile_Position_Percentile,AUCTION_THEORY,3
TicksPerSecond,TIME_REGIME,3
Velocity1s,PERSISTENCE_EXHAUSTION,3
Velocity3s,PERSISTENCE_EXHAUSTION,3
Velocity5s,PERSISTENCE_EXHAUSTION,3
execution_side_sign,OTHER_CAUSAL_CONTEXT,3
or_position_fraction,AUCTION_THEORY,3
Delta_Change_AtEntry,FLOW_BURST_QUALITY,4
Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,5
Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,6
Previous_Delta_AtEntry,FLOW_BURST_QUALITY,7
Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,8
Profile_Skewness,AUCTION_THEORY,9
Score_AtEntry,OTHER_CAUSAL_CONTEXT,10
Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,11
execution_cvd_alignment,OTHER_CAUSAL_CONTEXT,12
