feature_a,family_a,feature_b,family_b,spearman,pearson,abs_spearman,redundant_ge_0_90
Velocity1s,PERSISTENCE_EXHAUSTION,TicksPerSecond,TIME_REGIME,1.0,1.0,1.0,1
OR_WidthTicks,AUCTION_THEORY,range,OTHER_CAUSAL_CONTEXT,1.0,1.0,1.0,1
Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,distance_nearest_or_edge_ticks,AUCTION_THEORY,1.0,0.9999999999999994,1.0,1
Delta3s,FLOW_BURST_QUALITY,CumulativeDeltaWindow,FLOW_BURST_QUALITY,1.0,1.0,1.0,1
seconds_from_open,TIME_REGIME,minute_from_open,TIME_REGIME,1.0,0.9999999999999999,1.0,1
Seconds_From_Open_AtEntry,TIME_REGIME,seconds_from_open,TIME_REGIME,0.9998972505969597,0.9999999441317484,0.9998972505969597,1
Seconds_From_Open_AtEntry,TIME_REGIME,minute_from_open,TIME_REGIME,0.9998972505969597,0.9999999441317482,0.9998972505969597,1
absorption_pressure_1s,EFFORT_VS_RESULT,burst_efficiency_score,EFFORT_VS_RESULT,-0.999748470334271,-0.5057543314985182,0.999748470334271,1
absorption_pressure_1s,EFFORT_VS_RESULT,liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,0.9855846964787106,0.9991394179325503,0.9855846964787106,1
burst_efficiency_score,EFFORT_VS_RESULT,liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,-0.9853322792961432,-0.4915845036060105,0.9853322792961432,1
Profile_Std_Ticks,AUCTION_THEORY,Profile_Effective_Nodes,AUCTION_THEORY,0.9800804828973843,0.9807970315761011,0.9800804828973843,1
Delta1s,FLOW_BURST_QUALITY,Delta2s,FLOW_BURST_QUALITY,0.9769313925423113,0.9951044982829621,0.9769313925423113,1
Delta1s,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.9716171320638416,0.9931470210863004,0.9716171320638416,1
