family_a,family_b,pairs,median_abs_spearman,p90_abs_spearman,redundant_pairs_ge_0_90
EFFORT_VS_RESULT,EFFORT_VS_RESULT,10,0.8201827512851181,0.9663918388582324,4
TEMPORAL_SEQUENCE,TEMPORAL_SEQUENCE,3,0.6337979438565641,0.7256753805140639,0
EFFORT_VS_RESULT,PERSISTENCE_EXHAUSTION,34,0.38313942569348924,0.8340283979734721,0
OTHER_CAUSAL_CONTEXT,EFFORT_VS_RESULT,24,0.28616051948812743,0.4087182495784685,0
ACCEPTANCE_RECLAIM,ACCEPTANCE_RECLAIM,6,0.27971825353491475,0.4944196991420384,0
EFFORT_VS_RESULT,OTHER_CAUSAL_CONTEXT,31,0.23270720671933684,0.7953582888145925,3
EFFORT_VS_RESULT,AUCTION_THEORY,62,0.19712897591465578,0.45820072351803914,0
TEMPORAL_SEQUENCE,PERSISTENCE_EXHAUSTION,30,0.18877508059946776,0.2873269109792482,0
EFFORT_VS_RESULT,ACCEPTANCE_RECLAIM,4,0.14943859383278807,0.18310029362546942,0
ACCEPTANCE_RECLAIM,TEMPORAL_SEQUENCE,6,0.14702684169875485,0.17199821667896514,0
AUCTION_THEORY,AUCTION_THEORY,465,0.1334640841910727,0.7668226962809789,18
OTHER_CAUSAL_CONTEXT,AUCTION_THEORY,112,0.12929716568362098,0.5974488150998788,0
AUCTION_THEORY,ACCEPTANCE_RECLAIM,66,0.12419067603389496,0.2654245841531305,0
PERSISTENCE_EXHAUSTION,AUCTION_THEORY,225,0.12207860254932917,0.732467423190727,0
TEMPORAL_SEQUENCE,AUCTION_THEORY,66,0.1216487894042486,0.27536049490161474,0
FLOW_BURST_QUALITY,FLOW_BURST_QUALITY,378,0.11885964776967245,0.8273152471524005,42
PERSISTENCE_EXHAUSTION,FLOW_BURST_QUALITY,107,0.1172848753686026,0.49329470699641303,0
EFFORT_VS_RESULT,FLOW_BURST_QUALITY,36,0.10990371277926278,0.33394604915777476,0
TIME_REGIME,OTHER_CAUSAL_CONTEXT,34,0.10984027927293884,0.21695376811239783,0
ACCEPTANCE_RECLAIM,TIME_REGIME,18,0.10723378399628261,0.5024342448199667,0
OTHER_CAUSAL_CONTEXT,PERSISTENCE_EXHAUSTION,76,0.10632706638751976,0.4230195782472649,1
