feature_a,feature_b,mutual_information_symmetric
Delta3s,CumulativeDeltaWindow,3.605285784497841
seconds_from_open,minute_from_open,3.570261018090095
Seconds_From_Open_AtEntry,seconds_from_open,3.5322502109303517
Seconds_From_Open_AtEntry,minute_from_open,3.5322502109303517
OR_WidthTicks,range,3.278614051975044
Nearest_OR_Edge_Distance_Ticks_AtEntry,distance_nearest_or_edge_ticks,2.9197531532205283
Velocity1s,TicksPerSecond,2.7968390303064057
Dist_VWAP_Ticks,directional_vwap_distance,2.471157790187916
Dist_POC_Ticks,directional_poc_distance,2.4488496988512916
absorption_pressure_1s,burst_efficiency_score,2.290274488689958
DeltaChange1s,signed_delta_change_1s,2.1903421834858934
absorption_pressure_1s,liquidity_absorption_score,2.1850597082982475
TicksPerSecond,signed_velocity_1s,2.107947276764653
Velocity1s,signed_velocity_1s,2.107947276764653
Velocity3s,signed_velocity_3s,2.0889008783612404
Acceleration1s,signed_acceleration_1s,2.020859362652194
Delta1s,signed_delta_1s,1.9694411485097847
Delta1s,PeakNegativeDelta,1.9337068157611648
Profile_Std_Ticks,Profile_Effective_Nodes,1.7647837210025323
Delta1s,PeakPositiveDelta,1.7612305793171958
Delta1s,DeltaChange1s,1.7251261378966949
Delta1s,Delta2s,1.7026988000635501
Dist_VWAP_Ticks,Dist_VAL_Ticks,1.667003855642381
Delta2s,CumulativeDeltaWindow,1.656992133355589
Delta2s,Delta3s,1.656992133355589
signed_delta_1s,signed_delta_decay_1_5,1.5913264686869073
burst_efficiency_score,liquidity_absorption_score,1.5793573998760302
Delta3s,Delta5s,1.4467633955881771
Delta5s,CumulativeDeltaWindow,1.4467633955881771
signed_velocity_1s,signed_velocity_decay_1_5,1.4261797972847154
Dist_VWAP_Ticks,Dist_VAH_Ticks,1.4166336769537515
Dist_POC_Ticks,Dist_VAH_Ticks,1.4164470451137436
price_impact_per_100_contracts,burst_efficiency_score,1.4037000365934273
BuySellRatio,delta_share_of_volume,1.3976017755097119
Velocity1s,signed_velocity_decay_1_5,1.3701066350684232
TicksPerSecond,signed_velocity_decay_1_5,1.3701066350684232
Dist_OR_High_Ticks,Nearest_OR_Edge_Distance_Ticks_AtEntry,1.367454770592951
Dist_OR_High_Ticks,distance_nearest_or_edge_ticks,1.367454770592951
Dist_OR_Low_Ticks,Directional_OR_Extension_Ticks_AtEntry,1.3627536188953364
Dist_OR_High_Ticks,Directional_OR_Extension_Ticks_AtEntry,1.3413202578361134
PeakPositiveDelta,signed_delta_1s,1.3262861482978319
signed_velocity_1s,liquidity_absorption_score,1.3197950546352608
PeakNegativeDelta,signed_delta_1s,1.3189588861982717
Delta1s,signed_delta_decay_1_5,1.313356922708825
Dist_OR_Low_Ticks,Dist_VAL_Ticks,1.3108568276061237
Delta2s,PeakNegativeDelta,1.3059564157231727
Delta1s,CumulativeDeltaWindow,1.3003122259093434
Delta1s,Delta3s,1.3003122259093434
Dist_OR_Low_Ticks,Dist_VWAP_Ticks,1.2954642109236747
Velocity3s,Velocity5s,1.2827298026593272
Dist_OR_High_Ticks,Dist_VWAP_Ticks,1.2545572123349202
Delta5s,Delta10s,1.2539016487686667
DeltaChange1s,DeltaChangeZScore,1.2521140394821904
Dist_POC_Ticks,Dist_VAL_Ticks,1.23828579585129
Directional_OR_Extension_Ticks_AtEntry,directional_vwap_distance,1.2314449510329288
PeakNegativeDelta,DeltaChange1s,1.2275354473927433
PreBurst_Rotation_Index_10s,PreBurst_Local_Entropy_10s,1.2078271349429253
Acceleration1s,TicksPerSecond,1.1942074429070837
Velocity1s,Acceleration1s,1.1942074429070837
Delta1s,DeltaChangeZScore,1.1861915593016223
Profile_Effective_Nodes,Directional_OR_Extension_Ticks_AtEntry,1.1709270093482718
price_impact_per_100_contracts,absorption_pressure_1s,1.164389744698461
Delta2s,DeltaChange1s,1.1544806216864754
Velocity1s,liquidity_absorption_score,1.1336281784223734
TicksPerSecond,liquidity_absorption_score,1.1336281784223734
Velocity3s,TicksPerSecond,1.1296823741390676
Velocity1s,Velocity3s,1.1296823741390676
Profile_Std_Ticks,Directional_OR_Extension_Ticks_AtEntry,1.1138213831896533
PeakPositiveDelta,DeltaChange1s,1.1034862389902644
signed_velocity_1s,burst_efficiency_score,1.0973437225996225
DeltaChange1s,CumulativeDeltaWindow,1.0970726036834018
Delta3s,DeltaChange1s,1.0970726036834018
Acceleration3s,TicksPerSecond,1.0957095830683719
Velocity1s,Acceleration3s,1.0957095830683719
signed_delta_1s,signed_delta_change_1s,1.0935546750899654
Dist_VWAP_Ticks,Dist_POC_Ticks,1.0900969969184744
Delta2s,Delta5s,1.0891082342526686
Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,1.0750201784984914
Dist_OR_Low_Ticks,or_position_fraction,1.0696150840072323
PreBurst_Price_Per_Delta_3s,PreBurst_Price_Per_Volume_3s,1.0670843648144246
Body_AtEntry,distance_nearest_or_edge_ticks,1.0653308426241166
Body_AtEntry,Nearest_OR_Edge_Distance_Ticks_AtEntry,1.0653308426241166
signed_delta_change_1s,signed_delta_decay_1_5,1.0549748970204678
Delta2s,PeakPositiveDelta,1.049657862953974
Dist_OR_Low_Ticks,Dist_POC_Ticks,1.0428888783685277
Velocity5s,TicksPerSecond,1.0408607226519215
Velocity1s,Velocity5s,1.0408607226519215
TradesPerSecond,ContractsPerSecond,1.039844393240364
Dist_VAL_Ticks,directional_vwap_distance,1.0281690964185053
price_impact_per_100_contracts,liquidity_absorption_score,1.0267423374708673
Delta5s,DeltaChange1s,1.0216039796392897
Dist_VAH_Ticks,Dist_VAL_Ticks,1.0193758181662202
PeakNegativeDelta,CumulativeDeltaWindow,1.0173617491820799
Delta3s,PeakNegativeDelta,1.0173617491820799
Delta1s,signed_delta_change_1s,1.01578461622963
Profile_Concentration,Profile_Effective_Nodes,0.9944697345531175
Dist_OR_High_Ticks,or_position_fraction,0.9869277593328969
TicksPerSecond,burst_efficiency_score,0.9799471485603488
Velocity1s,burst_efficiency_score,0.9799471485603488
signed_acceleration_1s,acceleration_velocity_ratio,0.9772525257577431
Delta1s,Delta5s,0.9753194281442146
PeakNegativeDelta,DeltaChangeZScore,0.9708395465137885
Delta2s,DeltaChangeZScore,0.965282599880849
PreBurst_Price_Per_Delta_3s,signed_velocity_3s,0.9576566219078462
signed_acceleration_1s,signed_velocity_decay_1_5,0.9533805461335514
Profile_Effective_Nodes,Profile_Local_Maxima_Count,0.9331753715842981
Dist_OR_Low_Ticks,Nearest_OR_Edge_Distance_Ticks_AtEntry,0.9329582262306986
Dist_OR_Low_Ticks,distance_nearest_or_edge_ticks,0.9329582262306986
Delta5s,DeltaChangeZScore,0.927918673220097
Dist_OR_High_Ticks,Dist_VAH_Ticks,0.9229625592794153
DeltaChange1s,signed_delta_1s,0.9197796939451455
Delta1s,Delta10s,0.9134230418747038
Dist_VWAP_Ticks,Directional_OR_Extension_Ticks_AtEntry,0.9030621594628203
Delta10s,DeltaChange1s,0.8978918457981322
Dist_OR_High_Ticks,Dist_OR_Low_Ticks,0.8975060637230281
Delta2s,signed_delta_1s,0.8972543331364524
Dist_OR_Low_Ticks,Dist_VAH_Ticks,0.8909318788301943
Delta5s,PeakNegativeDelta,0.8887654612357989
Delta2s,Delta10s,0.8794458844701549
Delta5s,PeakPositiveDelta,0.8752128486813096
Delta10s,CumulativeDeltaWindow,0.871259487875274
Delta3s,Delta10s,0.871259487875274
Dist_OR_High_Ticks,Dist_VAL_Ticks,0.8678760474483194
signed_velocity_1s,absorption_pressure_1s,0.8557196841141685
Velocity1s,price_impact_per_100_contracts,0.8535342649410769
TicksPerSecond,price_impact_per_100_contracts,0.8535342649410769
PeakPositiveDelta,CumulativeDeltaWindow,0.8506217252609134
Delta3s,PeakPositiveDelta,0.8506217252609134
DeltaChange1s,signed_delta_decay_1_5,0.8501140466978065
PeakPositiveDelta,DeltaChangeZScore,0.849290991573787
Delta3s,DeltaChangeZScore,0.8407943037963359
DeltaChangeZScore,CumulativeDeltaWindow,0.8407943037963359
TicksPerSecond,signed_acceleration_1s,0.8345671549279863
Velocity1s,signed_acceleration_1s,0.8345671549279863
signed_velocity_1s,price_impact_per_100_contracts,0.8256477064735124
Profile_Std_Ticks,Profile_Concentration,0.8254914208304172
signed_velocity_1s,signed_acceleration_1s,0.824730758519951
Delta10s,PeakPositiveDelta,0.8197781364747996
Previous_Delta_AtEntry,Signed_Previous_Delta_Share_AtEntry,0.8162473107930948
Dist_VWAP_Ticks,Profile_Position_Percentile,0.8137922012995689
Velocity3s,PreBurst_Price_Per_Delta_3s,0.8108443584696481
Profile_Local_Maxima_Count,Directional_OR_Extension_Ticks_AtEntry,0.8057698274836591
Profile_Std_Ticks,Profile_Local_Maxima_Count,0.7970054953650485
Dist_VAH_Ticks,directional_vwap_distance,0.7947500515950499
Dist_VAH_Ticks,directional_poc_distance,0.7929410487021107
Dist_VAL_Ticks,or_position_fraction,0.7876405738585377
burst_efficiency_score,signed_velocity_decay_1_5,0.7862943608168351
liquidity_absorption_score,signed_velocity_decay_1_5,0.7805968784749606
Velocity3s,Acceleration3s,0.7799291202636061
PeakNegativeDelta,signed_delta_decay_1_5,0.779412808993708
TicksPerSecond,absorption_pressure_1s,0.7736034416668933
Velocity1s,absorption_pressure_1s,0.7736034416668933
Delta2s,Delta_AtEntry,0.7684054802915763
Acceleration1s,signed_velocity_decay_1_5,0.7654233583210461
Dist_VAL_Ticks,Profile_Position_Percentile,0.7629552997574607
Profile_Std_Ticks,directional_vwap_distance,0.7581360257202956
CumulativeDeltaWindow,Delta_AtEntry,0.7508591339507866
Delta3s,Delta_AtEntry,0.7508591339507866
Delta2s,BuySellRatio,0.750166529945814
Delta10s,DeltaChangeZScore,0.750030544242166
Dist_POC_Ticks,Profile_Position_Percentile,0.7499841197971719
BuySellRatio,CumulativeDeltaWindow,0.7414856410462785
Delta3s,BuySellRatio,0.7414856410462785
DeltaChange1s,Delta_AtEntry,0.7392108994009439
DeltaChangeZScore,Delta_AtEntry,0.738387850242358
Velocity1s,Dist_POC_Ticks,0.7360202285760693
TicksPerSecond,Dist_POC_Ticks,0.7360202285760693
Dist_OR_High_Ticks,Dist_POC_Ticks,0.7346489609965492
Acceleration1s,signed_velocity_1s,0.7321430472215926
PeakPositiveDelta,signed_delta_decay_1_5,0.7315054514919708
