feature,physical_family,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Delta1s,FLOW_BURST_QUALITY,-0.19496316780742495,0.02280727989062815,0.016698166555557267,0.04764779592142369,-0.015339385022789077,0.015478456035283826,-0.03400758922029528,0.018565685727499368,0.10294734884521739,0.01495916656238325
Delta2s,FLOW_BURST_QUALITY,-0.19424229748328425,0.023169764478827792,0.014978393531870818,0.04832783583083075,-0.013188131333830184,0.004919368282860968,-0.025854975910108765,0.02471822904958023,0.1078203962995784,0.011299097608181801
Delta3s,FLOW_BURST_QUALITY,-0.19578934844009585,0.019894981876614426,0.01327895560509787,0.04907365650171269,-0.010801336790668303,0.005349300161463594,-0.028613195806301617,0.026772426164491964,0.10162303069596901,0.015741239310662986
Delta5s,FLOW_BURST_QUALITY,-0.1940587111950393,0.01850177736887637,0.016628409442915257,0.05221400185722633,-0.013600745499437066,0.004822312186077576,-0.01754428738865041,0.029363740395394695,0.1028986757854859,0.01210653785006293
Delta10s,FLOW_BURST_QUALITY,-0.19509307793464165,0.020443275122170035,0.023587157958113503,0.04413328383474513,-0.00993127872349625,0.01392786145316028,0.004210243216178425,0.024000587718236457,0.07341728675902523,0.007370801309358785
PeakPositiveDelta,FLOW_BURST_QUALITY,-0.17966769913657837,0.027485885459934578,-0.0430756324655322,0.0716385663471909,0.1084829600022255,0.023293083252784424,-0.012978243499183972,0.009711467343859123,0.12064092958061018,-0.006136862286047144
PeakNegativeDelta,FLOW_BURST_QUALITY,-0.18236053624410756,0.01692779627844475,0.07310994619403233,0.014434543290147192,-0.12327511430379834,0.0013819588693150253,-0.040385997915981686,0.026760281522900095,0.06146703843477194,0.03865677477080806
DeltaChange1s,FLOW_BURST_QUALITY,-0.1933508731675127,0.022090279708014065,0.018520820922603654,0.04624122297791394,-0.017689474828008617,0.027769664727914575,-0.04321871610815847,0.011055142121359496,0.09588312693460407,0.019098347297243804
DeltaChangeZScore,FLOW_BURST_QUALITY,-0.19204063294823662,0.004737932732781084,0.029579373088769595,0.04265935263383733,-0.011016521971107057,0.013740799708641616,-0.045803572946005344,0.006392878710704694,0.09305145520395045,0.012314484240983782
DeltaPercentile,FLOW_BURST_QUALITY,0.019470660134251184,-0.03413189945867364,-0.017553352900214814,0.11880543258071957,0.14059612968811064,-0.1118067263561976,0.039066740998943514,-0.009180217117228308,0.06596438113549574,-0.042082459630445684
BuySellRatio,OTHER_CAUSAL_CONTEXT,-0.1645166683620067,-0.011236748505015107,-0.02030839318310454,0.06805291343923559,-0.03624139033383644,-0.004529416973697964,-0.07027608162924787,-0.03974238352974849,0.20698065404547802,-0.052756236677190836
TradesPerSecond,TIME_REGIME,0.013695454535629384,0.06243244381465098,-0.03210640347223006,0.03487149158325167,0.31392203694183396,0.008897894782772975,0.08206593720725433,0.07918828040103898,-0.18441083835583175,0.05345241263379327
ContractsPerSecond,FLOW_BURST_QUALITY,0.02359714667063951,0.03710694013355243,-0.09093899458678802,0.053609643397098644,0.3273730701990135,0.04487429139763016,0.11059257764873154,0.019875347490276585,-0.10716596360573014,0.006941741231113935
Velocity1s,PERSISTENCE_EXHAUSTION,-0.1822054673558369,0.02379584850028619,-0.05556098551383634,-0.005585382319502342,0.030693965562793683,0.07433243148649876,-0.016262058846237992,-0.07030780963224847,-0.09553653276259644,0.07127749799044622
Velocity3s,PERSISTENCE_EXHAUSTION,-0.1881758205113615,0.02402839483276161,-0.04781648571602259,-0.008537272802350473,0.030004828398861195,0.040541689534704745,-0.006315497761817335,-0.04580907914636681,-0.07043760678122475,0.046789636126754255
