feature,physical_family,vif,r_squared_against_other_features,design_matrix_rank,rank_deficient
Delta1s,FLOW_BURST_QUALITY,inf,1.0,96,1
Delta2s,FLOW_BURST_QUALITY,inf,1.0,96,1
Delta3s,FLOW_BURST_QUALITY,inf,1.0,96,1
DeltaChange1s,FLOW_BURST_QUALITY,inf,1.0,96,1
Dist_OR_Low_Ticks,AUCTION_THEORY,inf,1.0,96,1
TicksPerSecond,TIME_REGIME,inf,1.0,96,1
Dist_OR_High_Ticks,AUCTION_THEORY,inf,1.0,96,1
Velocity1s,PERSISTENCE_EXHAUSTION,inf,1.0,96,1
OR_WidthTicks,AUCTION_THEORY,inf,1.0,96,1
CumulativeDeltaWindow,FLOW_BURST_QUALITY,inf,1.0,96,1
minute_from_open,TIME_REGIME,inf,1.0,96,1
Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,inf,1.0,96,1
Delta_AtEntry,FLOW_BURST_QUALITY,inf,1.0,96,1
Previous_Delta_AtEntry,FLOW_BURST_QUALITY,inf,1.0,96,1
Delta_Change_AtEntry,FLOW_BURST_QUALITY,inf,1.0,96,1
range,OTHER_CAUSAL_CONTEXT,inf,1.0,96,1
seconds_from_open,TIME_REGIME,inf,1.0,96,1
distance_nearest_or_edge_ticks,AUCTION_THEORY,inf,1.0,96,1
Seconds_From_Open_AtEntry,TIME_REGIME,23453225.76905478,0.999999957361942,96,1
absorption_pressure_1s,EFFORT_VS_RESULT,84650.89366983567,0.9999881867756305,96,1
liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,82616.56178706039,0.9999878958894153,96,1
signed_delta_decay_1_5,PERSISTENCE_EXHAUSTION,2302.32796630765,0.9995656570155799,96,1
signed_delta_1s,FLOW_BURST_QUALITY,2035.6430572239476,0.9995087547414311,96,1
signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,1447.5395719318892,0.9993091725992227,96,1
signed_velocity_1s,PERSISTENCE_EXHAUSTION,1324.981106817421,0.9992452722572007,96,1
Dist_VAL_Ticks,AUCTION_THEORY,681.6694463815312,0.9985330133170729,96,1
Dist_VWAP_Ticks,AUCTION_THEORY,617.8177838436256,0.9983813997813745,96,1
Dist_VAH_Ticks,AUCTION_THEORY,578.5811474864402,0.9982716339715797,96,1
PeakNegativeDelta,FLOW_BURST_QUALITY,487.4138320999516,0.9979483553109446,96,1
Delta5s,FLOW_BURST_QUALITY,411.2522546358828,0.9975684023887349,96,1
