feature,method,importance,split
PreEntry_Directional_Efficiency3_AtEntry,mutual_information,0.06280884735224301,discovery
PreEntry_Directional_Efficiency3_AtEntry,conditional_mutual_information_proxy,0.09818116012177835,discovery
Directional_VWAP_Distance_Ticks_AtEntry,mutual_information,0.0,discovery
Directional_VWAP_Distance_Ticks_AtEntry,conditional_mutual_information_proxy,0.019343799654079605,discovery
PreEntry_Directional_Delta_Share3_AtEntry,mutual_information,0.0,discovery
PreEntry_Directional_Delta_Share3_AtEntry,conditional_mutual_information_proxy,0.04401739276296436,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,mutual_information,0.0,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,conditional_mutual_information_proxy,0.05246796693140775,discovery
price_impact_per_100_contracts,mutual_information,0.002839788576294744,discovery
price_impact_per_100_contracts,conditional_mutual_information_proxy,0.10927556023731133,discovery
Profile_Normalized_Entropy,mutual_information,0.0035233018024181106,discovery
Profile_Normalized_Entropy,conditional_mutual_information_proxy,0.08047104223989135,discovery
absorption_pressure_1s,mutual_information,0.0,discovery
absorption_pressure_1s,conditional_mutual_information_proxy,0.07952237166728658,discovery
Previous_Delta_AtEntry,mutual_information,0.05161069838168775,discovery
Previous_Delta_AtEntry,conditional_mutual_information_proxy,0.10878141382414197,discovery
burst_efficiency_score,mutual_information,0.0,discovery
burst_efficiency_score,conditional_mutual_information_proxy,0.10688992824924054,discovery
liquidity_absorption_score,mutual_information,0.026332004137650245,discovery
liquidity_absorption_score,conditional_mutual_information_proxy,0.1054489232641436,discovery
signed_acceleration_1s,mutual_information,0.0,discovery
signed_acceleration_1s,conditional_mutual_information_proxy,0.08156329335005469,discovery
Score_AtEntry,mutual_information,0.16695355322108663,discovery
Score_AtEntry,conditional_mutual_information_proxy,0.07619385396434289,discovery
PreEntry_Directional_Efficiency3_AtEntry,logistic,0.5998804634602949,discovery
Directional_VWAP_Distance_Ticks_AtEntry,logistic,0.515376232578536,discovery
PreEntry_Directional_Delta_Share3_AtEntry,logistic,0.010851108711633238,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,logistic,0.321099977706236,discovery
price_impact_per_100_contracts,logistic,0.31987063762559426,discovery
Profile_Normalized_Entropy,logistic,0.5428348514469549,discovery
absorption_pressure_1s,logistic,0.19961848733110638,discovery
Previous_Delta_AtEntry,logistic,0.3514157476092036,discovery
burst_efficiency_score,logistic,0.2745472408284627,discovery
liquidity_absorption_score,logistic,0.18841313771945853,discovery
signed_acceleration_1s,logistic,0.6368712362624496,discovery
Score_AtEntry,logistic,0.2176446763669464,discovery
PreEntry_Directional_Efficiency3_AtEntry,logistic_permutation,-0.029230769230769282,validation
Directional_VWAP_Distance_Ticks_AtEntry,logistic_permutation,0.04461538461538456,validation
PreEntry_Directional_Delta_Share3_AtEntry,logistic_permutation,0.0,validation
PreBurst_Acceptance_Dwell_Ratio_5s,logistic_permutation,0.029999999999999957,validation
price_impact_per_100_contracts,logistic_permutation,0.029999999999999943,validation
Profile_Normalized_Entropy,logistic_permutation,-0.04076923076923082,validation
absorption_pressure_1s,logistic_permutation,0.005384615384615381,validation
Previous_Delta_AtEntry,logistic_permutation,0.02153846153846152,validation
burst_efficiency_score,logistic_permutation,-0.020769230769230807,validation
liquidity_absorption_score,logistic_permutation,0.005384615384615381,validation
signed_acceleration_1s,logistic_permutation,0.002307692307692255,validation
Score_AtEntry,logistic_permutation,0.014615384615384593,validation
PreEntry_Directional_Efficiency3_AtEntry,logistic_validation_ablation,-0.03846153846153855,validation
Directional_VWAP_Distance_Ticks_AtEntry,logistic_validation_ablation,0.15384615384615374,validation
PreEntry_Directional_Delta_Share3_AtEntry,logistic_validation_ablation,0.0,validation
PreBurst_Acceptance_Dwell_Ratio_5s,logistic_validation_ablation,0.0,validation
price_impact_per_100_contracts,logistic_validation_ablation,0.0,validation
Profile_Normalized_Entropy,logistic_validation_ablation,-0.07692307692307698,validation
absorption_pressure_1s,logistic_validation_ablation,0.0,validation
Previous_Delta_AtEntry,logistic_validation_ablation,0.038461538461538436,validation
burst_efficiency_score,logistic_validation_ablation,0.0,validation
liquidity_absorption_score,logistic_validation_ablation,0.0,validation
signed_acceleration_1s,logistic_validation_ablation,-0.03846153846153855,validation
Score_AtEntry,logistic_validation_ablation,0.0,validation
PreEntry_Directional_Efficiency3_AtEntry,decision_tree,0.35070114874044267,discovery
Directional_VWAP_Distance_Ticks_AtEntry,decision_tree,0.4594098230342357,discovery
PreEntry_Directional_Delta_Share3_AtEntry,decision_tree,0.0,discovery
PreBurst_Acceptance_Dwell_Ratio_5s,decision_tree,0.0,discovery
